probe,kernel_requested,kernel_used,avx2_supported,target_kib,m,K,depth,variant,iterations,repetitions,warmup,worker_count,logical_cpu_indices,rows_per_worker,all_affinity_succeeded,affinity_error,kernel_elapsed_seconds,wall_elapsed_seconds,mac_count,mac_per_second,checksum,batch_repeat,variant_order
int8_batch,avx2,avx2,true,384,768,512,1,A,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.0001747,0.0001998,12582912,7.20258e+10,-41603056,1,1
int8_batch,avx2,avx2,true,384,768,512,1,B,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.0001745,0.0001851,12582912,7.21084e+10,-41603056,1,2
int8_batch,avx2,avx2,true,384,768,512,1,C,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.0004411,0.0582244,12582912,2.85262e+10,-41603056,1,3
int8_batch,avx2,avx2,true,384,768,512,4,A,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.0006767,0.000715,50331648,7.43781e+10,-166412224,1,1
int8_batch,avx2,avx2,true,384,768,512,4,B,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.0015107,0.0019448,50331648,3.33168e+10,257677992,1,2
int8_batch,avx2,avx2,true,384,768,512,4,C,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.0446064,0.319041,50331648,1.12835e+09,-166412224,1,3
int8_batch,avx2,avx2,true,384,768,512,8,A,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.004391,0.0060622,100663296,2.29249e+10,-332824448,1,1
int8_batch,avx2,avx2,true,384,768,512,8,B,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.0020887,0.0021536,100663296,4.81942e+10,-8318168,1,2
int8_batch,avx2,avx2,true,384,768,512,8,C,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.0062842,0.492282,100663296,1.60185e+10,-332824448,1,3
int8_batch,avx2,avx2,true,384,768,512,16,A,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.0032778,0.0036403,201326592,6.14213e+10,-665648896,1,1
int8_batch,avx2,avx2,true,384,768,512,16,B,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.0060806,0.0063025,201326592,3.31097e+10,88252376,1,2
int8_batch,avx2,avx2,true,384,768,512,16,C,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.0146106,0.874617,201326592,1.37795e+10,-665648896,1,3
int8_batch,avx2,avx2,true,512,1024,512,1,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0015081,0.0019523,16777216,1.11247e+10,-45840800,1,1
int8_batch,avx2,avx2,true,512,1024,512,1,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0002579,0.0003004,16777216,6.50532e+10,-45840800,1,2
int8_batch,avx2,avx2,true,512,1024,512,1,C,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.001868,0.0606059,16777216,8.98138e+09,-45840800,1,3
int8_batch,avx2,avx2,true,512,1024,512,4,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0006218,0.0006391,67108864,1.07927e+11,-183363200,1,1
int8_batch,avx2,avx2,true,512,1024,512,4,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0007288,0.0007597,67108864,9.20813e+10,250287336,1,2
int8_batch,avx2,avx2,true,512,1024,512,4,C,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0069309,0.222541,67108864,9.68256e+09,-183363200,1,3
int8_batch,avx2,avx2,true,512,1024,512,8,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0012304,0.0012581,134217728,1.09085e+11,-366726400,1,1
int8_batch,avx2,avx2,true,512,1024,512,8,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0039356,0.0048483,134217728,3.41035e+10,106666584,1,2
int8_batch,avx2,avx2,true,512,1024,512,8,C,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0114437,0.446854,134217728,1.17285e+10,-366726400,1,3
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0037764,0.0039921,268435456,7.10824e+10,-733452800,1,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0106117,0.0109434,268435456,2.52962e+10,335105240,1,2
int8_batch,avx2,avx2,true,512,1024,512,16,C,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0271365,1.00403,268435456,9.89204e+09,-733452800,1,3
int8_batch,avx2,avx2,true,640,1280,512,1,A,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0003004,0.0003157,20971520,6.9812e+10,-93924096,1,1
int8_batch,avx2,avx2,true,640,1280,512,1,B,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0004019,0.0004365,20971520,5.21809e+10,-93924096,1,2
int8_batch,avx2,avx2,true,640,1280,512,1,C,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.000938,0.0593066,20971520,2.23577e+10,-93924096,1,3
int8_batch,avx2,avx2,true,640,1280,512,4,A,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0010586,0.0010752,83886080,7.92425e+10,-375696384,1,1
int8_batch,avx2,avx2,true,640,1280,512,4,B,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0015311,0.0022417,83886080,5.47881e+10,149581336,1,2
int8_batch,avx2,avx2,true,640,1280,512,4,C,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0036648,0.225363,83886080,2.28897e+10,-375696384,1,3
int8_batch,avx2,avx2,true,640,1280,512,8,A,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0022766,0.0023197,167772160,7.36942e+10,-751392768,1,1
int8_batch,avx2,avx2,true,640,1280,512,8,B,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0045655,0.0081697,167772160,3.67478e+10,74570056,1,2
int8_batch,avx2,avx2,true,640,1280,512,8,C,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0140882,0.459137,167772160,1.19087e+10,-751392768,1,3
int8_batch,avx2,avx2,true,640,1280,512,16,A,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0046628,0.0053863,335544320,7.1962e+10,-1502785536,1,1
int8_batch,avx2,avx2,true,640,1280,512,16,B,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0101127,0.0105877,335544320,3.31805e+10,356378800,1,2
int8_batch,avx2,avx2,true,640,1280,512,16,C,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0160879,0.872131,335544320,2.08569e+10,-1502785536,1,3
int8_batch,avx2,avx2,true,768,1536,512,1,A,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.000224,0.0003966,25165824,1.12347e+11,-92228312,1,1
int8_batch,avx2,avx2,true,768,1536,512,1,B,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.0002367,0.0002476,25165824,1.06319e+11,-92228312,1,2
int8_batch,avx2,avx2,true,768,1536,512,1,C,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.001607,0.0555907,25165824,1.56601e+10,-92228312,1,3
int8_batch,avx2,avx2,true,768,1536,512,4,A,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.001298,0.0013183,100663296,7.75526e+10,-368913248,1,1
int8_batch,avx2,avx2,true,768,1536,512,4,B,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.0016536,0.0017064,100663296,6.08752e+10,85857640,1,2
int8_batch,avx2,avx2,true,768,1536,512,4,C,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.0052458,0.22209,100663296,1.91893e+10,-368913248,1,3
int8_batch,avx2,avx2,true,768,1536,512,8,A,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.0018313,0.0024783,201326592,1.09936e+11,-737826496,1,1
int8_batch,avx2,avx2,true,768,1536,512,8,B,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.0051188,0.0059476,201326592,3.93308e+10,41527792,1,2
int8_batch,avx2,avx2,true,768,1536,512,8,C,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.0076522,0.440011,201326592,2.63096e+10,-737826496,1,3
int8_batch,avx2,avx2,true,768,1536,512,16,A,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.0044839,0.0056825,402653184,8.97998e+10,-1475652992,1,1
int8_batch,avx2,avx2,true,768,1536,512,16,B,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.0107123,0.0109372,402653184,3.75879e+10,322880248,1,2
int8_batch,avx2,avx2,true,768,1536,512,16,C,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.0243809,0.894904,402653184,1.65151e+10,-1475652992,1,3
int8_batch,avx2,avx2,true,384,768,512,1,C,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.0006556,0.0542176,12582912,1.9193e+10,-41603056,2,1
int8_batch,avx2,avx2,true,384,768,512,1,B,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.0001312,0.0001374,12582912,9.59063e+10,-41603056,2,2
int8_batch,avx2,avx2,true,384,768,512,1,A,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.000132,0.0001379,12582912,9.53251e+10,-41603056,2,3
int8_batch,avx2,avx2,true,384,768,512,4,C,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.0021785,0.215853,50331648,2.31038e+10,-166412224,2,1
int8_batch,avx2,avx2,true,384,768,512,4,B,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.0005339,0.0005515,50331648,9.42717e+10,257677992,2,2
int8_batch,avx2,avx2,true,384,768,512,4,A,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.0005774,0.0005951,50331648,8.71695e+10,-166412224,2,3
int8_batch,avx2,avx2,true,384,768,512,8,C,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.0130229,0.44037,100663296,7.72971e+09,-332824448,2,1
int8_batch,avx2,avx2,true,384,768,512,8,B,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.0025937,0.0029457,100663296,3.88107e+10,-8318168,2,2
int8_batch,avx2,avx2,true,384,768,512,8,A,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.0010652,0.0010926,100663296,9.45018e+10,-332824448,2,3
int8_batch,avx2,avx2,true,384,768,512,16,C,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.0286818,0.940358,201326592,7.01932e+09,-665648896,2,1
int8_batch,avx2,avx2,true,384,768,512,16,B,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.0045875,0.004723,201326592,4.38859e+10,88252376,2,2
int8_batch,avx2,avx2,true,384,768,512,16,A,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.0023193,0.0025717,201326592,8.68049e+10,-665648896,2,3
int8_batch,avx2,avx2,true,512,1024,512,1,C,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0033726,0.0583705,16777216,4.97456e+09,-45840800,2,1
int8_batch,avx2,avx2,true,512,1024,512,1,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0001574,0.0001615,16777216,1.0659e+11,-45840800,2,2
int8_batch,avx2,avx2,true,512,1024,512,1,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0001579,0.0001629,16777216,1.06252e+11,-45840800,2,3
int8_batch,avx2,avx2,true,512,1024,512,4,C,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0092833,0.24575,67108864,7.22899e+09,-183363200,2,1
int8_batch,avx2,avx2,true,512,1024,512,4,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0008285,0.0008551,67108864,8.10004e+10,250287336,2,2
int8_batch,avx2,avx2,true,512,1024,512,4,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0009893,0.0010047,67108864,6.78347e+10,-183363200,2,3
int8_batch,avx2,avx2,true,512,1024,512,8,C,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0135009,0.496125,134217728,9.94139e+09,-366726400,2,1
int8_batch,avx2,avx2,true,512,1024,512,8,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0059523,0.0089505,134217728,2.25489e+10,106666584,2,2
int8_batch,avx2,avx2,true,512,1024,512,8,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0014754,0.0014991,134217728,9.09704e+10,-366726400,2,3
int8_batch,avx2,avx2,true,512,1024,512,16,C,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0296234,0.955049,268435456,9.0616e+09,-733452800,2,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0064874,0.0079194,268435456,4.1378e+10,335105240,2,2
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0025172,0.0025654,268435456,1.0664e+11,-733452800,2,3
int8_batch,avx2,avx2,true,640,1280,512,1,C,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0018128,0.0591073,20971520,1.15686e+10,-93924096,2,1
int8_batch,avx2,avx2,true,640,1280,512,1,B,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0002908,0.0003174,20971520,7.21166e+10,-93924096,2,2
int8_batch,avx2,avx2,true,640,1280,512,1,A,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0001928,0.0002038,20971520,1.08773e+11,-93924096,2,3
int8_batch,avx2,avx2,true,640,1280,512,4,C,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0079177,0.223481,83886080,1.05948e+10,-375696384,2,1
int8_batch,avx2,avx2,true,640,1280,512,4,B,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0008465,0.0008815,83886080,9.90976e+10,149581336,2,2
int8_batch,avx2,avx2,true,640,1280,512,4,A,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0007648,0.0007805,83886080,1.09684e+11,-375696384,2,3
int8_batch,avx2,avx2,true,640,1280,512,8,C,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0110371,0.457372,167772160,1.52007e+10,-751392768,2,1
int8_batch,avx2,avx2,true,640,1280,512,8,B,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0034171,0.0034971,167772160,4.90978e+10,74570056,2,2
int8_batch,avx2,avx2,true,640,1280,512,8,A,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0015139,0.0015459,167772160,1.10821e+11,-751392768,2,3
int8_batch,avx2,avx2,true,640,1280,512,16,C,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0266636,0.904967,335544320,1.25844e+10,-1502785536,2,1
int8_batch,avx2,avx2,true,640,1280,512,16,B,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0091802,0.009584,335544320,3.65509e+10,356378800,2,2
int8_batch,avx2,avx2,true,640,1280,512,16,A,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0030996,0.0031987,335544320,1.08254e+11,-1502785536,2,3
int8_batch,avx2,avx2,true,768,1536,512,1,C,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.0006458,0.0545868,25165824,3.89684e+10,-92228312,2,1
int8_batch,avx2,avx2,true,768,1536,512,1,B,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.0003656,0.0004068,25165824,6.88343e+10,-92228312,2,2
int8_batch,avx2,avx2,true,768,1536,512,1,A,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.0002268,0.0002319,25165824,1.1096e+11,-92228312,2,3
int8_batch,avx2,avx2,true,768,1536,512,4,C,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.0075451,0.228231,100663296,1.33415e+10,-368913248,2,1
int8_batch,avx2,avx2,true,768,1536,512,4,B,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.0011412,0.0011729,100663296,8.82083e+10,85857640,2,2
int8_batch,avx2,avx2,true,768,1536,512,4,A,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.0008596,0.0008765,100663296,1.17105e+11,-368913248,2,3
int8_batch,avx2,avx2,true,768,1536,512,8,C,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.0150711,0.453208,201326592,1.33585e+10,-737826496,2,1
int8_batch,avx2,avx2,true,768,1536,512,8,B,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.0049022,0.0054787,201326592,4.10686e+10,41527792,2,2
int8_batch,avx2,avx2,true,768,1536,512,8,A,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.0026979,0.0027677,201326592,7.46234e+10,-737826496,2,3
int8_batch,avx2,avx2,true,768,1536,512,16,C,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.0186006,0.888109,402653184,2.16473e+10,-1475652992,2,1
int8_batch,avx2,avx2,true,768,1536,512,16,B,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.0121881,0.0135024,402653184,3.30366e+10,322880248,2,2
int8_batch,avx2,avx2,true,768,1536,512,16,A,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.0035485,0.0042687,402653184,1.13471e+11,-1475652992,2,3
int8_batch,avx2,avx2,true,384,768,512,1,A,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.00014,0.0002149,12582912,8.98779e+10,-41603056,3,1
int8_batch,avx2,avx2,true,384,768,512,1,B,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.000128,0.0001315,12582912,9.8304e+10,-41603056,3,2
int8_batch,avx2,avx2,true,384,768,512,1,C,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.0014588,0.0583458,12582912,8.62552e+09,-41603056,3,3
int8_batch,avx2,avx2,true,384,768,512,4,A,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.0005034,0.0005258,50331648,9.99834e+10,-166412224,3,1
int8_batch,avx2,avx2,true,384,768,512,4,B,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.0009,0.001407,50331648,5.59241e+10,257677992,3,2
int8_batch,avx2,avx2,true,384,768,512,4,C,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.0085847,0.231175,50331648,5.86295e+09,-166412224,3,3
int8_batch,avx2,avx2,true,384,768,512,8,A,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.0011055,0.0011362,100663296,9.10568e+10,-332824448,3,1
int8_batch,avx2,avx2,true,384,768,512,8,B,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.0014826,0.0018112,100663296,6.78965e+10,-8318168,3,2
int8_batch,avx2,avx2,true,384,768,512,8,C,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.0095077,0.468546,100663296,1.05876e+10,-332824448,3,3
int8_batch,avx2,avx2,true,384,768,512,16,A,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.0020195,0.0020922,201326592,9.96913e+10,-665648896,3,1
int8_batch,avx2,avx2,true,384,768,512,16,B,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.0054691,0.0057675,201326592,3.68116e+10,88252376,3,2
int8_batch,avx2,avx2,true,384,768,512,16,C,1,8,2,4,"0,2,4,6","999,605,724,744",true,0,0.0247867,0.975757,201326592,8.12236e+09,-665648896,3,3
int8_batch,avx2,avx2,true,512,1024,512,1,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0002403,0.0002536,16777216,6.98178e+10,-45840800,3,1
int8_batch,avx2,avx2,true,512,1024,512,1,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0002549,0.0002921,16777216,6.58188e+10,-45840800,3,2
int8_batch,avx2,avx2,true,512,1024,512,1,C,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0004861,0.0628106,16777216,3.45139e+10,-45840800,3,3
int8_batch,avx2,avx2,true,512,1024,512,4,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.002004,0.0022052,67108864,3.34875e+10,-183363200,3,1
int8_batch,avx2,avx2,true,512,1024,512,4,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0010022,0.0010471,67108864,6.69615e+10,250287336,3,2
int8_batch,avx2,avx2,true,512,1024,512,4,C,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0092494,0.249705,67108864,7.25548e+09,-183363200,3,3
int8_batch,avx2,avx2,true,512,1024,512,8,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0018756,0.00193,134217728,7.15599e+10,-366726400,3,1
int8_batch,avx2,avx2,true,512,1024,512,8,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0031808,0.0036805,134217728,4.21962e+10,106666584,3,2
int8_batch,avx2,avx2,true,512,1024,512,8,C,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.00673,0.446904,134217728,1.99432e+10,-366726400,3,3
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0028451,0.0029191,268435456,9.43501e+10,-733452800,3,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0085254,0.0094639,268435456,3.14866e+10,335105240,3,2
int8_batch,avx2,avx2,true,512,1024,512,16,C,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0265724,0.935717,268435456,1.0102e+10,-733452800,3,3
int8_batch,avx2,avx2,true,640,1280,512,1,A,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.000331,0.0003867,20971520,6.33581e+10,-93924096,3,1
int8_batch,avx2,avx2,true,640,1280,512,1,B,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0001976,0.0002041,20971520,1.06131e+11,-93924096,3,2
int8_batch,avx2,avx2,true,640,1280,512,1,C,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0006962,0.0567682,20971520,3.01228e+10,-93924096,3,3
int8_batch,avx2,avx2,true,640,1280,512,4,A,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0007936,0.000809,83886080,1.05703e+11,-375696384,3,1
int8_batch,avx2,avx2,true,640,1280,512,4,B,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0008114,0.0008404,83886080,1.03384e+11,149581336,3,2
int8_batch,avx2,avx2,true,640,1280,512,4,C,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0032575,0.221911,83886080,2.57517e+10,-375696384,3,3
int8_batch,avx2,avx2,true,640,1280,512,8,A,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0015697,0.0015975,167772160,1.06882e+11,-751392768,3,1
int8_batch,avx2,avx2,true,640,1280,512,8,B,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0040791,0.0042461,167772160,4.11297e+10,74570056,3,2
int8_batch,avx2,avx2,true,640,1280,512,8,C,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0097629,0.446459,167772160,1.71847e+10,-751392768,3,3
int8_batch,avx2,avx2,true,640,1280,512,16,A,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0035715,0.0037772,335544320,9.39505e+10,-1502785536,3,1
int8_batch,avx2,avx2,true,640,1280,512,16,B,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0089972,0.0092336,335544320,3.72943e+10,356378800,3,2
int8_batch,avx2,avx2,true,640,1280,512,16,C,1,8,2,4,"0,2,4,6","1665,1009,1206,1240",true,0,0.0108276,0.865319,335544320,3.09897e+10,-1502785536,3,3
int8_batch,avx2,avx2,true,768,1536,512,1,A,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.0002304,0.0002346,25165824,1.09227e+11,-92228312,3,1
int8_batch,avx2,avx2,true,768,1536,512,1,B,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.0003302,0.0003355,25165824,7.62139e+10,-92228312,3,2
int8_batch,avx2,avx2,true,768,1536,512,1,C,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.0007482,0.0564741,25165824,3.36352e+10,-92228312,3,3
int8_batch,avx2,avx2,true,768,1536,512,4,A,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.0008684,0.0009018,100663296,1.15918e+11,-368913248,3,1
int8_batch,avx2,avx2,true,768,1536,512,4,B,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.0015448,0.0016951,100663296,6.51627e+10,85857640,3,2
int8_batch,avx2,avx2,true,768,1536,512,4,C,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.005402,0.221068,100663296,1.86344e+10,-368913248,3,3
int8_batch,avx2,avx2,true,768,1536,512,8,A,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.0020368,0.0020715,201326592,9.88446e+10,-737826496,3,1
int8_batch,avx2,avx2,true,768,1536,512,8,B,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.0063841,0.0065238,201326592,3.15356e+10,41527792,3,2
int8_batch,avx2,avx2,true,768,1536,512,8,C,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.018705,0.500965,201326592,1.07633e+10,-737826496,3,3
int8_batch,avx2,avx2,true,768,1536,512,16,A,1,8,2,4,"0,2,4,6","1999,1210,1448,1487",true,0,0.0037928,0.0041748,402653184,1.06163e+11,-1475652992,3,1
