probe,kernel_requested,kernel_used,avx2_supported,fma_supported,target_kib,actual_weight_bytes_per_block,allocated_weight_bytes_per_worker,m,K,depth,variant,iterations,repetitions,warmup,worker_count,logical_cpu_indices,all_affinity_succeeded,affinity_error,batch_elapsed_seconds,batch_mac_count,batch_mac_per_second,checksum_sum,batch_repeat,variant_order
q4_gemv_batch,avx2,avx2,true,true,128,130880,130880,409,512,4,A,1,8,2,8,0..7,true,0,0.0039113000000000004,53608448,13706043514.94388,20564.263671875,1,1
q4_gemv_batch,avx2,avx2,true,true,128,130880,523520,409,512,4,B,1,8,2,8,0..7,true,0,0.0039782000000000003,53608448,13475553768.035793,25891.703125,1,2
q4_gemv_batch,avx2,avx2,true,true,128,130880,130880,409,512,8,A,1,8,2,8,0..7,true,0,0.0048214,107216896,22237710208.653088,41128.58203125,1,1
q4_gemv_batch,avx2,avx2,true,true,128,130880,1047040,409,512,8,B,1,8,2,8,0..7,true,0,0.0043578000000000002,107216896,24603445775.391251,38255.015625,1,2
q4_gemv_batch,avx2,avx2,true,true,128,130880,130880,409,512,16,A,1,8,2,8,0..7,true,0,0.010731299999999999,214433792,19982089029.288158,82257.0625,1,1
q4_gemv_batch,avx2,avx2,true,true,128,130880,2094080,409,512,16,B,1,8,2,8,0..7,true,0,0.0088140000000000007,214433792,24328771499.886543,85983.1796875,1,2
q4_gemv_batch,avx2,avx2,true,true,192,196480,196480,614,512,4,A,1,8,2,8,0..7,true,0,0.0039166000000000001,80478208,20547977327.273655,47808.625,1,1
q4_gemv_batch,avx2,avx2,true,true,192,196480,785920,614,512,4,B,1,8,2,8,0..7,true,0,0.0038798999999999999,80478208,20742340781.978916,43356.640625,1,2
q4_gemv_batch,avx2,avx2,true,true,192,196480,196480,614,512,8,A,1,8,2,8,0..7,true,0,0.0079549000000000009,160956416,20233619027.266212,95617.375,1,1
q4_gemv_batch,avx2,avx2,true,true,192,196480,1571840,614,512,8,B,1,8,2,8,0..7,true,0,0.0065214000000000001,160956416,24681267212.561718,67701.25,1,2
q4_gemv_batch,avx2,avx2,true,true,192,196480,196480,614,512,16,A,1,8,2,8,0..7,true,0,0.0151252,321912832,21283211593.896278,191235.140625,1,1
q4_gemv_batch,avx2,avx2,true,true,192,196480,3143680,614,512,16,B,1,8,2,8,0..7,true,0,0.013358200000000001,321912832,24098518662.694073,130342.0546875,1,2
q4_gemv_batch,avx2,avx2,true,true,512,524160,524160,1638,512,4,A,1,8,2,8,0..7,true,0,0.0088847000000000006,214695936,24164680405.641155,127000.0625,1,1
