probe,target_kib,actual_weight_bytes_per_block,allocated_weight_bytes,m,K,depth,variant,iterations,repetitions,warmup,logical_cpu_index,processor_group,group_processor_index,affinity_succeeded,affinity_error,eviction_bytes,elapsed_seconds,mac_count,mac_per_second,checksum
scalar_q4,256,262080,262080,819,512,1,A,1,2,1,0,0,0,true,0,0,0.0037653999999999999,838656,222726934.72141075,507.36077880859375
scalar_q4,256,262080,262080,819,512,1,B,1,2,1,0,0,0,true,0,0,0.0038069000000000002,838656,220298930.88864955,507.36077880859375
scalar_q4,256,262080,262080,819,512,1,C,1,2,1,0,0,0,true,0,67108864,0.0038811000000000002,838656,216087191.77552754,507.36077880859375
scalar_q4,256,262080,262080,819,512,2,A,1,2,1,0,0,0,true,0,0,0.0081562000000000006,1677312,205648708.9576028,1014.7217407226562
scalar_q4,256,262080,524160,819,512,2,B,1,2,1,0,0,0,true,0,0,0.0079561000000000007,1677312,210820879.57667699,860.4334716796875
scalar_q4,256,262080,262080,819,512,2,C,1,2,1,0,0,0,true,0,67108864,0.0147105,1677312,114021413.27623126,1014.7220458984375
scalar_q4,256,262080,262080,819,512,4,A,1,2,1,0,0,0,true,0,0,0.017430899999999999,3354624,192452713.28502831,2029.4434814453125
scalar_q4,256,262080,1048320,819,512,4,B,1,2,1,0,0,0,true,0,0,0.0199895,3354624,167819305.13519597,1557.123291015625
scalar_q4,256,262080,262080,819,512,4,C,1,2,1,0,0,0,true,0,67108864,0.026781300000000001,3354624,125259938.83792049,2029.443603515625
scalar_q4,256,262080,262080,819,512,8,A,1,2,1,0,0,0,true,0,0,0.031417899999999999,6709248,213548582.17767578,4058.888671875
scalar_q4,256,262080,2096640,819,512,8,B,1,2,1,0,0,0,true,0,0,0.031916199999999999,6709248,210214499.21983194,2863.470458984375
scalar_q4,256,262080,262080,819,512,8,C,1,2,1,0,0,0,true,0,67108864,0.0583768,6709248,114930040.70110044,4058.88916015625
scalar_q4,256,262080,262080,819,512,16,A,1,2,1,0,0,0,true,0,0,0.065499100000000005,13418496,204865349.2948758,8117.76318359375
scalar_q4,256,262080,4193280,819,512,16,B,1,2,1,0,0,0,true,0,0,0.069899000000000003,13418496,191969784.97546458,5270.2470703125
scalar_q4,256,262080,262080,819,512,16,C,1,2,1,0,0,0,true,0,67108864,0.121962,13418496,110021941.26039258,8117.763671875
scalar_q4,384,392960,392960,1228,512,1,A,1,2,1,0,0,0,true,0,0,0.0057438999999999997,1257472,218923031.38982224,774.013916015625
scalar_q4,384,392960,392960,1228,512,1,B,1,2,1,0,0,0,true,0,0,0.0056696000000000003,1257472,221792013.54592916,774.013916015625
scalar_q4,384,392960,392960,1228,512,1,C,1,2,1,0,0,0,true,0,67108864,0.0058199999999999997,1257472,216060481.09965637,774.013916015625
scalar_q4,384,392960,392960,1228,512,2,A,1,2,1,0,0,0,true,0,0,0.0115601,2514944,217553827.38903642,1548.027099609375
scalar_q4,384,392960,785920,1228,512,2,B,1,2,1,0,0,0,true,0,0,0.0117146,2514944,214684581.6331757,1208.54931640625
scalar_q4,384,392960,392960,1228,512,2,C,1,2,1,0,0,0,true,0,67108864,0.0193832,2514944,129748648.31400388,1548.02734375
scalar_q4,384,392960,392960,1228,512,4,A,1,2,1,0,0,0,true,0,0,0.023835700000000001,5029888,211023296.98729217,3096.044189453125
scalar_q4,384,392960,1571840,1228,512,4,B,1,2,1,0,0,0,true,0,0,0.023702299999999999,5029888,212210966.86819422,2313.489013671875
scalar_q4,384,392960,392960,1228,512,4,C,1,2,1,0,0,0,true,0,67108864,0.036555799999999999,5029888,137594800.27793127,3096.044189453125
scalar_q4,384,392960,392960,1228,512,8,A,1,2,1,0,0,0,true,0,0,0.049435699999999999,10059776,203492132.20405498,6192.09130859375
scalar_q4,384,392960,3143680,1228,512,8,B,1,2,1,0,0,0,true,0,0,0.0512325,10059776,196355360.36695457,4248.7490234375
scalar_q4,384,392960,392960,1228,512,8,C,1,2,1,0,0,0,true,0,67108864,0.0801949,10059776,125441592.91925047,6192.091796875
scalar_q4,384,392960,392960,1228,512,16,A,1,2,1,0,0,0,true,0,0,0.095035400000000006,20119552,211705869.60227451,12384.248046875
scalar_q4,384,392960,6287360,1228,512,16,B,1,2,1,0,0,0,true,0,0,0.098410300000000006,20119552,204445591.56917515,8054.60595703125
scalar_q4,384,392960,392960,1228,512,16,C,1,2,1,0,0,0,true,0,67108864,0.15583179999999999,20119552,129110694.99293469,12384.248046875
scalar_q4,512,524160,524160,1638,512,1,A,1,2,1,0,0,0,true,0,0,0.0077282000000000002,1677312,217037861.33899227,992.19049072265625
scalar_q4,512,524160,524160,1638,512,1,B,1,2,1,0,0,0,true,0,0,0.0076911999999999996,1677312,218081963.8027876,992.19049072265625
scalar_q4,512,524160,524160,1638,512,1,C,1,2,1,0,0,0,true,0,67108864,0.0082710000000000006,1677312,202794341.67573449,992.19049072265625
scalar_q4,512,524160,524160,1638,512,2,A,1,2,1,0,0,0,true,0,0,0.018056200000000001,3354624,185787928.80007973,1984.3802490234375
scalar_q4,512,524160,1048320,1638,512,2,B,1,2,1,0,0,0,true,0,0,0.0156928,3354624,213768352.36541599,1352.0919189453125
scalar_q4,512,524160,524160,1638,512,2,C,1,2,1,0,0,0,true,0,67108864,0.020625299999999999,3354624,162646070.60260943,1984.3804931640625
scalar_q4,512,524160,524160,1638,512,4,A,1,2,1,0,0,0,true,0,0,0.031388699999999999,6709248,213747240.24887937,3968.751953125
scalar_q4,512,524160,2096640,1638,512,4,B,1,2,1,0,0,0,true,0,0,0.034450000000000001,6709248,194753207.5471698,2610.9716796875
scalar_q4,512,524160,524160,1638,512,4,C,1,2,1,0,0,0,true,0,67108864,0.044475599999999997,6709248,150852332.51490706,3968.751953125
scalar_q4,512,524160,524160,1638,512,8,A,1,2,1,0,0,0,true,0,0,0.063897099999999998,13418496,210001643.26706535,7937.49169921875
scalar_q4,512,524160,4193280,1638,512,8,B,1,2,1,0,0,0,true,0,0,0.066133800000000006,13418496,202899213.41280857,4906.61328125
scalar_q4,512,524160,524160,1638,512,8,C,1,2,1,0,0,0,true,0,67108864,0.093273800000000004,13418496,143861362.99796942,7937.4921875
scalar_q4,512,524160,524160,1638,512,16,A,1,2,1,0,0,0,true,0,0,0.1343946,26836992,199688023.17950276,15874.96484375
scalar_q4,512,524160,8386560,1638,512,16,B,1,2,1,0,0,0,true,0,0,0.1332816,26836992,201355565.95959231,9914.1044921875
scalar_q4,512,524160,524160,1638,512,16,C,1,2,1,0,0,0,true,0,67108864,0.19309860000000001,26836992,138980769.41003197,15874.96484375
scalar_q4,640,655360,655360,2048,512,1,A,1,2,1,0,0,0,true,0,0,0.0099732999999999992,2097152,210276638.6251291,869.2900390625
scalar_q4,640,655360,655360,2048,512,1,B,1,2,1,0,0,0,true,0,0,0.0098130999999999999,2097152,213709429.23235267,869.2900390625
scalar_q4,640,655360,655360,2048,512,1,C,1,2,1,0,0,0,true,0,67108864,0.0097646,2097152,214770907.15441492,869.2900390625
scalar_q4,640,655360,655360,2048,512,2,A,1,2,1,0,0,0,true,0,0,0.019855399999999999,4194304,211242483.15319765,1738.579345703125
scalar_q4,640,655360,1310720,2048,512,2,B,1,2,1,0,0,0,true,0,0,0.022894100000000001,4194304,183204581.09294534,1626.59521484375
scalar_q4,640,655360,655360,2048,512,2,C,1,2,1,0,0,0,true,0,67108864,0.0236822,4194304,177107870.04585722,1738.57958984375
scalar_q4,640,655360,655360,2048,512,4,A,1,2,1,0,0,0,true,0,0,0.042537100000000001,8388608,197206861.77478012,3477.15625
scalar_q4,640,655360,2621440,2048,512,4,B,1,2,1,0,0,0,true,0,0,0.044225100000000003,8388608,189679797.21922618,3340.714599609375
scalar_q4,640,655360,655360,2048,512,4,C,1,2,1,0,0,0,true,0,67108864,0.056511699999999998,8388608,148440199.10921103,3477.15625
scalar_q4,640,655360,655360,2048,512,8,A,1,2,1,0,0,0,true,0,0,0.083362900000000004,16777216,201255186.65977311,6954.33056640625
scalar_q4,640,655360,5242880,2048,512,8,B,1,2,1,0,0,0,true,0,0,0.085389699999999999,16777216,196478216.92780277,6495.939453125
scalar_q4,640,655360,655360,2048,512,8,C,1,2,1,0,0,0,true,0,67108864,0.10780480000000001,16777216,155625871.94633263,6954.3310546875
scalar_q4,640,655360,655360,2048,512,16,A,1,2,1,0,0,0,true,0,0,0.16377169999999999,33554432,204885410.60512897,13908.6025390625
scalar_q4,640,655360,10485760,2048,512,16,B,1,2,1,0,0,0,true,0,0,0.16436410000000001,33554432,204146963.96597552,12403.3486328125
scalar_q4,640,655360,655360,2048,512,16,C,1,2,1,0,0,0,true,0,67108864,0.21826499999999999,33554432,153732536.13726434,13908.6025390625
scalar_q4,768,786240,786240,2457,512,1,A,1,2,1,0,0,0,true,0,0,0.0142603,2515968,176431631.87310225,1198.9371337890625
scalar_q4,768,786240,786240,2457,512,1,B,1,2,1,0,0,0,true,0,0,0.015629400000000002,2515968,160976620.98353103,1198.9371337890625
scalar_q4,768,786240,786240,2457,512,1,C,1,2,1,0,0,0,true,0,67108864,0.0120327,2515968,209094218.25525442,1198.9371337890625
scalar_q4,768,786240,786240,2457,512,2,A,1,2,1,0,0,0,true,0,0,0.024823600000000001,5031936,202707745.85475111,2397.87744140625
scalar_q4,768,786240,1572480,2457,512,2,B,1,2,1,0,0,0,true,0,0,0.0240638,5031936,209108120.91190916,2464.06640625
scalar_q4,768,786240,786240,2457,512,2,C,1,2,1,0,0,0,true,0,67108864,0.027372299999999999,5031936,183833145.18692255,2397.877685546875
scalar_q4,768,786240,786240,2457,512,4,A,1,2,1,0,0,0,true,0,0,0.048553300000000001,10063872,207274726.94955853,4795.7568359375
scalar_q4,768,786240,3144960,2457,512,4,B,1,2,1,0,0,0,true,0,0,0.049781800000000001,10063872,202159664.77708721,4780.0966796875
scalar_q4,768,786240,786240,2457,512,4,C,1,2,1,0,0,0,true,0,67108864,0.067745600000000003,10063872,148553883.94227818,4795.7568359375
scalar_q4,768,786240,786240,2457,512,8,A,1,2,1,0,0,0,true,0,0,0.10281700000000001,20127744,195762801.87128586,9591.5400390625
scalar_q4,768,786240,6289920,2457,512,8,B,1,2,1,0,0,0,true,0,0,0.098772200000000004,20127744,203779444.01359895,8950.044921875
scalar_q4,768,786240,786240,2457,512,8,C,1,2,1,0,0,0,true,0,67108864,0.1221006,20127744,164845578.15440708,9591.5400390625
scalar_q4,768,786240,786240,2457,512,16,A,1,2,1,0,0,0,true,0,0,0.19725570000000001,40255488,204077692.05148444,19183.171875
scalar_q4,768,786240,12579840,2457,512,16,B,1,2,1,0,0,0,true,0,0,0.1962546,40255488,205118697.85472545,16256.8076171875
scalar_q4,768,786240,786240,2457,512,16,C,1,2,1,0,0,0,true,0,67108864,0.26686799999999999,40255488,150844192.63456091,19183.171875
scalar_q4,896,917440,917440,2867,512,1,A,1,2,1,0,0,0,true,0,0,0.014134900000000001,2935808,207699240.88603386,1067.9910888671875
scalar_q4,896,917440,917440,2867,512,1,B,1,2,1,0,0,0,true,0,0,0.0136294,2935808,215402585.5870398,1067.9910888671875
scalar_q4,896,917440,917440,2867,512,1,C,1,2,1,0,0,0,true,0,67108864,0.0137094,2935808,214145622.71142429,1067.9910888671875
scalar_q4,896,917440,917440,2867,512,2,A,1,2,1,0,0,0,true,0,0,0.0291323,5871616,201550032.09495988,2135.98193359375
scalar_q4,896,917440,1834880,2867,512,2,B,1,2,1,0,0,0,true,0,0,0.027412200000000001,5871616,214197182.27650461,2229.492919921875
scalar_q4,896,917440,917440,2867,512,2,C,1,2,1,0,0,0,true,0,67108864,0.034591900000000002,5871616,169739621.1251767,2135.982177734375
scalar_q4,896,917440,917440,2867,512,4,A,1,2,1,0,0,0,true,0,0,0.056279999999999997,11743232,208657285.00355366,4271.9521484375
scalar_q4,896,917440,3669760,2867,512,4,B,1,2,1,0,0,0,true,0,0,0.059675899999999997,11743232,196783492.1635032,4472.24609375
scalar_q4,896,917440,917440,2867,512,4,C,1,2,1,0,0,0,true,0,67108864,0.068567299999999998,11743232,171265778.29373479,4271.9521484375
scalar_q4,896,917440,917440,2867,512,8,A,1,2,1,0,0,0,true,0,0,0.1123986,23486464,208956908.71594486,8543.8857421875
scalar_q4,896,917440,7339520,2867,512,8,B,1,2,1,0,0,0,true,0,0,0.1169713,23486464,200788261.73599848,9375.6142578125
scalar_q4,896,917440,917440,2867,512,8,C,1,2,1,0,0,0,true,0,67108864,0.14420369999999999,23486464,162870051.18453965,8543.8857421875
scalar_q4,896,917440,917440,2867,512,16,A,1,2,1,0,0,0,true,0,0,0.23040820000000001,46972928,203868299.82613465,17087.732421875
scalar_q4,896,917440,14679040,2867,512,16,B,1,2,1,0,0,0,true,0,0,0.22943569999999999,46972928,204732428.30126262,18069.42578125
scalar_q4,896,917440,917440,2867,512,16,C,1,2,1,0,0,0,true,0,67108864,0.29268070000000002,46972928,160492058.41041106,17087.732421875
scalar_q4,1024,1048320,1048320,3276,512,1,A,1,2,1,0,0,0,true,0,0,0.016049000000000001,3354624,209023864.41522837,1271.6666259765625
scalar_q4,1024,1048320,1048320,3276,512,1,B,1,2,1,0,0,0,true,0,0,0.015754600000000001,3354624,212929810.97584197,1271.6666259765625
scalar_q4,1024,1048320,1048320,3276,512,1,C,1,2,1,0,0,0,true,0,67108864,0.016545399999999998,3354624,202752668.4153904,1271.6666259765625
