"record_type","cpu","run","rows_per_worker","median_mac_per_second","elapsed_seconds","mac_per_second","final_checksum","per_round_checksums","affinity_succeeded","timed_repetitions_exact"
"raw","0","1","1472","","0.1960461","1414709866.70992","14756745233619848255","14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255","true","true"
"raw","0","2","1472","","0.1505579","1842137489.96233","14756745233619848255","14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255","true","true"
"raw","0","3","1472","","0.1392216","1992135932.92995","14756745233619848255","14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255","true","true"
"raw","0","4","1472","","0.1409023","1968373489.99981","14756745233619848255","14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255","true","true"
"raw","0","5","1472","","0.1504765","1843133991.02185","14756745233619848255","14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255","true","true"
"median","0","","1472","1843133991.02185","","","","","true","true"
"raw","2","1","1472","","0.2320199","1195364501.06219","14756745233619848255","14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255","true","true"
"raw","2","2","1472","","0.2246733","1234451766.18673","14756745233619848255","14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255","true","true"
"raw","2","3","1472","","0.2190045","1266404809.0336","14756745233619848255","14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255","true","true"
"raw","2","4","1472","","0.2316692","1197174039.53568","14756745233619848255","14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255","true","true"
