"run","order_index","variant","D","S","R","rows_per_worker","component","mode","kernel","elapsed_seconds","elapsed_per_timed_step","mac_total","mac_per_second","checksum_kind","final_checksum","per_round_checksums","per_round_finite","per_round_overflow","all_rounds_valid","affinity_succeeded","timed_repetitions_exact"
"1","1","A","1472","1","16","457,297,347,371","gemv-only","fused","avx2_fused","0.0808915","0.00063196484375","277348352","3428646421.44107","output","5378321552073814842","5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","true","true","true"
"1","2","Bclone","1472","1","16","457,297,347,371","gemv-only","fused","avx2_fused","0.0735996","0.000574996875","277348352","3768340480.1113","output","5378321552073814842","5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","true","true","true"
"2","1","Bclone","1472","1","16","457,297,347,371","gemv-only","fused","avx2_fused","0.0510231","0.00039861796875","277348352","5435740909.50961","output","5378321552073814842","5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","true","true","true"
"2","2","A","1472","1","16","457,297,347,371","gemv-only","fused","avx2_fused","0.0461514","0.0003605578125","277348352","6009532798.57166","output","5378321552073814842","5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","true","true","true"
"3","1","A","1472","1","16","457,297,347,371","gemv-only","fused","avx2_fused","0.0597315","0.00046665234375","277348352","4643251081.92495","output","5378321552073814842","5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","true","true","true"
"3","2","Bclone","1472","1","16","457,297,347,371","gemv-only","fused","avx2_fused","0.068214","0.000532921875","277348352","4065856744.94972","output","5378321552073814842","5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","true","true","true"
"4","1","Bclone","1472","1","16","457,297,347,371","gemv-only","fused","avx2_fused","0.0763072","0.00059615","277348352","3634628868.57335","output","5378321552073814842","5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","true","true","true"
"4","2","A","1472","1","16","457,297,347,371","gemv-only","fused","avx2_fused","0.0939587","0.00073405234375","277348352","2951811295.81401","output","5378321552073814842","5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","true","true","true"
"5","1","A","1472","1","16","457,297,347,371","gemv-only","fused","avx2_fused","0.0695798","0.0005435921875","277348352","3986046984.90079","output","5378321552073814842","5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","true","true","true"
"5","2","Bclone","1472","1","16","457,297,347,371","gemv-only","fused","avx2_fused","0.0627922","0.0004905640625","277348352","4416923630.64202","output","5378321552073814842","5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","true","true","true"
