"campaign","campaign_repeat","order_index","target_kib","mode","variant","S","R","tile","invocation","D","O_i","B_i","rows_per_worker","bytes_per_worker","S_tile","iterations","timed_repetitions","warmup","worker_count","worker_list","affinity","affinity_error","affinity_succeeded","timed_repetitions_exact","avx2_supported","kernel_used","eviction_bytes","eviction_checksum","elapsed_seconds","mac_total","mac_per_second","checksum"
"pilot","1","1","512","repeat","B","8","16","2","1","512","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","2","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0501838","2147483648","4.27924e+10","18446744070745722834"
"pilot","1","2","512","repeat","A","8","16","2","2","512","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","2","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0810602","2147483648","2.64925e+10","18446744072342836291"
"pilot","1","3","512","fused","B","8","16","2","3","512","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","2","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0360483","2147483648","5.95724e+10","18446744070745722834"
"pilot","1","4","512","fused","A","8","16","2","4","512","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","2","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0370116","2147483648","5.80219e+10","18446744072342836291"
"pilot","1","1","512","repeat","B","8","16","4","5","512","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","4","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0585241","2147483648","3.6694e+10","18446744070745722834"
"pilot","1","2","512","repeat","A","8","16","4","6","512","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","4","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0633511","2147483648","3.38981e+10","18446744072342836291"
"pilot","1","3","512","fused","B","8","16","4","7","512","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","4","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.02383","2147483648","9.01168e+10","18446744070745722834"
"pilot","1","4","512","fused","A","8","16","4","8","512","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","4","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0217959","2147483648","9.8527e+10","18446744072342836291"
"pilot","1","1","512","repeat","B","8","16","8","9","512","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0652396","2147483648","3.29169e+10","18446744070745722834"
"pilot","1","2","512","repeat","A","8","16","8","10","512","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0813072","2147483648","2.6412e+10","18446744072342836291"
