"campaign","campaign_repeat","invocation","D","S","R","O_i","B_i","rows_per_worker","bytes_per_worker","mode","variant","S_tile","iterations","timed_repetitions","warmup","worker_count","worker_list","affinity","affinity_error","affinity_succeeded","timed_repetitions_exact","avx2_supported","kernel_used","eviction_bytes","eviction_checksum","elapsed_seconds","mac_total","mac_per_second","checksum"
"pilot","1","1","512","8","16","1024,1024,1024,1024","524288,524288,524288,524288","1024,1024,1024,1024","524288,524288,524288,524288","fused","A","2","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.107127","1342177280","1.25289e+10","1344005558"
"pilot","1","2","512","8","16","1024,1024,1024,1024","8388608,8388608,8388608,8388608","1024,1024,1024,1024","8388608,8388608,8388608,8388608","fused","B","2","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0770075","1342177280","1.74292e+10","18446744071836486043"
"pilot","1","3","512","8","16","1024,1024,1024,1024","524288,524288,524288,524288","1024,1024,1024,1024","524288,524288,524288,524288","repeat","A","2","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0394013","1342177280","3.40643e+10","1344005558"
"pilot","1","4","512","8","16","1024,1024,1024,1024","8388608,8388608,8388608,8388608","1024,1024,1024,1024","8388608,8388608,8388608,8388608","repeat","B","2","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0407136","1342177280","3.29663e+10","18446744071836486043"
"pilot","1","5","512","8","16","1024,1024,1024,1024","524288,524288,524288,524288","1024,1024,1024,1024","524288,524288,524288,524288","fused","A","4","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0543518","1342177280","2.46943e+10","1344005558"
"pilot","1","6","512","8","16","1024,1024,1024,1024","8388608,8388608,8388608,8388608","1024,1024,1024,1024","8388608,8388608,8388608,8388608","fused","B","4","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0917097","1342177280","1.46351e+10","18446744071836486043"
"pilot","1","7","512","8","16","1024,1024,1024,1024","524288,524288,524288,524288","1024,1024,1024,1024","524288,524288,524288,524288","repeat","A","4","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0408067","1342177280","3.28911e+10","1344005558"
"pilot","1","8","512","8","16","1024,1024,1024,1024","8388608,8388608,8388608,8388608","1024,1024,1024,1024","8388608,8388608,8388608,8388608","repeat","B","4","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0393172","1342177280","3.41372e+10","18446744071836486043"
"pilot","1","9","512","8","16","1024,1024,1024,1024","524288,524288,524288,524288","1024,1024,1024,1024","524288,524288,524288,524288","fused","A","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0490398","1342177280","2.73691e+10","1344005558"
"pilot","1","10","512","8","16","1024,1024,1024,1024","8388608,8388608,8388608,8388608","1024,1024,1024,1024","8388608,8388608,8388608,8388608","fused","B","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0527558","1342177280","2.54413e+10","18446744071836486043"
"pilot","1","11","512","8","16","1024,1024,1024,1024","524288,524288,524288,524288","1024,1024,1024,1024","524288,524288,524288,524288","repeat","A","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0408679","1342177280","3.28418e+10","1344005558"
"pilot","1","12","512","8","16","1024,1024,1024,1024","8388608,8388608,8388608,8388608","1024,1024,1024,1024","8388608,8388608,8388608,8388608","repeat","B","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0467379","1342177280","2.87171e+10","18446744071836486043"
"pilot","2","13","512","8","16","1024,1024,1024,1024","524288,524288,524288,524288","1024,1024,1024,1024","524288,524288,524288,524288","fused","A","2","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0702239","1342177280","1.91128e+10","1344005558"
"pilot","2","14","512","8","16","1024,1024,1024,1024","8388608,8388608,8388608,8388608","1024,1024,1024,1024","8388608,8388608,8388608,8388608","fused","B","2","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0734987","1342177280","1.82612e+10","18446744071836486043"
"pilot","2","15","512","8","16","1024,1024,1024,1024","524288,524288,524288,524288","1024,1024,1024,1024","524288,524288,524288,524288","repeat","A","2","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.043245","1342177280","3.10366e+10","1344005558"
"pilot","2","16","512","8","16","1024,1024,1024,1024","8388608,8388608,8388608,8388608","1024,1024,1024,1024","8388608,8388608,8388608,8388608","repeat","B","2","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0425092","1342177280","3.15738e+10","18446744071836486043"
"pilot","2","17","512","8","16","1024,1024,1024,1024","524288,524288,524288,524288","1024,1024,1024,1024","524288,524288,524288,524288","fused","A","4","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0779795","1342177280","1.72119e+10","1344005558"
"pilot","2","18","512","8","16","1024,1024,1024,1024","8388608,8388608,8388608,8388608","1024,1024,1024,1024","8388608,8388608,8388608,8388608","fused","B","4","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0645771","1342177280","2.07841e+10","18446744071836486043"
"pilot","2","19","512","8","16","1024,1024,1024,1024","524288,524288,524288,524288","1024,1024,1024,1024","524288,524288,524288,524288","repeat","A","4","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0411696","1342177280","3.26012e+10","1344005558"
"pilot","2","20","512","8","16","1024,1024,1024,1024","8388608,8388608,8388608,8388608","1024,1024,1024,1024","8388608,8388608,8388608,8388608","repeat","B","4","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0406425","1342177280","3.3024e+10","18446744071836486043"
"pilot","2","21","512","8","16","1024,1024,1024,1024","524288,524288,524288,524288","1024,1024,1024,1024","524288,524288,524288,524288","fused","A","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0517485","1342177280","2.59365e+10","1344005558"
"pilot","2","22","512","8","16","1024,1024,1024,1024","8388608,8388608,8388608,8388608","1024,1024,1024,1024","8388608,8388608,8388608,8388608","fused","B","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0534573","1342177280","2.51075e+10","18446744071836486043"
"pilot","2","23","512","8","16","1024,1024,1024,1024","524288,524288,524288,524288","1024,1024,1024,1024","524288,524288,524288,524288","repeat","A","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0486477","1342177280","2.75897e+10","1344005558"
"pilot","2","24","512","8","16","1024,1024,1024,1024","8388608,8388608,8388608,8388608","1024,1024,1024,1024","8388608,8388608,8388608,8388608","repeat","B","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0416417","1342177280","3.22316e+10","18446744071836486043"
"pilot","3","25","512","8","16","1024,1024,1024,1024","524288,524288,524288,524288","1024,1024,1024,1024","524288,524288,524288,524288","fused","A","2","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0715401","1342177280","1.87612e+10","1344005558"
"pilot","3","26","512","8","16","1024,1024,1024,1024","8388608,8388608,8388608,8388608","1024,1024,1024,1024","8388608,8388608,8388608,8388608","fused","B","2","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0746109","1342177280","1.7989e+10","18446744071836486043"
"pilot","3","27","512","8","16","1024,1024,1024,1024","524288,524288,524288,524288","1024,1024,1024,1024","524288,524288,524288,524288","repeat","A","2","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0408732","1342177280","3.28376e+10","1344005558"
"pilot","3","28","512","8","16","1024,1024,1024,1024","8388608,8388608,8388608,8388608","1024,1024,1024,1024","8388608,8388608,8388608,8388608","repeat","B","2","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0524456","1342177280","2.55918e+10","18446744071836486043"
"pilot","3","29","512","8","16","1024,1024,1024,1024","524288,524288,524288,524288","1024,1024,1024,1024","524288,524288,524288,524288","fused","A","4","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0545436","1342177280","2.46074e+10","1344005558"
"pilot","3","30","512","8","16","1024,1024,1024,1024","8388608,8388608,8388608,8388608","1024,1024,1024,1024","8388608,8388608,8388608,8388608","fused","B","4","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0593138","1342177280","2.26284e+10","18446744071836486043"
"pilot","3","31","512","8","16","1024,1024,1024,1024","524288,524288,524288,524288","1024,1024,1024,1024","524288,524288,524288,524288","repeat","A","4","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0404695","1342177280","3.31652e+10","1344005558"
"pilot","3","32","512","8","16","1024,1024,1024,1024","8388608,8388608,8388608,8388608","1024,1024,1024,1024","8388608,8388608,8388608,8388608","repeat","B","4","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0465031","1342177280","2.88621e+10","18446744071836486043"
"pilot","3","33","512","8","16","1024,1024,1024,1024","524288,524288,524288,524288","1024,1024,1024,1024","524288,524288,524288,524288","fused","A","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0646023","1342177280","2.0776e+10","1344005558"
"pilot","3","34","512","8","16","1024,1024,1024,1024","8388608,8388608,8388608,8388608","1024,1024,1024,1024","8388608,8388608,8388608,8388608","fused","B","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0597166","1342177280","2.24758e+10","18446744071836486043"
"pilot","3","35","512","8","16","1024,1024,1024,1024","524288,524288,524288,524288","1024,1024,1024,1024","524288,524288,524288,524288","repeat","A","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0404589","1342177280","3.31738e+10","1344005558"
