"target_kib","variant","mode","alternating_median_mac_per_second","fixed_order_median_mac_per_second","alternating_over_fixed_median","alternating_mean_mac_per_second","fixed_order_mean_mac_per_second","alternating_over_fixed_mean"
"512","A","legacy","67020750000","11036050000","6.0728929281762953","70980120000","14341486000","4.9492862873484658"
"512","A","repeat","35680500000","23155500000","1.5409082075532812","37717970000","20629210000","1.8283768501072024"
"512","A","fused","34210450000","35247650000","0.97057392478647508","35817620000","33556690000","1.0673764307504703"
"512","B","legacy","0","30551050000","0","0","28464824000","0"
"512","B","repeat","0","28166750000","0","0","27437070000","0"
"512","B","fused","0","29325800000","0","0","25811973000","0"
"768","A","legacy","0","14512100000","0","0","13023552000","0"
"768","A","repeat","0","25114400000","0","0","22610735000","0"
"768","A","fused","0","33171700000","0","0","32865760000","0"
"768","B","legacy","0","33426400000","0","0","27697954000","0"
"768","B","repeat","0","28163850000","0","0","25042736000","0"
"768","B","fused","0","30322550000","0","0","28883740000","0"
