"target_kib","variant","n","numerator_mode","denominator_mode","throughput_ratio_mean","throughput_ratio_median","throughput_ratio_min","throughput_ratio_max","throughput_ratio_population_sd","elapsed_ratio_mean","elapsed_ratio_median","elapsed_ratio_min","elapsed_ratio_max","elapsed_ratio_population_sd"
"512","A","10","legacy","repeat","1.9679873174238409","1.9194875088223071","1.1838758463530994","3.1725264182621085","0.50272130403167448","0.54000758473766608","0.52097288521425933","0.31520579630548895","0.84468278494819127","0.13381112047083024"
"512","A","10","legacy","fused","2.0224358838293135","2.0270120074683984","1.1172307515601669","2.6460936357808791","0.46835857592880137","0.52688948323469165","0.4938542614770991","0.37791498834004666","0.89507073773522483","0.14670079176507109"
"512","A","10","repeat","legacy","0.54000788192227","0.52097315704165315","0.31520620104017733","0.84468316764842832","0.13381110178724367","1.96798863984876","1.9194885056121294","1.1838763827314596","3.1725304918911674","0.50272231305385873"
"512","A","10","repeat","fused","1.0878906023092034","1.018391853617775","0.468928749186416","1.6567730720392213","0.34017469229116459","1.0389456278501561","0.98666559673005838","0.60358353723433433","2.1325237900636345","0.41893929935051177"
"512","A","10","fused","legacy","0.526889672107343","0.49385420532520119","0.37791557580497093","0.895070242743982","0.14670061129849066","2.0224369569081126","2.0270118291194641","1.117230133710186","2.646097749105953","0.4683594333452234"
"512","A","10","fused","repeat","1.0389453123611123","0.986666249227244","0.60358296309654569","2.1325201360227628","0.418938385146739","1.0878904922847439","1.0183925447717881","0.46892794568550156","1.6567714960916196","0.34017459315174142"
"512","B","1","legacy","repeat","0","0","0","0","0","0","0","0","0","0"
"512","B","1","legacy","fused","0","0","0","0","0","0","0","0","0","0"
"512","B","1","repeat","legacy","0","0","0","0","0","0","0","0","0","0"
"512","B","1","repeat","fused","0","0","0","0","0","0","0","0","0","0"
"512","B","1","fused","legacy","0","0","0","0","0","0","0","0","0","0"
"512","B","1","fused","repeat","0","0","0","0","0","0","0","0","0","0"
"768","A","1","legacy","repeat","0","0","0","0","0","0","0","0","0","0"
"768","A","1","legacy","fused","0","0","0","0","0","0","0","0","0","0"
"768","A","1","repeat","legacy","0","0","0","0","0","0","0","0","0","0"
"768","A","1","repeat","fused","0","0","0","0","0","0","0","0","0","0"
"768","A","1","fused","legacy","0","0","0","0","0","0","0","0","0","0"
"768","A","1","fused","repeat","0","0","0","0","0","0","0","0","0","0"
"768","B","1","legacy","repeat","0","0","0","0","0","0","0","0","0","0"
"768","B","1","legacy","fused","0","0","0","0","0","0","0","0","0","0"
"768","B","1","repeat","legacy","0","0","0","0","0","0","0","0","0","0"
"768","B","1","repeat","fused","0","0","0","0","0","0","0","0","0","0"
"768","B","1","fused","legacy","0","0","0","0","0","0","0","0","0","0"
"768","B","1","fused","repeat","0","0","0","0","0","0","0","0","0","0"
