"target_kib","variant","mode","n","mean_mac_per_second","median_mac_per_second","min_mac_per_second","max_mac_per_second","population_sd_mac_per_second","mean_elapsed_seconds","median_elapsed_seconds","min_elapsed_seconds","max_elapsed_seconds","population_sd_elapsed_seconds"
"512","A","legacy","10","70980120000","67020750000","51152000000","95359000000","16518789485.177176","0.0039862","0.0040732500000000005","0.002815","0.0052478","0.00088650157021857574"
"512","A","repeat","10","37717970000","35680500000","24495900000","50575700000","10609647110.912785","0.00772079","0.0075829","0.0053076","0.0109584","0.0021709782967362892"
"512","A","fused","10","35817620000","34210450000","29397300000","52238000000","7079628291.9091167","0.00774154","0.00784665","0.0051387","0.0091313","0.0012676940705075497"
"512","B","legacy","1","0","0","0","0","0","0","0","0","0","0"
"512","B","repeat","1","0","0","0","0","0","0","0","0","0","0"
"512","B","fused","1","0","0","0","0","0","0","0","0","0","0"
"768","A","legacy","1","0","0","0","0","0","0","0","0","0","0"
"768","A","repeat","1","0","0","0","0","0","0","0","0","0","0"
"768","A","fused","1","0","0","0","0","0","0","0","0","0","0"
"768","B","legacy","1","0","0","0","0","0","0","0","0","0","0"
"768","B","repeat","1","0","0","0","0","0","0","0","0","0","0"
"768","B","fused","1","0","0","0","0","0","0","0","0","0","0"
