"target_kib","variant","mode","alternating_median_mac_per_second","fixed_order_median_mac_per_second","alternating_over_fixed_median","alternating_mean_mac_per_second","fixed_order_mean_mac_per_second","alternating_over_fixed_mean"
"512","A","legacy","92346250000","11036050000","8.3676904327182289","89916800000","14341486000","6.2696989698278127"
"512","A","repeat","48518850000","23155500000","2.0953488372093023","46410790000","20629210000","2.2497608972907832"
"512","A","fused","43427250000","35247650000","1.232060860794975","42529710000","33556690000","1.2673988405888661"
"512","B","legacy","39916650000","30551050000","1.3065557484930961","39552890000","28464824000","1.3895357301348499"
"512","B","repeat","33333650000","28166750000","1.1834396939654024","34691870000","27437070000","1.2644159890250672"
"512","B","fused","35837050000","29325800000","1.2220314535323844","36285620000","25811973000","1.4057670058774663"
"768","A","legacy","89955700000","14512100000","6.1986686971561662","90069720000","13023552000","6.9159104981498132"
"768","A","repeat","44968800000","25114400000","1.7905584047399101","42649670000","22610735000","1.8862575674784565"
"768","A","fused","48103000000","33171700000","1.4501216398315431","47080040000","32865760000","1.4324950951993807"
"768","B","legacy","33266250000","33426400000","0.99520887681593","34535380000","27697954000","1.2468567172867715"
"768","B","repeat","30572700000","28163850000","1.085529854760624","30722750000","25042736000","1.2268128370638096"
"768","B","fused","32319600000","30322550000","1.0658602261353349","31938090000","28883740000","1.1057463472528142"
