"invocation","target_kib","repeat","variant","rows_per_worker","D","S","R","mode","S_tile","iterations","timed_repetitions","warmup","worker_count","worker_list","affinity_succeeded","affinity","affinity_error","timed_repetitions_exact","avx2_supported","kernel_used","mac_total","elapsed_seconds","mac_per_second","checksum","eviction_bytes","eviction_checksum","correction_evidence","four_worker_affinity","exact_repetitions"
"1","512","1","A","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0100953","2.65901e+10","81541731","0","0","true","true","true"
"2","512","1","B","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0161818","1.65887e+10","18446744073530809057","0","0","true","true","true"
"3","512","2","B","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0344163","7.79966e+09","18446744073530809057","0","0","true","true","true"
"4","512","2","A","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0103302","2.59855e+10","81541731","0","0","true","true","true"
"5","512","3","A","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0095795","2.80219e+10","81541731","0","0","true","true","true"
"6","512","3","B","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0182311","1.4724e+10","18446744073530809057","0","0","true","true","true"
"7","512","4","B","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0172969","1.55193e+10","18446744073530809057","0","0","true","true","true"
"8","512","4","A","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.009817","2.73439e+10","81541731","0","0","true","true","true"
"9","512","5","A","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.014973","1.7928e+10","81541731","0","0","true","true","true"
"10","512","5","B","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0164695","1.62989e+10","18446744073530809057","0","0","true","true","true"
