"invocation","target_kib","repeat_index","D","S","R","O_i","B_i","rows_per_worker","bytes_per_worker","mode","variant","S_tile","iterations","timed_repetitions","warmup","worker_count","worker_list","affinity","affinity_error","affinity_succeeded","timed_repetitions_exact","avx2_supported","kernel_used","eviction_bytes","eviction_checksum","elapsed_seconds","mac_total","mac_per_second","checksum","expected_mac_total"
"001","512","1","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","legacy","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0260053","268435456","1.03223e+10","81541731","268435456"
"001","512","1","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","repeat","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.009385","268435456","2.86026e+10","81541731","268435456"
"001","512","1","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","fused","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0122265","268435456","2.19552e+10","81541731","268435456"
"002","512","1","512","1","16","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","legacy","B","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.006793","268435456","3.95165e+10","18446744073530809057","268435456"
"002","512","1","512","1","16","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","repeat","B","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0078552","268435456","3.4173e+10","18446744073530809057","268435456"
"002","512","1","512","1","16","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","fused","B","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.013323","268435456","2.01483e+10","18446744073530809057","268435456"
"003","768","1","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","legacy","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0038053","402653184","1.05814e+11","18446744073656903484","402653184"
"003","768","1","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","repeat","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.009775","402653184","4.11921e+10","18446744073656903484","402653184"
"003","768","1","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","fused","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0260197","402653184","1.54749e+10","18446744073656903484","402653184"
"004","768","1","512","1","16","1816,1705,1023,1600","14876672,13967360,8380416,13107200","1816,1705,1023,1600","14876672,13967360,8380416,13107200","legacy","B","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0098997","402653184","4.06733e+10","18446744072675525801","402653184"
