"D","S","R","component","mode","n","elapsed_seconds_median","elapsed_per_timed_step_median","qpc_ticks_per_timed_step_median","tsc_cycles_per_timed_step_median","elapsed_per_timed_step_min","elapsed_per_timed_step_max","elapsed_per_timed_step_population_sd","checksum","checksum_deterministic","all_rounds_valid","affinity_succeeded","timed_repetitions_exact","mac_total","checksum_kind"
"512","1","1","full","fused","10","0.0002506","3.1325E-05","313.25","62545.0625","1.955E-05","0.00263705","0.000776582105105643","5156533420041995800","True","True","True","True","2097152","state"
"512","1","1","gemv-only","fused","10","0.00019005","2.375625E-05","237.5625","47409.875","1.295E-05","8.25375E-05","1.96225508025843E-05","7649350121136269137","True","True","True","True","2097152","output"
"512","1","1","transition-only","fused","10","4.22E-05","5.275E-06","52.75","10558.75","4.9875E-06","8.65E-05","2.5225648405938E-05","14659709760075817538","True","True","True","True","0","state"
"512","4","1","full","fused","10","0.0007165","8.95625E-05","895.625","178820.1875","5.48375E-05","0.000147075","2.89193808284341E-05","5494975376828880146","True","True","True","True","8388608","state"
"512","4","1","gemv-only","fused","10","0.00051855","6.481875E-05","648.1875","129405","4.19E-05","0.0001413125","3.15672996350654E-05","4248865521692537765","True","True","True","True","8388608","output"
"512","4","1","transition-only","fused","10","0.0001891","2.36375E-05","236.375","47198.8125","1.80875E-05","7.8275E-05","2.19971518042678E-05","17544176442612759010","True","True","True","True","0","state"
"512","8","1","full","fused","10","0.0024706","0.000308825","3088.25","616482.4375","0.000246725","0.0010347875","0.000221015447498161","3842179408685066247","True","True","True","True","16777216","state"
"512","8","1","gemv-only","fused","10","0.0019813","0.0002476625","2476.625","494361.3125","0.0002039","0.000303525","2.94708314747395E-05","10291565644549863803","True","True","True","True","16777216","output"
"512","8","1","transition-only","fused","10","0.00048715","6.089375E-05","608.9375","121546.1875","2.825E-05","0.0042125125","0.00124807797731903","14302777025956857287","True","True","True","True","0","state"
"512","16","1","full","fused","10","0.00570685","0.00071335625","7133.5625","1424034.9375","0.00067125","0.000773675","3.94472222762579E-05","3144505421455985126","True","True","True","True","33554432","state"
"512","16","1","gemv-only","fused","10","0.00509945","0.00063743125","6374.3125","1272476.25","0.00057565","0.0007160625","4.80875293247896E-05","990135718269287460","True","True","True","True","33554432","output"
"512","16","1","transition-only","fused","10","0.0006065","7.58125E-05","758.125","151343.75","6.3675E-05","0.003256275","0.000952919023074626","15721343852480694635","True","True","True","True","0","state"
