"run","order_index","D","S","R","component","mode","elapsed_seconds","elapsed_per_timed_step","qpc_ticks_per_timed_step","tsc_cycles_per_timed_step","tsc_supported","mac_total","mac_per_second","checksum_kind","validation_invariant","final_checksum","per_round_checksums","per_round_finite","per_round_overflow","all_rounds_valid","worker_count","cpus","affinity","affinity_errors","affinity_succeeded","timed_repetitions","warmup","timed_repetitions_exact"
"1","1","512","1","1","transition-only","fused","3.99E-05","4.9875E-06","49.875","9927.5","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14659709760075817538","14659709760075817538","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","2","512","1","1","gemv-only","fused","0.0003627","4.53375E-05","453.375","90527.5","true","2097152","5782056796.25035","output","output checksum; GEMV output is deterministic and state remains frozen","7649350121136269137","7649350121136269137","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","3","512","1","1","full","fused","0.0002317","2.89625E-05","289.625","57819.625","true","2097152","9051152352.17954","state","state checksum; actual GEMV followed by apply_transition","5156533420041995800","5156533420041995800","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","1","512","1","1","full","fused","0.0003487","4.35875E-05","435.875","87055","true","2097152","6014201319.18555","state","state checksum; actual GEMV followed by apply_transition","5156533420041995800","5156533420041995800","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","2","512","1","1","gemv-only","fused","0.0001489","1.86125E-05","186.125","37170","true","2097152","14084298186.7025","output","output checksum; GEMV output is deterministic and state remains frozen","7649350121136269137","7649350121136269137","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","3","512","1","1","transition-only","fused","4.67E-05","5.8375E-06","58.375","11637.625","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14659709760075817538","14659709760075817538","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","1","512","1","1","transition-only","fused","4.11E-05","5.1375E-06","51.375","10272.625","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14659709760075817538","14659709760075817538","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","2","512","1","1","gemv-only","fused","0.0002068","2.585E-05","258.5","51590","true","2097152","10140967117.9884","output","output checksum; GEMV output is deterministic and state remains frozen","7649350121136269137","7649350121136269137","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","3","512","1","1","full","fused","0.0002563","3.20375E-05","320.375","63975","true","2097152","8182411236.83184","state","state checksum; actual GEMV followed by apply_transition","5156533420041995800","5156533420041995800","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","1","512","1","1","full","fused","0.0002399","2.99875E-05","299.875","59837.5","true","2097152","8741775739.89162","state","state checksum; actual GEMV followed by apply_transition","5156533420041995800","5156533420041995800","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","2","512","1","1","gemv-only","fused","0.0001782","2.2275E-05","222.75","44419.75","true","2097152","11768529741.8631","output","output checksum; GEMV output is deterministic and state remains frozen","7649350121136269137","7649350121136269137","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","3","512","1","1","transition-only","fused","4.15E-05","5.1875E-06","51.875","10337.625","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14659709760075817538","14659709760075817538","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
