"D","S","R","component","mode","n","elapsed_seconds_median","elapsed_per_timed_step_median","qpc_ticks_per_timed_step_median","tsc_cycles_per_timed_step_median","elapsed_per_timed_step_min","elapsed_per_timed_step_max","elapsed_per_timed_step_population_sd","checksum","checksum_deterministic","all_rounds_valid","affinity_succeeded","timed_repetitions_exact","mac_total","checksum_kind"
"512","1","1","full","fused","10","0.0003628","4.535E-05","453.5","90488.75","2.81625E-05","8.42875E-05","1.74552545813574E-05","5156533420041995800","True","True","True","True","2097152","state"
"512","1","1","gemv-only","fused","10","0.00024615","3.076875E-05","307.6875","61410","1.90125E-05","5.9925E-05","1.11780007855833E-05","7649350121136269137","True","True","True","True","2097152","output"
"512","1","1","transition-only","fused","10","0.00013125","1.640625E-05","164.0625","32750","5.65E-06","9.24E-05","3.45843936986034E-05","14659709760075817538","True","True","True","True","0","state"
"512","4","1","full","fused","10","0.00109195","0.00013649375","1364.9375","272471.25","6.83875E-05","0.0001654125","3.19392246109701E-05","5494975376828880146","True","True","True","True","8388608","state"
"512","4","1","gemv-only","fused","10","0.00067845","8.480625E-05","848.0625","169298.75","3.705E-05","0.0001436375","3.71520777514529E-05","4248865521692537765","True","True","True","True","8388608","output"
"512","4","1","transition-only","fused","10","0.00031085","3.885625E-05","388.5625","77504.875","2.2625E-05","0.000131375","3.34018569141373E-05","17544176442612759010","True","True","True","True","0","state"
"512","8","1","full","fused","10","0.00269395","0.00033674375","3367.4375","672228.8125","0.0002733375","0.0039216875","0.00108077780402082","3842179408685066247","True","True","True","True","16777216","state"
"512","8","1","gemv-only","fused","10","0.0019151","0.0002393875","2393.875","477872.5","0.000158175","0.0017347625","0.000450646688051252","10291565644549863803","True","True","True","True","16777216","output"
"512","8","1","transition-only","fused","10","0.00045815","5.726875E-05","572.6875","114333.8125","3.90125E-05","0.0002517125","6.16467705079715E-05","14302777025956857287","True","True","True","True","0","state"
"512","16","1","full","fused","10","0.0060882","0.000761025","7610.25","1519191.25","0.0007372625","0.0021067875","0.000403864621082981","3144505421455985126","True","True","True","True","33554432","state"
"512","16","1","gemv-only","fused","10","0.0050142","0.000626775","6267.75","1251194.9375","0.0005853","0.004179025","0.00105950029468569","990135718269287460","True","True","True","True","33554432","output"
"512","16","1","transition-only","fused","10","0.00064345","8.043125E-05","804.3125","160527.125","7.76625E-05","0.0001764875","3.03709823731881E-05","15721343852480694635","True","True","True","True","0","state"
