"metric","native_mode","D","S","R","rows_per_worker","n","median","min","max","population_sd","checksum","checksum_deterministic","checksum_values","elapsed_median_seconds","mac_total","mac_per_second_median","all_rounds_valid","timed_repetitions","warmup","worker_count","cpus"
"G(S)","fused","512","1","1","128,128,128,128","10","5749562673.58175","4310692702.98047","8727224302.95464","1631892948.15851","5156533420041995800","True","5156533420041995800","0.00036475","2097152","5749562673.58175","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","1","1","128,128,128,128","10","7156822198.86265","3114273834.27383","10290245338.5672","2796466885.87884","5156533420041995800","True","5156533420041995800","0.0002953","2097152","7156822198.86265","True","8","2","4","0,2,4,6"
"G(S)","fused","512","1","2","128,128,128,128","10","4578610981.59617","3150059331.58092","11976881781.8389","2859448057.24132","13175200098663782325","True","13175200098663782325","0.00091745","4194304","4578610981.59617","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","1","2","128,128,128,128","10","7439937355.69993","1184430136.67683","10472669163.5456","2984226292.4629","13175200098663782325","True","13175200098663782325","0.0005942","4194304","7439937355.69993","True","8","2","4","0,2,4,6"
"G(S)","fused","512","1","4","128,128,128,128","10","4541541259.66348","3779673785.70785","9740603808.63911","2200199902.4463","13977311238581039400","True","13977311238581039400","0.00184845","8388608","4541541259.66348","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","1","4","128,128,128,128","10","5634847973.1067","4117310297.43791","10330798029.5567","2511655121.69033","13977311238581039400","True","13977311238581039400","0.00150015","8388608","5634847973.1067","True","8","2","4","0,2,4,6"
"G(S)","fused","512","1","8","128,128,128,128","10","3530555478.65378","2256609681.62804","5066655392.14206","856749612.045106","6479385130747434895","True","6479385130747434895","0.0047569","16777216","3530555478.65378","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","1","8","128,128,128,128","10","4017659476.87464","3474262994.40878","5297176054.55923","702586274.817537","6479385130747434895","True","6479385130747434895","0.00418235","16777216","4017659476.87464","True","8","2","4","0,2,4,6"
"G(S)","fused","512","1","16","128,128,128,128","10","3900562936.65706","2467473508.49714","4529363678.08644","700632498.389732","16794876969260276264","True","16794876969260276264","0.008608","33554432","3900562936.65706","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","1","16","128,128,128,128","10","3828082549.12688","1243023760.6597","4636575329.21555","1030260248.097","16794876969260276264","True","16794876969260276264","0.0087848","33554432","3828082549.12688","True","8","2","4","0,2,4,6"
"G(S)","fused","512","2","1","128,128,128,128","10","6974350828.48845","1159191885.69218","14852351274.7875","3922664243.92428","13342772756393143073","True","13342772756393143073","0.0006027","4194304","6974350828.48845","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","2","1","128,128,128,128","10","10024702309.5352","5990151385.31848","15638717375.0932","3761682863.61559","13342772756393143073","True","13342772756393143073","0.0004208","4194304","10024702309.5352","True","8","2","4","0,2,4,6"
"G(S)","fused","512","2","2","128,128,128,128","10","8804660675.21221","3582884722.1629","13090836454.432","3679554732.79045","5320820740352473086","True","5320820740352473086","0.00103825","8388608","8804660675.21221","True","8","2","4","0,2,4,6"
