"run","order_index","metric","native_mode","D","S","R","rows_per_worker","mode","kernel","elapsed_seconds","mac_total","mac_per_second","final_checksum","per_round_checksums","per_round_finite","per_round_overflow","per_round_clipped_cells","per_round_clipping_rates","clipped_cells","clipping_rate","all_rounds_valid","worker_count","cpus","affinity","affinity_errors","affinity_succeeded","timed_repetitions","warmup","timed_repetitions_exact"
"1","1","F(S)","repeat","512","1","1","128,128,128,128","repeat","avx2_repeat","0.0006734","2097152","3114273834.27383","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","2","G(S)","fused","512","1","1","128,128,128,128","fused","avx2_fused","0.0004645","2097152","4514858988.15931","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","1","G(S)","fused","512","1","1","128,128,128,128","fused","avx2_fused","0.0002585","2097152","8112773694.39072","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","2","F(S)","repeat","512","1","1","128,128,128,128","repeat","avx2_repeat","0.000217","2097152","9664294930.87558","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","1","F(S)","repeat","512","1","1","128,128,128,128","repeat","avx2_repeat","0.0005619","2097152","3732251290.26517","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","2","G(S)","fused","512","1","1","128,128,128,128","fused","avx2_fused","0.000365","2097152","5745621917.80822","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","1","G(S)","fused","512","1","1","128,128,128,128","fused","avx2_fused","0.0002511","2097152","8351859816.80605","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","2","F(S)","repeat","512","1","1","128,128,128,128","repeat","avx2_repeat","0.0006057","2097152","3462360904.73832","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"5","1","F(S)","repeat","512","1","1","128,128,128,128","repeat","avx2_repeat","0.0002038","2097152","10290245338.5672","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"5","2","G(S)","fused","512","1","1","128,128,128,128","fused","avx2_fused","0.0002541","2097152","8253254624.16372","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"6","1","G(S)","fused","512","1","1","128,128,128,128","fused","avx2_fused","0.0004865","2097152","4310692702.98047","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"6","2","F(S)","repeat","512","1","1","128,128,128,128","repeat","avx2_repeat","0.0002694","2097152","7784528582.03415","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"7","1","F(S)","repeat","512","1","1","128,128,128,128","repeat","avx2_repeat","0.0004548","2097152","4611152154.79332","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"7","2","G(S)","fused","512","1","1","128,128,128,128","fused","avx2_fused","0.000389","2097152","5391136246.78663","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","1","G(S)","fused","512","1","1","128,128,128,128","fused","avx2_fused","0.0002403","2097152","8727224302.95464","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","2","F(S)","repeat","512","1","1","128,128,128,128","repeat","avx2_repeat","0.0002047","2097152","10245002442.5989","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","1","F(S)","repeat","512","1","1","128,128,128,128","repeat","avx2_repeat","0.0003212","2097152","6529115815.69116","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","2","G(S)","fused","512","1","1","128,128,128,128","fused","avx2_fused","0.0003645","2097152","5753503429.35528","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"10","1","G(S)","fused","512","1","1","128,128,128,128","fused","avx2_fused","0.0003978","2097152","5271875314.22826","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"10","2","F(S)","repeat","512","1","1","128,128,128,128","repeat","avx2_repeat","0.0002266","2097152","9254863195.05737","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","1","F(S)","repeat","512","1","2","128,128,128,128","repeat","avx2_repeat","0.0004005","4194304","10472669163.5456","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","2","G(S)","fused","512","1","2","128,128,128,128","fused","avx2_fused","0.0013315","4194304","3150059331.58092","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","1","G(S)","fused","512","1","2","128,128,128,128","fused","avx2_fused","0.0009531","4194304","4400696674.01112","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","2","F(S)","repeat","512","1","2","128,128,128,128","repeat","avx2_repeat","0.0010323","4194304","4063066937.90565","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","1","F(S)","repeat","512","1","2","128,128,128,128","repeat","avx2_repeat","0.0004058","4194304","10335889600.7886","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","2","G(S)","fused","512","1","2","128,128,128,128","fused","avx2_fused","0.0012628","4194304","3321431738.99271","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","1","G(S)","fused","512","1","2","128,128,128,128","fused","avx2_fused","0.0012282","4194304","3415000814.19964","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","2","F(S)","repeat","512","1","2","128,128,128,128","repeat","avx2_repeat","0.0007954","4194304","5273200905.20493","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"5","1","F(S)","repeat","512","1","2","128,128,128,128","repeat","avx2_repeat","0.0004476","4194304","9370652368.18588","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"5","2","G(S)","fused","512","1","2","128,128,128,128","fused","avx2_fused","0.0004725","4194304","8876833862.43386","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"6","1","G(S)","fused","512","1","2","128,128,128,128","fused","avx2_fused","0.0008094","4194304","5181991598.7151","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"6","2","F(S)","repeat","512","1","2","128,128,128,128","repeat","avx2_repeat","0.000757","4194304","5540692206.07662","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"7","1","F(S)","repeat","512","1","2","128,128,128,128","repeat","avx2_repeat","0.0035412","4194304","1184430136.67683","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"7","2","G(S)","fused","512","1","2","128,128,128,128","fused","avx2_fused","0.0010304","4194304","4070559006.21118","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","1","G(S)","fused","512","1","2","128,128,128,128","fused","avx2_fused","0.0004778","4194304","8778367517.78987","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","2","F(S)","repeat","512","1","2","128,128,128,128","repeat","avx2_repeat","0.0007287","4194304","5755872101.00178","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","1","F(S)","repeat","512","1","2","128,128,128,128","repeat","avx2_repeat","0.0004376","4194304","9584789762.34004","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","2","G(S)","fused","512","1","2","128,128,128,128","fused","avx2_fused","0.0003502","4194304","11976881781.8389","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"10","1","G(S)","fused","512","1","2","128,128,128,128","fused","avx2_fused","0.0008818","4194304","4756525289.18122","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"10","2","F(S)","repeat","512","1","2","128,128,128,128","repeat","avx2_repeat","0.0004597","4194304","9124002610.39808","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","1","F(S)","repeat","512","1","4","128,128,128,128","repeat","avx2_repeat","0.0018878","8388608","4443589363.28001","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","2","G(S)","fused","512","1","4","128,128,128,128","fused","avx2_fused","0.002038","8388608","4116098135.42689","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","1","G(S)","fused","512","1","4","128,128,128,128","fused","avx2_fused","0.0008612","8388608","9740603808.63911","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","2","F(S)","repeat","512","1","4","128,128,128,128","repeat","avx2_repeat","0.0008695","8388608","9647622771.70788","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","1","F(S)","repeat","512","1","4","128,128,128,128","repeat","avx2_repeat","0.0020374","8388608","4117310297.43791","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","2","G(S)","fused","512","1","4","128,128,128,128","fused","avx2_fused","0.0018987","8388608","4418079738.76863","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","1","G(S)","fused","512","1","4","128,128,128,128","fused","avx2_fused","0.0022194","8388608","3779673785.70785","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","2","F(S)","repeat","512","1","4","128,128,128,128","repeat","avx2_repeat","0.0018241","8388608","4598765418.56258","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"5","1","F(S)","repeat","512","1","4","128,128,128,128","repeat","avx2_repeat","0.0018976","8388608","4420640809.44351","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"5","2","G(S)","fused","512","1","4","128,128,128,128","fused","avx2_fused","0.002018","8388608","4156891972.24975","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"6","1","G(S)","fused","512","1","4","128,128,128,128","fused","avx2_fused","0.0008949","8388608","9373793719.96871","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"6","2","F(S)","repeat","512","1","4","128,128,128,128","repeat","avx2_repeat","0.0009183","8388608","9134931939.45334","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"7","1","F(S)","repeat","512","1","4","128,128,128,128","repeat","avx2_repeat","0.0016312","8388608","5142599313.38892","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"7","2","G(S)","fused","512","1","4","128,128,128,128","fused","avx2_fused","0.002015","8388608","4163080893.30025","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","1","G(S)","fused","512","1","4","128,128,128,128","fused","avx2_fused","0.0017063","8388608","4916256226.92375","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","2","F(S)","repeat","512","1","4","128,128,128,128","repeat","avx2_repeat","0.000812","8388608","10330798029.5567","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","1","F(S)","repeat","512","1","4","128,128,128,128","repeat","avx2_repeat","0.0008342","8388608","10055871493.6466","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","2","G(S)","fused","512","1","4","128,128,128,128","fused","avx2_fused","0.0017982","8388608","4665002780.55834","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
