probe,kernel_requested,kernel_used,avx2_supported,target_kib,m,K,depth,variant,iterations,repetitions,warmup,worker_count,logical_cpu_indices,rows_per_worker,all_affinity_succeeded,affinity_error,kernel_elapsed_seconds,wall_elapsed_seconds,mac_count,mac_per_second,checksum,batch_repeat,variant_order
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0039114,0.0039673,268435456,6.8629e+10,-733452800,1,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0088274,0.0089939,268435456,3.04093e+10,335105240,1,2
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0236257,1.01683,268435456,1.1362e+10,-733452800,1,3
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0175177,0.934199,268435456,1.53237e+10,-733452800,2,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0073168,0.0075106,268435456,3.66875e+10,335105240,2,2
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0027862,0.0028785,268435456,9.63446e+10,-733452800,2,3
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0026013,0.0026456,268435456,1.03193e+11,-733452800,3,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.008995,0.0096361,268435456,2.98427e+10,335105240,3,2
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0149969,0.914814,268435456,1.78994e+10,-733452800,3,3
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0117618,0.870224,268435456,2.28227e+10,-733452800,4,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0063812,0.0064572,268435456,4.20666e+10,335105240,4,2
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0044387,0.0065853,268435456,6.04761e+10,-733452800,4,3
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0041138,0.0041956,268435456,6.52524e+10,-733452800,5,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0081498,0.008308,268435456,3.29377e+10,335105240,5,2
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0173925,0.863779,268435456,1.5434e+10,-733452800,5,3
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0120692,0.873997,268435456,2.22414e+10,-733452800,6,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0071138,0.007339,268435456,3.77345e+10,335105240,6,2
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0036613,0.0054422,268435456,7.3317e+10,-733452800,6,3
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0036165,0.0037697,268435456,7.42252e+10,-733452800,7,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.007118,0.0073778,268435456,3.77122e+10,335105240,7,2
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0139382,0.876431,268435456,1.9259e+10,-733452800,7,3
