probe,kernel_requested,kernel_used,avx2_supported,target_kib,m,K,depth,variant,iterations,repetitions,warmup,worker_count,logical_cpu_indices,rows_per_worker,all_affinity_succeeded,affinity_error,kernel_elapsed_seconds,wall_elapsed_seconds,mac_count,mac_per_second,checksum,batch_repeat,variant_order
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.019112,0.0375928,268435456,1.40454e+10,-733452800,1,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0129427,0.0204117,268435456,2.07403e+10,335105240,1,2
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0301302,1.03411,268435456,8.90918e+09,-733452800,1,3
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0430835,1.01488,268435456,6.23059e+09,-733452800,2,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0104219,0.0137633,268435456,2.57569e+10,335105240,2,2
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0129668,0.0186013,268435456,2.07018e+10,-733452800,2,3
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0127167,0.019937,268435456,2.11089e+10,-733452800,3,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0120196,0.0139345,268435456,2.23331e+10,335105240,3,2
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0228322,0.99738,268435456,1.17569e+10,-733452800,3,3
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0408919,1.04725,268435456,6.56451e+09,-733452800,4,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0099915,0.0109439,268435456,2.68664e+10,335105240,4,2
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0061169,0.0071145,268435456,4.38842e+10,-733452800,4,3
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0045472,0.006091,268435456,5.90331e+10,-733452800,5,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0132811,0.0166905,268435456,2.02118e+10,335105240,5,2
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.035118,1.0125,268435456,7.64381e+09,-733452800,5,3
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.07047,1.09605,268435456,3.80922e+09,-733452800,6,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0070297,0.0114194,268435456,3.81859e+10,335105240,6,2
