project_version,gate,D,S,R,total_rows,kernel,variant,transition,timing_scope,slot_tile,seed,phase_profile,require_affinity,projection_shift,state_multiplier,output_multiplier,final_shift,target_rms,epsilon,warmup_repetitions,timed_repetitions,sequences_per_repetition,worker_count,allow_smt_siblings,cpus,physical_cores,rows,base_weight_bytes,allocated_weight_bytes,logical_weight_load_bytes,one_pass_weight_bytes,distinct_weight_storage_bytes,elapsed_seconds,mac_total,mac_per_second,logical_weight_load_gb_per_second,one_pass_weight_gb_per_second,output_checksum,state_checksum,round_sink,weight_hash_signature,clone_hashes_equal,clone_addresses_distinct,all_affinity_succeeded,clipped_cells,transition_cells,worker_compute_seconds,worker_transition_seconds,worker_sync_seconds,worker_cold_seconds,worker_affinity_errors,valid,error,batch_repeat,variant_order
0.4.1,t0m,1472,1,8,1472,avx2-repeat,shared,frozen,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,2166784,69337088,69337088,2166784,0.00066209999999999999,69337088,104722984443.43755,104.72298444343754,104.72298444343754,1930731594294032454,9927959260608650301,12288815033314867580,11255046554403909569,false,false,true,0,0,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,1
0.4.1,t0m,1472,1,8,1472,avx2-fused,shared,frozen,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,2166784,69337088,69337088,2166784,0.00073439999999999996,69337088,94413246187.363846,94.413246187363839,94.413246187363839,1930731594294032454,9927959260608650301,12288815033314867580,11255046554403909569,false,false,true,0,0,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,2
0.4.1,t0m,1472,1,8,1472,avx2-repeat,clone,frozen,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,17334272,69337088,69337088,17334272,0.002859,69337088,24252216859.041622,24.252216859041621,24.252216859041621,1930731594294032454,9927959260608650301,12288815033314867580,11255046554403909569,true,true,true,0,0,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,3
0.4.1,t0m,1472,1,8,1472,avx2-fused,clone,frozen,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,17334272,69337088,69337088,17334272,0.0012588,69337088,55081893867.175087,55.08189386717509,55.08189386717509,1930731594294032454,9927959260608650301,12288815033314867580,11255046554403909569,true,true,true,0,0,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,4
0.4.1,t0rm,1472,1,8,1472,avx2-fused,shared,fixed-point,full-repetition,4,3221342974,false,true,14,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,2166784,69337088,69337088,2166784,0.00073479999999999997,69337088,94361850843.767014,94.361850843767016,94.361850843767016,10128494215365011255,14442104813591559944,2934774874896736992,11255046554403909569,false,false,true,0,47104,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,5
0.4.1,t0rm,1472,1,8,1472,avx2-fused,clone,fixed-point,full-repetition,4,3221342974,false,true,14,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,17334272,69337088,69337088,17334272,0.0014545999999999999,69337088,47667460470.232368,47.667460470232371,47.667460470232371,10128494215365011255,14442104813591559944,2934774874896736992,11255046554403909569,true,true,true,0,47104,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,6
0.4.1,t0rm,1472,1,8,1472,avx2-fused,shared,group-rms,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,2166784,69337088,69337088,2166784,0.00077669999999999996,69337088,89271389210.763489,89.271389210763488,89.271389210763488,8532277458400881971,1830297968666755101,11856643478809496232,11255046554403909569,false,false,true,0,47104,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,7
0.4.1,t0rm,1472,1,8,1472,avx2-fused,clone,group-rms,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,17334272,69337088,69337088,17334272,0.0015280000000000001,69337088,45377675392.670158,45.377675392670156,45.377675392670156,8532277458400881971,1830297968666755101,11856643478809496232,11255046554403909569,true,true,true,0,47104,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,8
0.4.1,t0rm,1472,1,8,1472,avx2-fused,shared,global-rms,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,2166784,69337088,69337088,2166784,0.00076889999999999999,69337088,90176990505.917542,90.176990505917544,90.176990505917544,1921319386727277400,3460539159099510511,1018957194554956891,11255046554403909569,false,false,true,0,47104,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,9
0.4.1,t0rm,1472,1,8,1472,avx2-fused,clone,global-rms,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,17334272,69337088,69337088,17334272,0.0016848,69337088,41154491927.825264,41.154491927825262,41.154491927825262,1921319386727277400,3460539159099510511,1018957194554956891,11255046554403909569,true,true,true,0,47104,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,10
0.4.1,t0m,1472,8,8,1472,avx2-repeat,shared,frozen,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,2166784,554696704,69337088,2166784,0.0051688000000000003,554696704,107316341123.66505,107.31634112366505,13.414542640458132,945175788286470250,6325574413642708964,13801644200311732869,11255046554403909569,false,false,true,0,0,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,11
