project_version,seed,require_affinity,allow_smt_siblings,D,S,transition,warmup_chains,chains,chain_length,state_reset_between_chains,synthetic_output_reused,worker_count,cpus,physical_cores,rows,projection_shift,state_multiplier,output_multiplier,final_shift,target_rms,epsilon,elapsed_seconds,cell_updates,updated_cells,cell_updates_per_second,ns_per_cell,clipped_cells,clipping_rate,all_affinity_succeeded,affinity_error,state_checksum,valid,error
0.4.1,2051871689,true,false,1472,1,fixed-point,25,250,1,true,true,4,"0;2;4;6","0;1;2;3","449;318;353;352",14,1,1,0,32,9.9999999999999995e-07,0.00023910000000000001,368000,368000,1539104976.9970722,0.64972826086956526,0,0,true,0,3320994499818151873,true,""
0.4.1,2051871689,true,false,1472,1,fixed-point,25,250,8,true,true,4,"0;2;4;6","0;1;2;3","449;318;353;352",14,1,1,0,32,9.9999999999999995e-07,0.00098139999999999989,2944000,2944000,2999796209.4966378,0.33335597826086955,0,0,true,0,6622486185223151729,true,""
0.4.1,2051871689,true,false,1472,1,group-rms,25,250,1,true,true,4,"0;2;4;6","0;1;2;3","449;318;353;352",12,1,1,0,32,9.9999999999999995e-07,0.00028820000000000001,368000,368000,1276891047.8834143,0.78315217391304348,0,0,true,0,417168964091264803,true,""
0.4.1,2051871689,true,false,1472,1,group-rms,25,250,8,true,true,4,"0;2;4;6","0;1;2;3","449;318;353;352",12,1,1,0,32,9.9999999999999995e-07,0.0015870000000000001,2944000,2944000,1855072463.7681158,0.5390625,0,0,true,0,5257729551378802926,true,""
0.4.1,2051871689,true,false,1472,1,global-rms,25,250,1,true,true,4,"0;2;4;6","0;1;2;3","449;318;353;352",12,1,1,0,32,9.9999999999999995e-07,0.00038759999999999999,368000,368000,949432404.54076374,1.0532608695652175,0,0,true,0,13690366810687815329,true,""
0.4.1,2051871689,true,false,1472,1,global-rms,25,250,8,true,true,4,"0;2;4;6","0;1;2;3","449;318;353;352",12,1,1,0,32,9.9999999999999995e-07,0.0026002,2944000,2944000,1132220598.4155066,0.88322010869565215,0,0,true,0,10169583239814625210,true,""
0.4.1,2051871689,true,false,1472,8,fixed-point,25,250,1,true,true,4,"0;2;4;6","0;1;2;3","449;318;353;352",14,1,1,0,32,9.9999999999999995e-07,0.00073360000000000005,2944000,2944000,4013086150.4907303,0.24918478260869564,0,0,true,0,10195185442723311952,true,""
0.4.1,2051871689,true,false,1472,8,fixed-point,25,250,8,true,true,4,"0;2;4;6","0;1;2;3","449;318;353;352",14,1,1,0,32,9.9999999999999995e-07,0.0041599999999999996,23552000,23552000,5661538461.5384617,0.17663043478260868,0,0,true,0,8299745113703811744,true,""
0.4.1,2051871689,true,false,1472,8,group-rms,25,250,1,true,true,4,"0;2;4;6","0;1;2;3","449;318;353;352",12,1,1,0,32,9.9999999999999995e-07,0.00087149999999999999,2944000,2944000,3378083763.6259322,0.2960258152173913,0,0,true,0,3038409518478785503,true,""
0.4.1,2051871689,true,false,1472,8,group-rms,25,250,8,true,true,4,"0;2;4;6","0;1;2;3","449;318;353;352",12,1,1,0,32,9.9999999999999995e-07,0.0076585999999999998,23552000,23552000,3075235682.7618628,0.32517832880434783,0,0,true,0,13952085605449872808,true,""
0.4.1,2051871689,true,false,1472,8,global-rms,25,250,1,true,true,4,"0;2;4;6","0;1;2;3","449;318;353;352",12,1,1,0,32,9.9999999999999995e-07,0.00098090000000000004,2944000,2944000,3001325313.4876132,0.33318614130434782,0,0,true,0,10904094651107890038,true,""
0.4.1,2051871689,true,false,1472,8,global-rms,25,250,8,true,true,4,"0;2;4;6","0;1;2;3","449;318;353;352",12,1,1,0,32,9.9999999999999995e-07,0.018257300000000001,23552000,23552000,1290004546.1267548,0.77519106657608694,0,0,true,0,16030992020199342169,true,""
0.4.1,2051871689,true,false,1472,16,fixed-point,25,250,1,true,true,4,"0;2;4;6","0;1;2;3","449;318;353;352",14,1,1,0,32,9.9999999999999995e-07,0.00079440000000000001,5888000,5888000,7411883182.2759314,0.13491847826086956,0,0,true,0,1042424269484546629,true,""
0.4.1,2051871689,true,false,1472,16,fixed-point,25,250,8,true,true,4,"0;2;4;6","0;1;2;3","449;318;353;352",14,1,1,0,32,9.9999999999999995e-07,0.0120701,47104000,47104000,3902536018.7570939,0.25624363111413045,0,0,true,0,15046109774289337479,true,""
0.4.1,2051871689,true,false,1472,16,group-rms,25,250,1,true,true,4,"0;2;4;6","0;1;2;3","449;318;353;352",12,1,1,0,32,9.9999999999999995e-07,0.0018392,5888000,5888000,3201391909.5258808,0.31236413043478262,0,0,true,0,12124547216171409356,true,""
0.4.1,2051871689,true,false,1472,16,group-rms,25,250,8,true,true,4,"0;2;4;6","0;1;2;3","449;318;353;352",12,1,1,0,32,9.9999999999999995e-07,0.012665900000000001,47104000,47104000,3718961937.1698813,0.26889223845108695,0,0,true,0,833720063588610084,true,""
0.4.1,2051871689,true,false,1472,16,global-rms,25,250,1,true,true,4,"0;2;4;6","0;1;2;3","449;318;353;352",12,1,1,0,32,9.9999999999999995e-07,0.0016538,5888000,5888000,3560285403.313581,0.2808763586956522,0,0,true,0,13386520553463087379,true,""
0.4.1,2051871689,true,false,1472,16,global-rms,25,250,8,true,true,4,"0;2;4;6","0;1;2;3","449;318;353;352",12,1,1,0,32,9.9999999999999995e-07,0.012732800000000001,47104000,47104000,3699421965.3179188,0.27031250000000001,0,0,true,0,1064724713308235452,true,""
