probe,kernel_requested,kernel_used,avx2_supported,fma_supported,target_kib,actual_weight_bytes_per_block,allocated_weight_bytes,m,K,depth,variant,iterations,repetitions,warmup,logical_cpu_index,processor_group,group_processor_index,affinity_succeeded,affinity_error,eviction_bytes,elapsed_seconds,mac_count,mac_per_second,checksum
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,1,A,1,2,1,0,0,0,true,0,0,0.0002207,1677312,7599963751.6991396,992.19049072265625
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,1,B,1,2,1,0,0,0,true,0,0,0.00019799999999999999,1677312,8471272727.272728,992.19049072265625
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,1,C,1,2,1,0,0,0,true,0,67108864,0.00019780000000000001,1677312,8479838220.4246712,992.19049072265625
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,2,A,1,2,1,0,0,0,true,0,0,0.00050160000000000005,3354624,6687846889.9521523,1984.3802490234375
scalar_q4,avx2,avx2,true,true,512,524160,1048320,1638,512,2,B,1,2,1,0,0,0,true,0,0,0.00040430000000000002,3354624,8297363344.0514469,1352.0919189453125
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,2,C,1,2,1,0,0,0,true,0,67108864,0.0040277000000000004,3354624,832888248.87652993,1984.3804931640625
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,4,A,1,2,1,0,0,0,true,0,0,0.00089389999999999999,6709248,7505591229.4440098,3968.751953125
scalar_q4,avx2,avx2,true,true,512,524160,2096640,1638,512,4,B,1,2,1,0,0,0,true,0,0,0.00079589999999999999,6709248,8429762532.9815302,2610.9716796875
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,4,C,1,2,1,0,0,0,true,0,67108864,0.012254599999999999,6709248,547488126.90744698,3968.751953125
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,8,A,1,2,1,0,0,0,true,0,0,0.0016478,13418496,8143279524.2141037,7937.49169921875
scalar_q4,avx2,avx2,true,true,512,524160,4193280,1638,512,8,B,1,2,1,0,0,0,true,0,0,0.0016398000000000001,13418496,8183007683.8638859,4906.61328125
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,8,C,1,2,1,0,0,0,true,0,67108864,0.028745699999999999,13418496,466800112.71251005,7937.4921875
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,16,A,1,2,1,0,0,0,true,0,0,0.0037935999999999998,26836992,7074280894.137495,15874.96484375
scalar_q4,avx2,avx2,true,true,512,524160,8386560,1638,512,16,B,1,2,1,0,0,0,true,0,0,0.0034873999999999999,26836992,7695415495.7848253,9914.1044921875
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,16,C,1,2,1,0,0,0,true,0,67108864,0.051949000000000002,26836992,516602668.00130898,15874.96484375
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,1,A,1,2,1,0,0,0,true,0,0,0.00041100000000000002,3354624,8162102189.7810211,1271.6666259765625
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,1,B,1,2,1,0,0,0,true,0,0,0.0004103,3354624,8176027297.0996828,1271.6666259765625
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,1,C,1,2,1,0,0,0,true,0,67108864,0.00040030000000000003,3354624,8380274793.9045706,1271.6666259765625
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,2,A,1,2,1,0,0,0,true,0,0,0.00079239999999999996,6709248,8466996466.4310961,2543.335205078125
scalar_q4,avx2,avx2,true,true,1024,1048320,2096640,3276,512,2,B,1,2,1,0,0,0,true,0,0,0.00080239999999999999,6709248,8361475573.28016,2627.178955078125
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,2,C,1,2,1,0,0,0,true,0,67108864,0.0040739000000000001,6709248,1646885785.1199095,2543.33544921875
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,4,A,1,2,1,0,0,0,true,0,0,0.0015869,13418496,8455791795.3242168,5086.66650390625
scalar_q4,avx2,avx2,true,true,1024,1048320,4193280,3276,512,4,B,1,2,1,0,0,0,true,0,0,0.0015865,13418496,8457923731.4843998,4776.06005859375
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,4,C,1,2,1,0,0,0,true,0,67108864,0.0111684,13418496,1201469861.3946493,5086.66650390625
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,8,A,1,2,1,0,0,0,true,0,0,0.0031822,26836992,8433471183.4579849,10173.341796875
scalar_q4,avx2,avx2,true,true,1024,1048320,8386560,3276,512,8,B,1,2,1,0,0,0,true,0,0,0.0031900000000000001,26836992,8412850156.7398119,10697.712890625
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,8,C,1,2,1,0,0,0,true,0,67108864,0.0297579,26836992,901844283.36676979,10173.341796875
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,16,A,1,2,1,0,0,0,true,0,0,0.0063971000000000002,53673984,8390361882.7281113,20346.6015625
scalar_q4,avx2,avx2,true,true,1024,1048320,16773120,3276,512,16,B,1,2,1,0,0,0,true,0,0,0.0064576,53673984,8311754212.0911798,20986.685546875
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,16,C,1,2,1,0,0,0,true,0,67108864,0.056665199999999999,53673984,947212469.02861023,20346.6015625
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,1,A,1,2,1,0,0,0,true,0,0,0.00049870000000000003,4194304,8410475235.6125917,1821.859375
