probe,kernel_requested,kernel_used,avx2_supported,fma_supported,target_kib,actual_weight_bytes_per_block,allocated_weight_bytes_per_worker,m,K,depth,variant,iterations,repetitions,warmup,worker_count,logical_cpu_indices,all_affinity_succeeded,affinity_error,batch_elapsed_seconds,batch_mac_count,batch_mac_per_second,checksum_sum
q4_gemv_batch,avx2,avx2,true,true,128,130880,130880,409,512,4,A,1,8,2,8,0..7,true,0,0.0035236999999999998,53608448,15213681073.871216,20564.263671875
q4_gemv_batch,avx2,avx2,true,true,128,130880,523520,409,512,4,B,1,8,2,8,0..7,true,0,0.003238,53608448,16556037059.913527,25891.703125
q4_gemv_batch,avx2,avx2,true,true,128,130880,130880,409,512,8,A,1,8,2,8,0..7,true,0,0.0067280999999999999,107216896,15935687043.890549,41128.58203125
q4_gemv_batch,avx2,avx2,true,true,128,130880,1047040,409,512,8,B,1,8,2,8,0..7,true,0,0.0044644999999999997,107216896,24015431963.265766,38255.015625
q4_gemv_batch,avx2,avx2,true,true,128,130880,130880,409,512,16,A,1,8,2,8,0..7,true,0,0.011527000000000001,214433792,18602740695.757786,82257.0625
q4_gemv_batch,avx2,avx2,true,true,128,130880,2094080,409,512,16,B,1,8,2,8,0..7,true,0,0.0135128,214433792,15868938487.952164,85983.1796875
q4_gemv_batch,avx2,avx2,true,true,192,196480,196480,614,512,4,A,1,8,2,8,0..7,true,0,0.0046552,80478208,17287808901.873173,47808.625
q4_gemv_batch,avx2,avx2,true,true,192,196480,785920,614,512,4,B,1,8,2,8,0..7,true,0,0.0033100999999999998,80478208,24312923476.632126,43356.640625
q4_gemv_batch,avx2,avx2,true,true,192,196480,196480,614,512,8,A,1,8,2,8,0..7,true,0,0.026202799999999998,160956416,6142718182.7896261,95617.375
q4_gemv_batch,avx2,avx2,true,true,192,196480,1571840,614,512,8,B,1,8,2,8,0..7,true,0,0.0066027999999999998,160956416,24376994002.544376,67701.25
q4_gemv_batch,avx2,avx2,true,true,192,196480,196480,614,512,16,A,1,8,2,8,0..7,true,0,0.0154041,321912832,20897866931.531216,191235.140625
q4_gemv_batch,avx2,avx2,true,true,192,196480,3143680,614,512,16,B,1,8,2,8,0..7,true,0,0.013707,321912832,23485287225.505215,130342.0546875
q4_gemv_batch,avx2,avx2,true,true,512,524160,524160,1638,512,4,A,1,8,2,8,0..7,true,0,0.0097750000000000007,214695936,21963778618.925831,127000.0625
q4_gemv_batch,avx2,avx2,true,true,512,524160,2096640,1638,512,4,B,1,8,2,8,0..7,true,0,0.0116662,214695936,18403244929.797192,83551.09375
q4_gemv_batch,avx2,avx2,true,true,512,524160,524160,1638,512,8,A,1,8,2,8,0..7,true,0,0.017529200000000002,429391872,24495805398.991394,253999.734375
q4_gemv_batch,avx2,avx2,true,true,512,524160,4193280,1638,512,8,B,1,8,2,8,0..7,true,0,0.0184812,429391872,23233982208.947472,157011.625
q4_gemv_batch,avx2,avx2,true,true,512,524160,524160,1638,512,16,A,1,8,2,8,0..7,true,0,0.036706500000000003,858783744,23395958318.009071,507998.96875
q4_gemv_batch,avx2,avx2,true,true,512,524160,8386560,1638,512,16,B,1,8,2,8,0..7,true,0,0.0396566,858783744,21655506120.040546,317251.34375
q4_gemv_batch,avx2,avx2,true,true,1024,1048320,1048320,3276,512,4,A,1,8,2,8,0..7,true,0,0.0183287,429391872,23427295552.876091,162773.328125
q4_gemv_batch,avx2,avx2,true,true,1024,1048320,4193280,3276,512,4,B,1,8,2,8,0..7,true,0,0.0220115,429391872,19507615201.144855,152833.921875
q4_gemv_batch,avx2,avx2,true,true,1024,1048320,1048320,3276,512,8,A,1,8,2,8,0..7,true,0,0.035455100000000003,858783744,24221726747.350872,325546.96875
q4_gemv_batch,avx2,avx2,true,true,1024,1048320,8386560,3276,512,8,B,1,8,2,8,0..7,true,0,0.037671999999999997,858783744,22796340624.33638,342326.78125
q4_gemv_batch,avx2,avx2,true,true,1024,1048320,1048320,3276,512,16,A,1,8,2,8,0..7,true,0,0.0735011,1717567488,23367915418.952915,651091.25
q4_gemv_batch,avx2,avx2,true,true,1024,1048320,16773120,3276,512,16,B,1,8,2,8,0..7,true,0,0.076353699999999997,1717567488,22494882212.649815,671573.9375
q4_gemv_batch,avx2,avx2,true,true,1280,1310720,1310720,4096,512,4,A,1,8,2,8,0..7,true,0,0.022923200000000001,536870912,23420417393.732113,233198.109375
q4_gemv_batch,avx2,avx2,true,true,1280,1310720,5242880,4096,512,4,B,1,8,2,8,0..7,true,0,0.024390800000000001,536870912,22011205536.513767,201974.359375
q4_gemv_batch,avx2,avx2,true,true,1280,1310720,1310720,4096,512,8,A,1,8,2,8,0..7,true,0,0.044257299999999999,1073741824,24261349517.480732,466394.96875
q4_gemv_batch,avx2,avx2,true,true,1280,1310720,10485760,4096,512,8,B,1,8,2,8,0..7,true,0,0.046861600000000003,1073741824,22913042320.364647,427817.78125
q4_gemv_batch,avx2,avx2,true,true,1280,1310720,1310720,4096,512,16,A,1,8,2,8,0..7,true,0,0.093739900000000001,2147483648,22908960303.990082,932780.0625
q4_gemv_batch,avx2,avx2,true,true,1280,1310720,20971520,4096,512,16,B,1,8,2,8,0..7,true,0,0.089762800000000004,2147483648,23923982406.965912,824730.0625
