"target_kib","R","variant","rows_per_worker","elapsed_seconds","mac_total","mac_per_second","checksum","eviction_checksum","affinity_validated","avx2_validated"
"512","1","A","1211,1136,683,1066","0.0019579","16777216","8.56899e+09","81541731","0","true","true"
"512","1","B","1211,1136,683,1066","0.0025583","16777216","6.55795e+09","81541731","0","true","true"
"512","4","A","1211,1136,683,1066","0.0073642","67108864","9.11285e+09","81541731","0","true","true"
"512","4","B","1211,1136,683,1066","0.0059564","67108864","1.12667e+10","18446744073404312357","0","true","true"
"512","8","A","1211,1136,683,1066","0.0116605","134217728","1.15105e+10","81541731","0","true","true"
"512","8","B","1211,1136,683,1066","0.016101","134217728","8.33599e+09","18446744072899154372","0","true","true"
"512","16","A","1211,1136,683,1066","0.0246271","268435456","1.09e+10","81541731","0","true","true"
"512","16","B","1211,1136,683,1066","0.0470488","268435456","5.70547e+09","18446744073530809057","0","true","true"
"768","1","A","1816,1705,1023,1600","0.0021326","25165824","1.18005e+10","18446744073656903484","0","true","true"
"768","1","B","1816,1705,1023,1600","0.0030578","25165824","8.23004e+09","18446744073656903484","0","true","true"
"768","4","A","1816,1705,1023,1600","0.0142409","100663296","7.0686e+09","18446744073656903484","0","true","true"
"768","4","B","1816,1705,1023,1600","0.0106843","100663296","9.42161e+09","18446744073105302100","0","true","true"
"768","8","A","1816,1705,1023,1600","0.0174423","201326592","1.15424e+10","18446744073656903484","0","true","true"
"768","8","B","1816,1705,1023,1600","0.0218981","201326592","9.19379e+09","18446744072251431697","0","true","true"
"768","16","A","1816,1705,1023,1600","0.0387335","402653184","1.03955e+10","18446744073656903484","0","true","true"
"768","16","B","1816,1705,1023,1600","0.0732622","402653184","5.49606e+09","18446744072675525801","0","true","true"
