"run","order_index","variant","D","S","R","mode","S_tile","rows_per_worker","bytes_per_worker","elapsed_seconds","mac_total","mac_per_second","checksum","worker_count","worker_list","affinity","affinity_error","affinity_succeeded","timed_repetitions","warmup","timed_repetitions_exact","avx2_supported","kernel_used"
"1","1","Bclone","1472","1","16","fused","8","457,297,347,371","10763264,6994944,8172544,8737792","0.0163628","277348352","16949900000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"1","2","A","1472","1","16","fused","8","457,297,347,371","672704,437184,510784,546112","0.0140856","277348352","19690200000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"2","1","A","1472","1","16","fused","8","457,297,347,371","672704,437184,510784,546112","0.0084775","277348352","32715800000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"2","2","Bclone","1472","1","16","fused","8","457,297,347,371","10763264,6994944,8172544,8737792","0.014968","277348352","18529400000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"3","1","Bclone","1472","1","16","fused","8","457,297,347,371","10763264,6994944,8172544,8737792","0.0119151","277348352","23277000000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"3","2","A","1472","1","16","fused","8","457,297,347,371","672704,437184,510784,546112","0.0076877","277348352","36076900000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"4","1","A","1472","1","16","fused","8","457,297,347,371","672704,437184,510784,546112","0.0072319","277348352","38350700000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"4","2","Bclone","1472","1","16","fused","8","457,297,347,371","10763264,6994944,8172544,8737792","0.0093017","277348352","29817000000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"5","1","Bclone","1472","1","16","fused","8","457,297,347,371","10763264,6994944,8172544,8737792","0.0095514","277348352","29037500000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"5","2","A","1472","1","16","fused","8","457,297,347,371","672704,437184,510784,546112","0.0042957","277348352","64564200000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"6","1","A","1472","1","16","fused","8","457,297,347,371","672704,437184,510784,546112","0.0083769","277348352","33108700000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"6","2","Bclone","1472","1","16","fused","8","457,297,347,371","10763264,6994944,8172544,8737792","0.0117502","277348352","23603700000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"7","1","Bclone","1472","1","16","fused","8","457,297,347,371","10763264,6994944,8172544,8737792","0.0110404","277348352","25121200000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"7","2","A","1472","1","16","fused","8","457,297,347,371","672704,437184,510784,546112","0.010603","277348352","26157500000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"8","1","A","1472","1","16","fused","8","457,297,347,371","672704,437184,510784,546112","0.009458","277348352","29324200000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"8","2","Bclone","1472","1","16","fused","8","457,297,347,371","10763264,6994944,8172544,8737792","0.0226769","277348352","12230400000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"9","1","Bclone","1472","1","16","fused","8","457,297,347,371","10763264,6994944,8172544,8737792","0.0222515","277348352","12464300000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"9","2","A","1472","1","16","fused","8","457,297,347,371","672704,437184,510784,546112","0.0215101","277348352","12893900000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"10","1","A","1472","1","16","fused","8","457,297,347,371","672704,437184,510784,546112","0.0141584","277348352","19589000000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"10","2","Bclone","1472","1","16","fused","8","457,297,347,371","10763264,6994944,8172544,8737792","0.0225302","277348352","12310100000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
