"run","order_index","variant","D","S","R","mode","S_tile","rows_per_worker","bytes_per_worker","elapsed_seconds","mac_total","mac_per_second","checksum","worker_count","worker_list","affinity","affinity_error","affinity_succeeded","timed_repetitions","warmup","timed_repetitions_exact","avx2_supported","kernel_used"
"1","1","A","1472","1","16","fused","8","457,297,347,371","672704,437184,510784,546112","0.0195122","277348352","14214100000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"1","2","Bclone","1472","1","16","fused","8","457,297,347,371","10763264,6994944,8172544,8737792","0.0097545","277348352","28432900000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"1","3","B_real","1472","1","16","fused","8","457,297,347,371","10763264,6994944,8172544,8737792","0.0113106","277348352","24521100000","18446744073696714746","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"2","1","B_real","1472","1","16","fused","8","457,297,347,371","10763264,6994944,8172544,8737792","0.0099061","277348352","27997700000","18446744073696714746","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"2","2","Bclone","1472","1","16","fused","8","457,297,347,371","10763264,6994944,8172544,8737792","0.0090551","277348352","30629000000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"2","3","A","1472","1","16","fused","8","457,297,347,371","672704,437184,510784,546112","0.0076855","277348352","36087200000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"3","1","Bclone","1472","1","16","fused","8","457,297,347,371","10763264,6994944,8172544,8737792","0.0088814","277348352","31228000000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"3","2","A","1472","1","16","fused","8","457,297,347,371","672704,437184,510784,546112","0.0121176","277348352","22888100000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"3","3","B_real","1472","1","16","fused","8","457,297,347,371","10763264,6994944,8172544,8737792","0.0112847","277348352","24577400000","18446744073696714746","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"4","1","B_real","1472","1","16","fused","8","457,297,347,371","10763264,6994944,8172544,8737792","0.009734","277348352","28492700000","18446744073696714746","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"4","2","A","1472","1","16","fused","8","457,297,347,371","672704,437184,510784,546112","0.0070032","277348352","39603100000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"4","3","Bclone","1472","1","16","fused","8","457,297,347,371","10763264,6994944,8172544,8737792","0.0152722","277348352","18160300000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"5","1","A","1472","1","16","fused","8","457,297,347,371","672704,437184,510784,546112","0.0370137","277348352","7493130000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"5","2","B_real","1472","1","16","fused","8","457,297,347,371","10763264,6994944,8172544,8737792","0.015289","277348352","18140400000","18446744073696714746","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"5","3","Bclone","1472","1","16","fused","8","457,297,347,371","10763264,6994944,8172544,8737792","0.0143504","277348352","19326900000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"6","1","Bclone","1472","1","16","fused","8","457,297,347,371","10763264,6994944,8172544,8737792","0.0071689","277348352","38687700000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"6","2","B_real","1472","1","16","fused","8","457,297,347,371","10763264,6994944,8172544,8737792","0.0101057","277348352","27444700000","18446744073696714746","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"6","3","A","1472","1","16","fused","8","457,297,347,371","672704,437184,510784,546112","0.0069098","277348352","40138400000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"7","1","A","1472","1","16","fused","8","457,297,347,371","672704,437184,510784,546112","0.0069275","277348352","40035900000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"7","2","Bclone","1472","1","16","fused","8","457,297,347,371","10763264,6994944,8172544,8737792","0.0090081","277348352","30788800000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"7","3","B_real","1472","1","16","fused","8","457,297,347,371","10763264,6994944,8172544,8737792","0.0085046","277348352","32611600000","18446744073696714746","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"8","1","B_real","1472","1","16","fused","8","457,297,347,371","10763264,6994944,8172544,8737792","0.0122656","277348352","22611900000","18446744073696714746","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"8","2","Bclone","1472","1","16","fused","8","457,297,347,371","10763264,6994944,8172544,8737792","0.0100215","277348352","27675300000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"8","3","A","1472","1","16","fused","8","457,297,347,371","672704,437184,510784,546112","0.0079027","277348352","35095400000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"9","1","Bclone","1472","1","16","fused","8","457,297,347,371","10763264,6994944,8172544,8737792","0.0114175","277348352","24291500000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"9","2","A","1472","1","16","fused","8","457,297,347,371","672704,437184,510784,546112","0.009601","277348352","28887400000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"9","3","B_real","1472","1","16","fused","8","457,297,347,371","10763264,6994944,8172544,8737792","0.0113927","277348352","24344400000","18446744073696714746","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"10","1","B_real","1472","1","16","fused","8","457,297,347,371","10763264,6994944,8172544,8737792","0.0210149","277348352","13197700000","18446744073696714746","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"10","2","A","1472","1","16","fused","8","457,297,347,371","672704,437184,510784,546112","0.0157292","277348352","17632700000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"10","3","Bclone","1472","1","16","fused","8","457,297,347,371","10763264,6994944,8172544,8737792","0.0163168","277348352","16997700000","37367653","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
