"run","order_index","variant","D","S","R","mode","S_tile","rows_per_worker","bytes_per_worker","elapsed_seconds","mac_total","mac_per_second","checksum","worker_count","worker_list","affinity","affinity_error","affinity_succeeded","timed_repetitions","warmup","timed_repetitions_exact","avx2_supported","kernel_used"
"1","1","A","512","1","16","fused","8","1332,807,965,992","681984,413184,494080,507904","0.0230733","268435456","11634000000","342599379","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"1","2","Bclone","512","1","16","fused","8","1332,807,965,992","10911744,6610944,7905280,8126464","0.0169043","268435456","15879700000","342599379","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"1","3","B_real","512","1","16","fused","8","1332,807,965,992","10911744,6610944,7905280,8126464","0.0107638","268435456","24938700000","18446744073654555548","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"2","1","B_real","512","1","16","fused","8","1332,807,965,992","10911744,6610944,7905280,8126464","0.024077","268435456","11149000000","18446744073654555548","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"2","2","Bclone","512","1","16","fused","8","1332,807,965,992","10911744,6610944,7905280,8126464","0.0139663","268435456","19220200000","342599379","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"2","3","A","512","1","16","fused","8","1332,807,965,992","681984,413184,494080,507904","0.0107547","268435456","24959800000","342599379","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"3","1","Bclone","512","1","16","fused","8","1332,807,965,992","10911744,6610944,7905280,8126464","0.0185129","268435456","14499900000","342599379","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"3","2","A","512","1","16","fused","8","1332,807,965,992","681984,413184,494080,507904","0.0172121","268435456","15595700000","342599379","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"3","3","B_real","512","1","16","fused","8","1332,807,965,992","10911744,6610944,7905280,8126464","0.0098923","268435456","27135800000","18446744073654555548","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
"4","1","B_real","512","1","16","fused","8","1332,807,965,992","10911744,6610944,7905280,8126464","0.0083516","268435456","32141800000","18446744073654555548","4","0,2,4,6","true,true,true,true","0,0,0,0","true","8","2","true","true","avx2"
