"target_kib","variant","mode","n","mean_mac_per_second","median_mac_per_second","min_mac_per_second","max_mac_per_second","population_sd_mac_per_second"
"512","A","legacy","10","54506880000","54361000000","24215900000","93184100000","19495894738.3186"
"512","A","repeat","10","24884110000","24549650000","14802700000","34403300000","5282104859.51387"
"512","A","fused","10","17474030000","18266800000","12655800000","21468000000","2490216888.56613"
"512","B","legacy","10","28863120000","28545350000","14154200000","39735800000","6454900961.09925"
"512","B","repeat","10","23037308000","25194000000","8353580000","30863500000","6107494019.79044"
"512","B","fused","10","15330743000","15512000000","9631530000","19941400000","3240220005.65409"
"768","A","legacy","10","62888940000","59812300000","39485500000","97228700000","13954723240.7669"
"768","A","repeat","10","27917440000","27537250000","21674500000","34333800000","3258454046.07768"
"768","A","fused","10","20060690000","20381200000","17758800000","21382700000","1133930764.5972"
"768","B","legacy","10","31697180000","33808200000","16165400000","41046400000","6404225731.46825"
"768","B","repeat","10","27250910000","27533800000","19933500000","30542900000","2951762691.15591"
"768","B","fused","10","16812620000","17378400000","10853600000","22149400000","4043724734.6475"
