"campaign","target_kib","S","R","mode","variant","tile","n","mean","median","min","max","population_sd","checksum","checksum_deterministic","checksum_values"
"pilot","512","8","16","repeat","A","4","10","39524700000","40979350000","33898100000","43478700000","3380048644.62037","18446744072342836291","True","18446744072342836291"
"pilot","512","8","16","fused","B","2","10","62550590000","62729300000","58129600000","65878600000","2540396132.27937","18446744070745722834","True","18446744070745722834"
"pilot","512","8","16","fused","B","4","10","104853660000","98728650000","82845000000","131555000000","16734593357.1868","18446744070745722834","True","18446744070745722834"
"pilot","512","8","16","fused","A","2","10","57691710000","61516650000","34431500000","68679900000","10898911500.0949","18446744072342836291","True","18446744072342836291"
"pilot","512","8","16","repeat","A","2","10","36449240000","39199250000","18371400000","45061300000","8460128552.94765","18446744072342836291","True","18446744072342836291"
"pilot","512","8","16","repeat","B","8","10","38892250000","39197400000","25680200000","49427400000","7057161799.93771","18446744070745722834","True","18446744070745722834"
"pilot","512","8","16","fused","B","8","10","102495560000","104368000000","82553300000","127359000000","13054840175.2147","18446744070745722834","True","18446744070745722834"
"pilot","512","8","16","repeat","B","2","10","38098320000","37746000000","32959000000","42792400000","2809602411.65899","18446744070745722834","True","18446744070745722834"
"pilot","512","8","16","repeat","B","4","10","38392820000","38302250000","28366600000","45869900000","4239151288.83129","18446744070745722834","True","18446744070745722834"
"pilot","512","8","16","repeat","A","8","10","34103460000","34959900000","23701600000","45053500000","7111252048.71828","18446744072342836291","True","18446744072342836291"
"pilot","512","8","16","fused","A","4","10","101602830000","99086600000","85323600000","118942000000","8458480802.13581","18446744072342836291","True","18446744072342836291"
"pilot","512","8","16","fused","A","8","10","104780680000","106955000000","88066800000","120197000000","9595264923.99246","18446744072342836291","True","18446744072342836291"
"main","768","2","16","fused","B","","10","54009640000","52595550000","45207900000","66532800000","6889838687.40045","18446744072268557640","True","18446744072268557640"
"main","384","2","1","fused","B","","10","50765330000","48348300000","35930600000","63824100000","8793484629.20701","521725446","True","521725446"
"main","768","8","8","fused","B","","10","106800920000","104948000000","89789300000","130107000000","11011296684.0241","18446744071271597766","True","18446744071271597766"
"main","384","16","1","fused","B","","10","103423340000","109006000000","33833000000","133338000000","28623550687.1946","18446744058463905399","True","18446744058463905399"
"main","768","16","16","fused","A","","10","102240930000","106483000000","45569700000","118568000000","19993134859.7487","18446744072594158984","True","18446744072594158984"
"main","512","4","8","repeat","A","","10","40605790000","38935350000","26177200000","55267200000","7262624001.75722","1471357870","True","1471357870"
"main","640","16","8","repeat","B","","10","40393470000","39566150000","33501000000","46162400000","3491962790.19408","6282555463","True","6282555463"
"main","384","1","2","fused","B","","10","38171950000","37698000000","27503600000","51181300000","7303667996.59596","297514844","True","297514844"
"main","512","8","8","repeat","B","","10","39879570000","37890400000","35385600000","46331300000","3679228958.64066","18446744066388976517","True","18446744066388976517"
"main","640","16","1","repeat","B","","10","43103530000","40722150000","36051700000","55314700000","6314749659.81234","18446744064341133394","True","18446744064341133394"
"main","640","8","4","fused","B","","10","105155790000","103162000000","74691600000","131966000000","18418186399.2875","5611313121","True","5611313121"
"main","640","2","16","repeat","A","","10","38149540000","37157900000","18702000000","52983100000","10075660807.8279","1137017487","True","1137017487"
"main","640","16","1","repeat","A","","10","43850380000","46380550000","12935200000","56542200000","11616556370.0952","18446744064341133394","True","18446744064341133394"
"main","512","4","1","repeat","A","","10","38206470000","37359500000","29407900000","55251800000","7019134881.3155","1471357870","True","1471357870"
"main","512","1","4","repeat","B","","10","35175030000","33321850000","25793200000","50141100000","7568940937.54866","18446744073404312357","True","18446744073404312357"
"main","384","4","4","repeat","A","","10","39661990000","40002100000","31894800000","48088300000","4439897768.74423","1603313223","True","1603313223"
