"invocation","target_kib","repeat","variant","rows_per_worker","elapsed_seconds","mac_total","mac_per_second","checksum","correction_evidence","avx2_validated","four_worker_affinity","exact_repetitions"
"1","512","1","A","1211,1136,683,1066","0.0021133","16777216","7.93887e+09","81541731","true","true","true","true"
"2","512","1","B","1211,1136,683,1066","0.0017101","16777216","9.81066e+09","81541731","true","true","true","true"
"3","512","2","B","1211,1136,683,1066","0.0026771","16777216","6.26694e+09","81541731","true","true","true","true"
"4","512","2","A","1211,1136,683,1066","0.0015946","16777216","1.05213e+10","81541731","true","true","true","true"
"5","512","3","A","1211,1136,683,1066","0.0076475","16777216","2.19382e+09","81541731","true","true","true","true"
"6","512","3","B","1211,1136,683,1066","0.0098969","16777216","1.6952e+09","81541731","true","true","true","true"
"7","512","4","B","1211,1136,683,1066","0.0015912","16777216","1.05438e+10","81541731","true","true","true","true"
"8","512","4","A","1211,1136,683,1066","0.0015209","16777216","1.10311e+10","81541731","true","true","true","true"
"9","512","5","A","1211,1136,683,1066","0.0019442","16777216","8.62937e+09","81541731","true","true","true","true"
"10","512","5","B","1211,1136,683,1066","0.0016033","16777216","1.04642e+10","81541731","true","true","true","true"
"11","512","6","B","1211,1136,683,1066","0.0019395","16777216","8.65028e+09","81541731","true","true","true","true"
"12","512","6","A","1211,1136,683,1066","0.0075916","16777216","2.20997e+09","81541731","true","true","true","true"
"13","512","7","A","1211,1136,683,1066","0.0014333","16777216","1.17053e+10","81541731","true","true","true","true"
"14","512","7","B","1211,1136,683,1066","0.0019697","16777216","8.51765e+09","81541731","true","true","true","true"
"15","512","8","B","1211,1136,683,1066","0.0018535","16777216","9.05164e+09","81541731","true","true","true","true"
"16","512","8","A","1211,1136,683,1066","0.0020975","16777216","7.99867e+09","81541731","true","true","true","true"
"17","512","9","A","1211,1136,683,1066","0.0020334","16777216","8.25082e+09","81541731","true","true","true","true"
"18","512","9","B","1211,1136,683,1066","0.0019741","16777216","8.49867e+09","81541731","true","true","true","true"
"19","512","10","B","1211,1136,683,1066","0.002226","16777216","7.53693e+09","81541731","true","true","true","true"
"20","512","10","A","1211,1136,683,1066","0.0017456","16777216","9.61115e+09","81541731","true","true","true","true"
"21","768","1","A","1816,1705,1023,1600","0.0021708","25165824","1.15929e+10","18446744073656903484","true","true","true","true"
"22","768","1","B","1816,1705,1023,1600","0.0021145","25165824","1.19015e+10","18446744073656903484","true","true","true","true"
"23","768","2","B","1816,1705,1023,1600","0.0025953","25165824","9.69669e+09","18446744073656903484","true","true","true","true"
"24","768","2","A","1816,1705,1023,1600","0.0021131","25165824","1.19094e+10","18446744073656903484","true","true","true","true"
"25","768","3","A","1816,1705,1023,1600","0.0026387","25165824","9.53721e+09","18446744073656903484","true","true","true","true"
"26","768","3","B","1816,1705,1023,1600","0.0021026","25165824","1.19689e+10","18446744073656903484","true","true","true","true"
"27","768","4","B","1816,1705,1023,1600","0.0023207","25165824","1.08441e+10","18446744073656903484","true","true","true","true"
"28","768","4","A","1816,1705,1023,1600","0.0024392","25165824","1.03172e+10","18446744073656903484","true","true","true","true"
"29","768","5","A","1816,1705,1023,1600","0.0032894","25165824","7.65058e+09","18446744073656903484","true","true","true","true"
"30","768","5","B","1816,1705,1023,1600","0.0026879","25165824","9.36263e+09","18446744073656903484","true","true","true","true"
"31","768","6","B","1816,1705,1023,1600","0.0028057","25165824","8.96953e+09","18446744073656903484","true","true","true","true"
"32","768","6","A","1816,1705,1023,1600","0.0027713","25165824","9.08087e+09","18446744073656903484","true","true","true","true"
"33","768","7","A","1816,1705,1023,1600","0.0021056","25165824","1.19519e+10","18446744073656903484","true","true","true","true"
"34","768","7","B","1816,1705,1023,1600","0.0022252","25165824","1.13095e+10","18446744073656903484","true","true","true","true"
"35","768","8","B","1816,1705,1023,1600","0.0043589","25165824","5.77343e+09","18446744073656903484","true","true","true","true"
"36","768","8","A","1816,1705,1023,1600","0.0024607","25165824","1.02271e+10","18446744073656903484","true","true","true","true"
"37","768","9","A","1816,1705,1023,1600","0.0025848","25165824","9.73608e+09","18446744073656903484","true","true","true","true"
"38","768","9","B","1816,1705,1023,1600","0.0021482","25165824","1.17148e+10","18446744073656903484","true","true","true","true"
"39","768","10","B","1816,1705,1023,1600","0.0025672","25165824","9.80283e+09","18446744073656903484","true","true","true","true"
"40","768","10","A","1816,1705,1023,1600","0.0021774","25165824","1.15577e+10","18446744073656903484","true","true","true","true"
