"invocation","target_kib","sample","variant","compare_order","D","S","R","O_i","B_i","rows_per_worker","bytes_per_worker","mode","S_tile","iterations","timed_repetitions","warmup","worker_count","worker_list","affinity","affinity_error","affinity_succeeded","timed_repetitions_exact","avx2_supported","kernel_used","eviction_bytes","eviction_checksum","elapsed_seconds","mac_total","mac_per_second","checksum"
"1","512","1","A","0","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0035364","268435456","75906400000","81541731"
"1","512","1","A","0","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0069107","268435456","38843500000","81541731"
"1","512","1","A","0","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0089981","268435456","29832500000","81541731"
"2","512","2","A","1","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0082551","268435456","32517500000","81541731"
"2","512","2","A","1","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0078251","268435456","34304400000","81541731"
"2","512","2","A","1","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0047178","268435456","56898400000","81541731"
"3","512","3","A","2","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0075472","268435456","35567600000","81541731"
"3","512","3","A","2","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0028522","268435456","94115200000","81541731"
"3","512","3","A","2","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0053076","268435456","50575700000","81541731"
"4","512","4","A","0","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.002815","268435456","95359000000","81541731"
"4","512","4","A","0","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0054099","268435456","49619300000","81541731"
"4","512","4","A","0","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0058907","268435456","45569400000","81541731"
"5","512","5","A","1","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0053142","268435456","50512900000","81541731"
"5","512","5","A","1","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0075463","268435456","35571800000","81541731"
"5","512","5","A","1","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.003547","268435456","75679600000","81541731"
"6","512","6","A","2","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0078682","268435456","34116500000","81541731"
