"target_kib","variant","mode","n","mean_mac_per_second","median_mac_per_second","min_mac_per_second","max_mac_per_second","population_sd_mac_per_second","mean_elapsed_seconds","median_elapsed_seconds","min_elapsed_seconds","max_elapsed_seconds","population_sd_elapsed_seconds"
"512","A","legacy","10","89916800000","92346250000","72354600000","103459000000","8396502853.3312607","0.0030135899999999996","0.00290685","0.0025946","0.00371","0.00030408410168899006"
"512","A","repeat","10","46410790000","48518850000","37725500000","50358400000","4472980719.0395975","0.0058444099999999995","0.0055326","0.0053305","0.0071155","0.000629011844801034"
"512","A","fused","10","42529710000","43427250000","34976200000","48621700000","4153055671.5387282","0.00637568","0.00618245","0.0055209","0.0076748","0.00065819089449794122"
"512","B","legacy","10","39552890000","39916650000","29777900000","45815100000","4767011052.7352457","0.00689682","0.00672505","0.0058591","0.0090146","0.00092195813874600585"
"512","B","repeat","10","34691870000","33333650000","31065000000","40719500000","3063789933.0894084","0.0077951099999999992","0.00805345","0.0065923","0.0086411","0.00065161948167623122"
"512","B","fused","10","36285620000","35837050000","30417600000","42422900000","3789500845.4412565","0.00747771","0.00749055","0.0063276","0.008825","0.00076869819103468694"
"768","A","legacy","10","90069720000","89955700000","75486600000","99760500000","6888314461.1435966","0.00449813","0.00447615","0.0040362","0.0053341","0.00036352626878947817"
"768","A","repeat","10","42649670000","44968800000","35098500000","49528100000","5890367762.041688","0.00963179","0.00896105","0.0081298","0.0114721","0.0013840896318158013"
"768","A","fused","10","47080040000","48103000000","36777400000","53995200000","5963590714.5276165","0.0087062799999999985","0.0083722","0.0074572","0.0109484","0.0012211874793003734"
"768","B","legacy","10","34535380000","33266250000","32028500000","40530400000","2626071193.9321065","0.011721600000000002","0.0121049","0.0099346","0.0125717","0.00082282752627753039"
"768","B","repeat","10","30722750000","30572700000","26769800000","35687300000","2712212686.8112683","0.013206850000000001","0.01317035","0.0112828","0.0150413","0.0011478390525243511"
"768","B","fused","10","31938090000","32319600000","27295200000","36853100000","3088326839.7143459","0.0127268","0.01246655","0.0109259","0.0147518","0.0012392148239913853"
