"invocation","target_kib","sample","variant","D","S","R","O_i","B_i","rows_per_worker","bytes_per_worker","mode","S_tile","iterations","timed_repetitions","warmup","worker_count","worker_list","affinity","affinity_error","affinity_succeeded","timed_repetitions_exact","avx2_supported","kernel_used","eviction_bytes","eviction_checksum","elapsed_seconds","mac_total","mac_per_second","checksum"
"1","512","1","A","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0318881","268435456","8418040000","81541731"
"1","512","1","A","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0220857","268435456","12154300000","81541731"
"1","512","1","A","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0099827","268435456","26890100000","81541731"
"2","512","2","A","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0138358","268435456","19401500000","81541731"
"2","512","2","A","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.021655","268435456","12396000000","81541731"
"2","512","2","A","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0060485","268435456","44380500000","81541731"
"3","512","3","A","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0080871","268435456","33193000000","81541731"
"3","512","3","A","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.023758","268435456","11298700000","81541731"
"3","512","3","A","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0075124","268435456","35732300000","81541731"
"4","512","4","A","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0361042","268435456","7435020000","81541731"
"4","512","4","A","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0107757","268435456","24911200000","81541731"
"4","512","4","A","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0069791","268435456","38462800000","81541731"
"5","512","5","A","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0243001","268435456","11046700000","81541731"
"5","512","5","A","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0102001","268435456","26316900000","81541731"
"5","512","5","A","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0071995","268435456","37285300000","81541731"
"6","512","6","A","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.024347","268435456","11025400000","81541731"
"6","512","6","A","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0113165","268435456","23720700000","81541731"
"6","512","6","A","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0076919","268435456","34898500000","81541731"
"7","512","7","A","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0136823","268435456","19619200000","81541731"
"7","512","7","A","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0111258","268435456","24127300000","81541731"
"7","512","7","A","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0087926","268435456","30529700000","81541731"
"8","512","8","A","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0213906","268435456","12549200000","81541731"
"8","512","8","A","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.012727","268435456","21091800000","81541731"
"8","512","8","A","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.007541","268435456","35596800000","81541731"
"9","512","9","A","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0263351","268435456","10193100000","81541731"
"9","512","9","A","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0118828","268435456","22590300000","81541731"
"9","512","9","A","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0100693","268435456","26658800000","81541731"
"10","512","10","A","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0254834","268435456","10533700000","81541731"
"10","512","10","A","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0096961","268435456","27684900000","81541731"
"10","512","10","A","512","1","16","1211,1136,683,1066","620032,581632,349696,545792","1211,1136,683,1066","620032,581632,349696,545792","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.010681","268435456","25132100000","81541731"
"11","512","1","B","512","1","16","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0090725","268435456","29587800000","18446744073530809057"
"11","512","1","B","512","1","16","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.009387","268435456","28596500000","18446744073530809057"
"11","512","1","B","512","1","16","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0092359","268435456","29064400000","18446744073530809057"
"12","512","2","B","512","1","16","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.008316","268435456","32279400000","18446744073530809057"
"12","512","2","B","512","1","16","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0088165","268435456","30446900000","18446744073530809057"
"12","512","2","B","512","1","16","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0083199","268435456","32264300000","18446744073530809057"
"13","512","3","B","512","1","16","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0069397","268435456","38681100000","18446744073530809057"
"13","512","3","B","512","1","16","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0106748","268435456","25146600000","18446744073530809057"
"13","512","3","B","512","1","16","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0081859","268435456","32792400000","18446744073530809057"
