"target_kib","variant","mode","n","mean_mac_per_second","median_mac_per_second","min_mac_per_second","max_mac_per_second","population_sd_mac_per_second","mean_elapsed_seconds","median_elapsed_seconds","min_elapsed_seconds","max_elapsed_seconds","population_sd_elapsed_seconds"
"512","A","legacy","10","14341486000","11036050000","7435020000","33193000000","7405381440.81748","0.02254537","0.02432355","0.0080871","0.0361042","0.00815618281526965"
"512","A","repeat","10","20629210000","23155500000","11298700000","27684900000","5941296896.37709","0.01452227","0.01159965","0.0096961","0.023758","0.00530464553387877"
"512","A","fused","10","33556690000","35247650000","25132100000","44380500000","5813637298.18949","0.0082498","0.00761645","0.0060485","0.010681","0.00146423450375956"
"512","B","legacy","10","28464824000","30551050000","7341640000","39960000000","9224473678.96857","0.0118903","0.0087918","0.0067176","0.0365634","0.00848607211246758"
"512","B","repeat","10","27437070000","28166750000","23917100000","30446900000","2037574221.98555","0.0098393","0.00953245","0.0088165","0.0112236","0.000750428020532283"
"512","B","fused","10","25811973000","29325800000","7446280000","32792400000","9408387767.53812","0.01424922","0.0091543","0.0081859","0.0360496","0.0107259325832116"
"768","A","legacy","10","13023552000","14512100000","2502480000","18867900000","5095835765.65179","0.0460317","0.0277461","0.0213406","0.160902","0.0423094263575624"
"768","A","repeat","10","22610735000","25114400000","3306050000","31201800000","7715215566.07623","0.02754112","0.0160368","0.0129048","0.121793","0.031714394773377"
"768","A","fused","10","32865760000","33171700000","11834100000","46517800000","8906277321.88932","0.01396262","0.0122215","0.0086559","0.0340248","0.00690505608214734"
"768","B","legacy","10","27697954000","33426400000","5259250000","36427700000","11237080458.5508","0.02340329","0.012046","0.0110535","0.0765609","0.0225800531202852"
"768","B","repeat","10","25042736000","28163850000","6061360000","31106400000","7134877755.31326","0.02027703","0.0142969","0.0129444","0.0664295","0.015568434550015"
"768","B","fused","10","28883740000","30322550000","14581300000","36970200000","6949490252.27031","0.01507852","0.0132868","0.0108913","0.0276144","0.00491715944459807"
