"invocation","target_kib","repeat","variant","rows_per_worker","D","S","R","mode","S_tile","iterations","timed_repetitions","warmup","worker_count","worker_list","affinity_succeeded","affinity","affinity_error","timed_repetitions_exact","avx2_supported","kernel_used","mac_total","elapsed_seconds","mac_per_second","checksum","eviction_bytes","eviction_checksum","correction_evidence","four_worker_affinity","exact_repetitions"
"1","512","1","A","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0275276","9.7515e+09","81541731","0","0","true","true","true"
"2","512","1","B","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0301289","8.90957e+09","18446744073530809057","0","0","true","true","true"
"3","512","2","B","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0439535","6.10726e+09","18446744073530809057","0","0","true","true","true"
"4","512","2","A","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0405321","6.62279e+09","81541731","0","0","true","true","true"
"5","512","3","A","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.026337","1.01923e+10","81541731","0","0","true","true","true"
"6","512","3","B","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0365454","7.34526e+09","18446744073530809057","0","0","true","true","true"
"7","512","4","B","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0309826","8.66407e+09","18446744073530809057","0","0","true","true","true"
"8","512","4","A","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0267998","1.00163e+10","81541731","0","0","true","true","true"
"9","512","5","A","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0330427","8.1239e+09","81541731","0","0","true","true","true"
"10","512","5","B","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0344887","7.78329e+09","18446744073530809057","0","0","true","true","true"
"11","512","6","B","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0326073","8.23237e+09","18446744073530809057","0","0","true","true","true"
"12","512","6","A","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0237959","1.12807e+10","81541731","0","0","true","true","true"
"13","512","7","A","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0362734","7.40034e+09","81541731","0","0","true","true","true"
"14","512","7","B","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0364873","7.35696e+09","18446744073530809057","0","0","true","true","true"
"15","512","8","B","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0417072","6.43619e+09","18446744073530809057","0","0","true","true","true"
"16","512","8","A","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0291941","9.19485e+09","81541731","0","0","true","true","true"
"17","512","9","A","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0238421","1.12589e+10","81541731","0","0","true","true","true"
"18","512","9","B","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0322669","8.31922e+09","18446744073530809057","0","0","true","true","true"
"19","512","10","B","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0521688","5.14552e+09","18446744073530809057","0","0","true","true","true"
"20","512","10","A","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0445462","6.026e+09","81541731","0","0","true","true","true"
"21","768","1","A","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0745647","5.40005e+09","18446744073656903484","0","0","true","true","true"
"22","768","1","B","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0647896","6.21478e+09","18446744072675525801","0","0","true","true","true"
"23","768","2","B","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0866697","4.64584e+09","18446744072675525801","0","0","true","true","true"
"24","768","2","A","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.07099","5.67197e+09","18446744073656903484","0","0","true","true","true"
"25","768","3","A","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.037853","1.06373e+10","18446744073656903484","0","0","true","true","true"
"26","768","3","B","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0513829","7.83633e+09","18446744072675525801","0","0","true","true","true"
"27","768","4","B","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.194741","2.06763e+09","18446744072675525801","0","0","true","true","true"
"28","768","4","A","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.125617","3.20541e+09","18446744073656903484","0","0","true","true","true"
"29","768","5","A","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0366433","1.09885e+10","18446744073656903484","0","0","true","true","true"
"30","768","5","B","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0537866","7.48612e+09","18446744072675525801","0","0","true","true","true"
"31","768","6","B","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0524401","7.67835e+09","18446744072675525801","0","0","true","true","true"
"32","768","6","A","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0523721","7.68831e+09","18446744073656903484","0","0","true","true","true"
"33","768","7","A","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0567405","7.0964e+09","18446744073656903484","0","0","true","true","true"
"34","768","7","B","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0517762","7.7768e+09","18446744072675525801","0","0","true","true","true"
"35","768","8","B","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0474174","8.49168e+09","18446744072675525801","0","0","true","true","true"
"36","768","8","A","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.047524","8.47263e+09","18446744073656903484","0","0","true","true","true"
"37","768","9","A","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0519821","7.746e+09","18446744073656903484","0","0","true","true","true"
"38","768","9","B","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0490312","8.21218e+09","18446744072675525801","0","0","true","true","true"
"39","768","10","B","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0615102","6.54612e+09","18446744072675525801","0","0","true","true","true"
"40","768","10","A","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0393872","1.02229e+10","18446744073656903484","0","0","true","true","true"
