"invocation","target_kib","repeat","variant","rows_per_worker","D","S","R","mode","S_tile","iterations","timed_repetitions","warmup","worker_count","worker_list","affinity_succeeded","affinity","affinity_error","timed_repetitions_exact","avx2_supported","kernel_used","mac_total","elapsed_seconds","mac_per_second","checksum","correction_evidence","four_worker_affinity","exact_repetitions","valid"
"1","512","1","A","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.012233","2.19436e+10","81541731","True","True","True","True"
"2","512","1","B","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0128119","2.0952e+10","18446744073530809057","True","True","True","True"
"3","512","2","B","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0122605","2.18943e+10","18446744073530809057","True","True","True","True"
"4","512","2","A","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0129743","2.06898e+10","81541731","True","True","True","True"
"5","512","3","A","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0125645","2.13646e+10","81541731","True","True","True","True"
"6","512","3","B","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0117065","2.29305e+10","18446744073530809057","True","True","True","True"
"7","512","4","B","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0118679","2.26186e+10","18446744073530809057","True","True","True","True"
"8","512","4","A","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0141627","1.89537e+10","81541731","True","True","True","True"
"9","512","5","A","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0147128","1.8245e+10","81541731","True","True","True","True"
"10","512","5","B","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0145494","1.84499e+10","18446744073530809057","True","True","True","True"
