"target_kib","repeat","A_mac_per_second","B_mac_per_second","A_over_B","B_over_A","A_checksum","B_checksum","checksum_equal"
"512","1","21943600000","20952000000","1.0473272241313478","0.95481142565486066","81541731","18446744073530809057","False"
"512","2","20689800000","21894300000","0.94498568120469706","1.0582170924803527","81541731","18446744073530809057","False"
"512","3","21364600000","22930500000","0.93171103988138071","1.0732941407749268","81541731","18446744073530809057","False"
"512","4","18953700000","22618600000","0.837969635609631","1.1933606630895288","81541731","18446744073530809057","False"
"512","5","18245000000","18449900000","0.98889424874931575","1.0112304741024938","81541731","18446744073530809057","False"
"512","6","21785600000","22086000000","0.98639862356243779","1.0137889247943594","81541731","18446744073530809057","False"
"512","7","21962000000","20561400000","1.0681179297129573","0.93622620890629271","81541731","18446744073530809057","False"
"512","8","20661400000","19800200000","1.043494510156463","0.95831841017549635","81541731","18446744073530809057","False"
"512","9","17557100000","19248800000","0.91211400191180747","1.0963541814992226","81541731","18446744073530809057","False"
"512","10","22799000000","18705400000","1.2188458947683556","0.82044826527479275","81541731","18446744073530809057","False"
"768","1","20752100000","21432200000","0.96826737339143909","1.0327725868707263","18446744073656903484","18446744072675525801","False"
"768","2","21547500000","21562800000","0.99929044465468309","1.0007100591715976","18446744073656903484","18446744072675525801","False"
"768","3","21436900000","19502100000","1.099209828685116","0.90974441267160833","18446744073656903484","18446744072675525801","False"
"768","4","20660100000","20729800000","0.99663769066754138","1.0033736525960668","18446744073656903484","18446744072675525801","False"
"768","5","23145100000","19733500000","1.1728836749689615","0.85259947029824878","18446744073656903484","18446744072675525801","False"
"768","6","21977600000","20314400000","1.0818729571141654","0.92432294700058237","18446744073656903484","18446744072675525801","False"
"768","7","23348700000","20681100000","1.128987336263545","0.88574952781097016","18446744073656903484","18446744072675525801","False"
"768","8","21054200000","20845000000","1.0100359798512832","0.99006374025135135","18446744073656903484","18446744072675525801","False"
"768","9","22931400000","19646500000","1.1672002646781869","0.85675100517194769","18446744073656903484","18446744072675525801","False"
"768","10","17193400000","16906400000","1.0169758198078833","0.983307548245257","18446744073656903484","18446744072675525801","False"
