"target_kib","variant","ratio","n","mean","median","min","max","population_sd"
"512","A","repeat_over_legacy_mac","10","0.73906626653503","0.541969192030013","0.335554932897902","2.77095221026322","0.68518504496577"
"512","B","repeat_over_legacy_mac","10","0.808784191502235","0.839324386566437","0.212603516665328","1.07512306596649","0.215977740463064"
"768","A","repeat_over_legacy_mac","10","0.502383133986451","0.433771961774125","0.361694404362357","0.846013425693799","0.145039649891665"
"768","B","repeat_over_legacy_mac","10","0.925984602225165","0.876621111053655","0.647259082063323","1.28702458074291","0.177923274212477"
"512","A","legacy_over_repeat_mac","10","1.87256780808559","1.84512352997244","0.360886772531169","2.98013798028195","0.659767791500638"
"512","B","legacy_over_repeat_mac","10","1.50880176160204","1.1914360634723","0.930126077335197","4.70359105853438","1.06990473809596"
"768","A","legacy_over_repeat_mac","10","2.12680954827758","2.31276515069312","1.18201433881492","2.76476491739742","0.485378124571114"
"768","B","legacy_over_repeat_mac","10","1.11850652528843","1.1408718839279","0.776985937147192","1.5449763899986","0.206461424870996"
"512","A","fused_over_legacy_mac","10","0.412701277118078","0.20619915823548","0.139925989623088","2.12696782693779","0.575429111648751"
"512","B","fused_over_legacy_mac","10","0.413165520865686","0.4016502744488","0.218884972155103","0.678919440708444","0.125741869843592"
"768","A","fused_over_legacy_mac","10","0.197923417634516","0.211668625545404","0.142709165823522","0.25761869127984","0.0431360967348918"
"768","B","fused_over_legacy_mac","10","0.449415199442952","0.461861176022473","0.249557654425215","0.593376450251963","0.0975625894372294"
"512","A","legacy_over_fused_mac","10","4.48290214493699","4.88096410088395","0.470152856726425","7.14663517973788","1.87994550413795"
"512","B","legacy_over_fused_mac","10","2.6638079233785","2.49033371446757","1.47292880427244","4.56860966814751","0.858099176609843"
"768","A","legacy_over_fused_mac","10","5.31673655245932","4.74256973668911","3.88170592371243","7.00725839317585","1.2208732882137"
"768","B","legacy_over_fused_mac","10","2.35984518195456","2.16522121730186","1.68527079154451","4.00709007424844","0.645963945874576"
"512","A","fused_over_repeat_mac","10","0.465206048876724","0.415467501738784","0.339844282163393","0.767594554341214","0.136911884336754"
"512","B","fused_over_repeat_mac","10","0.606822308967144","0.477843599715956","0.280584956517682","1.73724822210621","0.406150586673515"
"768","A","fused_over_repeat_mac","10","0.40632734475915","0.391721513672084","0.286110759481532","0.629528296406134","0.0867679503187248"
"768","B","fused_over_repeat_mac","10","0.494662889967021","0.475709054749931","0.281695271940361","0.68033526756931","0.112537131321192"
"512","A","repeat_over_fused_mac","10","2.30007978780085","2.4069598218319","1.30277109750765","2.94252412791577","0.523782070472755"
"512","B","repeat_over_fused_mac","10","2.13796491306853","2.09391682348122","0.575622980800993","3.56398294623818","0.875750709152848"
"768","A","repeat_over_fused_mac","10","2.55783830596315","2.55296779728691","1.58849094744243","3.4951499265953","0.473340307358111"
"768","B","repeat_over_fused_mac","10","2.14640497293004","2.10234923979263","1.46986353297953","3.54993533654947","0.573141904776814"
"512","A","fused_over_legacy_elapsed","10","4.48290560254892","4.8809661938257","0.470154160882589","7.14666872301049","1.87995016101646"
"512","B","fused_over_legacy_elapsed","10","2.66380902480176","2.49032655218947","1.47293072239592","4.56860788461794","0.858099233243246"
"768","A","fused_over_legacy_elapsed","10","5.31672946123599","4.74256371324844","3.88171288171288","7.0072320190212","1.22086493675047"
"768","B","fused_over_legacy_elapsed","10","2.3598467635598","2.16522053081175","1.68526806906186","4.00709123719638","0.64596428295258"
"512","A","legacy_over_fused_elapsed","10","0.412700630439272","0.206199113202563","0.139925332872958","2.12696192696193","0.575427382797466"
"512","B","legacy_over_fused_elapsed","10","0.413165297350288","0.40165142081583","0.218885057605163","0.678918556585856","0.125741635321043"
"768","A","legacy_over_fused_elapsed","10","0.19792357137948","0.211668949357007","0.142709702959099","0.257618229496338","0.0431359004921243"
"768","B","legacy_over_fused_elapsed","10","0.449414920705424","0.461861313045484","0.249557581997974","0.593377408827707","0.0975626316335566"
