"target_kib","variant","mode","n","mean_mac_per_second","median_mac_per_second","min_mac_per_second","max_mac_per_second","population_sd_mac_per_second","mean_gmac_s","median_gmac_s","min_gmac_s","max_gmac_s","population_sd_gmac_s"
"512","A","legacy","10","67887960000","72143150000","10322300000","103499000000","25155635867.3042","67.88796","72.14315","10.3223","103.499","25.1556358673042"
"512","A","repeat","10","35929770000","34805650000","28602600000","50667300000","6299102087.44865","35.92977","34.80565","28.6026","50.6673","6.29910208744865"
"512","A","fused","10","16109430000","14900650000","13221200000","21955200000","2835418350.10286","16.10943","14.90065","13.2212","21.9552","2.83541835010286"
"512","B","legacy","10","35539550000","35679400000","32071100000","39516500000","2119029093.35856","35.53955","35.6794","32.0711","39.5165","2.11902909335856"
"512","B","repeat","10","28915179000","29205700000","7144690000","41212800000","8284150190.97125","28.915179","29.2057","7.14469","41.2128","8.28415019097125"
"512","B","fused","10","14632064000","14200650000","7817630000","23068800000","4358158058.12547","14.632064","14.20065","7.81763","23.0688","4.35815805812547"
"768","A","legacy","10","84990720000","89173350000","61628100000","105814000000","16675098567.1929","84.99072","89.17335","61.6281","105.814","16.6750985671929"
"768","A","repeat","10","40866380000","40835800000","32722200000","52138200000","6479088250.4871","40.86638","40.8358","32.7222","52.1382","6.4790882504871"
"768","A","fused","10","16303730000","15000600000","14231800000","22756000000","2939862304.61564","16.30373","15.0006","14.2318","22.756","2.93986230461564"
"768","B","legacy","10","33611720000","34442650000","26307200000","40800200000","4849225548.64176","33.61172","34.44265","26.3072","40.8002","4.84922554864176"
"768","B","repeat","10","30448270000","29726000000","26408300000","39415900000","3605156431.29393","30.44827","29.726","26.4083","39.4159","3.60515643129393"
"768","B","fused","10","14823211000","14859200000","8513310000","19521200000","2643507303.77069","14.823211","14.8592","8.51331","19.5212","2.64350730377069"
