"run","order_index","D","S","R","component","mode","elapsed_seconds","elapsed_per_timed_step","qpc_ticks_per_timed_step","tsc_cycles_per_timed_step","tsc_supported","mac_total","mac_per_second","checksum_kind","validation_invariant","final_checksum","per_round_checksums","per_round_finite","per_round_overflow","all_rounds_valid","worker_count","cpus","affinity","affinity_errors","affinity_succeeded","timed_repetitions","warmup","timed_repetitions_exact"
"1","1","512","1","1","transition-only","fused","4.74E-05","5.925E-06","59.25","11790.125","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14659709760075817538","14659709760075817538","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","2","512","1","1","gemv-only","fused","0.0004794","5.9925E-05","599.25","119605","true","2097152","4374534835.21068","output","output checksum; GEMV output is deterministic and state remains frozen","7649350121136269137","7649350121136269137","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","3","512","1","1","full","fused","0.0002697","3.37125E-05","337.125","67285","true","2097152","7775869484.61253","state","state checksum; actual GEMV followed by apply_transition","5156533420041995800","5156533420041995800","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","1","512","1","1","full","fused","0.0003631","4.53875E-05","453.875","90577.5","true","2097152","5775687138.52933","state","state checksum; actual GEMV followed by apply_transition","5156533420041995800","5156533420041995800","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","2","512","1","1","gemv-only","fused","0.0001789","2.23625E-05","223.625","44682.75","true","2097152","11722481833.4265","output","output checksum; GEMV output is deterministic and state remains frozen","7649350121136269137","7649350121136269137","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","3","512","1","1","transition-only","fused","0.0007392","9.24E-05","924","184467.5","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14659709760075817538","14659709760075817538","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","1","512","1","1","transition-only","fused","0.0006897","8.62125E-05","862.125","172077.625","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14659709760075817538","14659709760075817538","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","2","512","1","1","gemv-only","fused","0.0003064","3.83E-05","383","76482.5","true","2097152","6844490861.6188","output","output checksum; GEMV output is deterministic and state remains frozen","7649350121136269137","7649350121136269137","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","3","512","1","1","full","fused","0.0002577","3.22125E-05","322.125","64320","true","2097152","8137958866.89949","state","state checksum; actual GEMV followed by apply_transition","5156533420041995800","5156533420041995800","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","1","512","1","1","full","fused","0.0004199","5.24875E-05","524.875","104800","true","2097152","4994408192.42677","state","state checksum; actual GEMV followed by apply_transition","5156533420041995800","5156533420041995800","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
