"D","S","R","round","reference_checksum","fused_checksum","repeat_checksum","reference_finite","fused_finite","repeat_finite","reference_overflow","fused_overflow","repeat_overflow","reference_clipped_cells","fused_clipped_cells","repeat_clipped_cells","total_cells","expected_equal_cells","fused_cells_equal_to_reference","repeat_cells_equal_to_reference","reference_clipping_rate","fused_clipping_rate","repeat_clipping_rate"
"37","1","16","1","650311547126108762","650311547126108762","650311547126108762","true","true","true","false","false","false","1","1","1","37","37","37","37","0.027027027","0.027027027","0.027027027"
"37","1","16","2","17974429469750960587","17974429469750960587","17974429469750960587","true","true","true","false","false","false","0","0","0","37","37","37","37","0.000000000","0.000000000","0.000000000"
"37","1","16","3","17948820802098718694","17948820802098718694","17948820802098718694","true","true","true","false","false","false","0","0","0","37","37","37","37","0.000000000","0.000000000","0.000000000"
"37","1","16","4","8212896939338543897","8212896939338543897","8212896939338543897","true","true","true","false","false","false","0","0","0","37","37","37","37","0.000000000","0.000000000","0.000000000"
"37","1","16","5","12533620992110663934","12533620992110663934","12533620992110663934","true","true","true","false","false","false","0","0","0","37","37","37","37","0.000000000","0.000000000","0.000000000"
"37","1","16","6","10219786954388986476","10219786954388986476","10219786954388986476","true","true","true","false","false","false","0","0","0","37","37","37","37","0.000000000","0.000000000","0.000000000"
"37","1","16","7","15656493502668063968","15656493502668063968","15656493502668063968","true","true","true","false","false","false","0","0","0","37","37","37","37","0.000000000","0.000000000","0.000000000"
"37","1","16","8","4167529713564390943","4167529713564390943","4167529713564390943","true","true","true","false","false","false","0","0","0","37","37","37","37","0.000000000","0.000000000","0.000000000"
"37","1","16","9","3027263064692297854","3027263064692297854","3027263064692297854","true","true","true","false","false","false","0","0","0","37","37","37","37","0.000000000","0.000000000","0.000000000"
"37","1","16","10","15744441294524184927","15744441294524184927","15744441294524184927","true","true","true","false","false","false","0","0","0","37","37","37","37","0.000000000","0.000000000","0.000000000"
"37","1","16","11","15232019390145503408","15232019390145503408","15232019390145503408","true","true","true","false","false","false","0","0","0","37","37","37","37","0.000000000","0.000000000","0.000000000"
"37","1","16","12","657802119313479731","657802119313479731","657802119313479731","true","true","true","false","false","false","0","0","0","37","37","37","37","0.000000000","0.000000000","0.000000000"
"37","1","16","13","5414646662708695801","5414646662708695801","5414646662708695801","true","true","true","false","false","false","0","0","0","37","37","37","37","0.000000000","0.000000000","0.000000000"
"37","1","16","14","2696028377632071204","2696028377632071204","2696028377632071204","true","true","true","false","false","false","0","0","0","37","37","37","37","0.000000000","0.000000000","0.000000000"
"37","1","16","15","1866674955760955443","1866674955760955443","1866674955760955443","true","true","true","false","false","false","0","0","0","37","37","37","37","0.000000000","0.000000000","0.000000000"
"37","1","16","16","4863240949859644399","4863240949859644399","4863240949859644399","true","true","true","false","false","false","0","0","0","37","37","37","37","0.000000000","0.000000000","0.000000000"
"37","4","16","1","3183924236116631669","3183924236116631669","3183924236116631669","true","true","true","false","false","false","1","1","1","148","148","148","148","0.006756757","0.006756757","0.006756757"
"37","4","16","2","11022991640569378","11022991640569378","11022991640569378","true","true","true","false","false","false","0","0","0","148","148","148","148","0.000000000","0.000000000","0.000000000"
"37","4","16","3","15906443596009704454","15906443596009704454","15906443596009704454","true","true","true","false","false","false","0","0","0","148","148","148","148","0.000000000","0.000000000","0.000000000"
"37","4","16","4","2755379577827853614","2755379577827853614","2755379577827853614","true","true","true","false","false","false","0","0","0","148","148","148","148","0.000000000","0.000000000","0.000000000"
"37","4","16","5","5558619484149040532","5558619484149040532","5558619484149040532","true","true","true","false","false","false","0","0","0","148","148","148","148","0.000000000","0.000000000","0.000000000"
"37","4","16","6","8568937542730663169","8568937542730663169","8568937542730663169","true","true","true","false","false","false","0","0","0","148","148","148","148","0.000000000","0.000000000","0.000000000"
