"metric","native_mode","D","S","R","rows_per_worker","n","median","min","max","population_sd","checksum","checksum_deterministic","checksum_values","elapsed_median_seconds","mac_total","mac_per_second_median","all_rounds_valid","timed_repetitions","warmup","worker_count","cpus"
"G(S)","fused","512","1","1","128,128,128,128","10","10346526831.5281","3194443259.71059","14665398601.3986","3344895514.1808","5156533420041995800","True","5156533420041995800","0.00020405","2097152","10346526831.5281","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","1","1","128,128,128,128","10","8843041657.16213","3362976266.83772","15044131994.2611","3334490948.94012","5156533420041995800","True","5156533420041995800","0.00024105","2097152","8843041657.16213","True","8","2","4","0,2,4,6"
"G(S)","fused","512","1","2","128,128,128,128","10","6238813866.50558","3832864845.10646","14862877391.9206","3730981992.87407","13175200098663782325","True","13175200098663782325","0.0006737","4194304","6238813866.50558","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","1","2","128,128,128,128","10","7794106679.73216","4147848101.26582","14979657142.8571","3853549809.6975","13175200098663782325","True","13175200098663782325","0.00054615","4194304","7794106679.73216","True","8","2","4","0,2,4,6"
"G(S)","fused","512","1","4","128,128,128,128","10","7229807675.00454","3311597647.15171","10502827094.0278","2554192204.04233","13977311238581039400","True","13977311238581039400","0.00116305","8388608","7229807675.00454","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","1","4","128,128,128,128","10","4261565173.28313","2373887992.75547","11581676101.0631","3080528935.41685","13977311238581039400","True","13977311238581039400","0.0019686","8388608","4261565173.28313","True","8","2","4","0,2,4,6"
"G(S)","fused","512","1","8","128,128,128,128","10","3598833307.3708","2126848116.83126","5698782608.69565","1163184548.53121","6479385130747434895","True","6479385130747434895","0.00466235","16777216","3598833307.3708","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","1","8","128,128,128,128","10","3634940313.44554","2528440787.2924","5510120861.79716","708956375.191449","6479385130747434895","True","6479385130747434895","0.00461555","16777216","3634940313.44554","True","8","2","4","0,2,4,6"
"G(S)","fused","512","1","16","128,128,128,128","10","3557193075.89463","450816225.628238","4917336928.64575","1394929187.92926","16794876969260276264","True","16794876969260276264","0.00944175","33554432","3557193075.89463","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","1","16","128,128,128,128","10","4440902298.3409","965059175.767128","4939778291.40106","1441208171.52713","16794876969260276264","True","16794876969260276264","0.0075558","33554432","4440902298.3409","True","8","2","4","0,2,4,6"
