"run","order_index","metric","native_mode","D","S","R","rows_per_worker","mode","kernel","elapsed_seconds","mac_total","mac_per_second","final_checksum","per_round_checksums","per_round_finite","per_round_overflow","per_round_clipped_cells","per_round_clipping_rates","clipped_cells","clipping_rate","all_rounds_valid","worker_count","cpus","affinity","affinity_errors","affinity_succeeded","timed_repetitions","warmup","timed_repetitions_exact"
"1","1","F(S)","repeat","512","1","1","128,128,128,128","repeat","avx2_repeat","0.000204","2097152","10280156862.7451","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","2","G(S)","fused","512","1","1","128,128,128,128","fused","avx2_fused","0.000143","2097152","14665398601.3986","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","1","G(S)","fused","512","1","1","128,128,128,128","fused","avx2_fused","0.0006565","2097152","3194443259.71059","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","2","F(S)","repeat","512","1","1","128,128,128,128","repeat","avx2_repeat","0.0001394","2097152","15044131994.2611","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","1","F(S)","repeat","512","1","1","128,128,128,128","repeat","avx2_repeat","0.0003543","2097152","5919141970.08185","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","2","G(S)","fused","512","1","1","128,128,128,128","fused","avx2_fused","0.0002207","2097152","9502274580.87902","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","1","G(S)","fused","512","1","1","128,128,128,128","fused","avx2_fused","0.000237","2097152","8848742616.03376","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","2","F(S)","repeat","512","1","1","128,128,128,128","repeat","avx2_repeat","0.0006236","2097152","3362976266.83772","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"5","1","F(S)","repeat","512","1","1","128,128,128,128","repeat","avx2_repeat","0.0002053","2097152","10215060886.5075","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"5","2","G(S)","fused","512","1","1","128,128,128,128","fused","avx2_fused","0.0001455","2097152","14413415807.5601","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"6","1","G(S)","fused","512","1","1","128,128,128,128","fused","avx2_fused","0.0002732","2097152","7676251830.16105","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"6","2","F(S)","repeat","512","1","1","128,128,128,128","repeat","avx2_repeat","0.0004525","2097152","4634590055.24862","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"7","1","F(S)","repeat","512","1","1","128,128,128,128","repeat","avx2_repeat","0.0002104","2097152","9967452471.48289","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"7","2","G(S)","fused","512","1","1","128,128,128,128","fused","avx2_fused","0.0001874","2097152","11190779082.1772","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","1","G(S)","fused","512","1","1","128,128,128,128","fused","avx2_fused","0.0002431","2097152","8626705059.64624","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","2","F(S)","repeat","512","1","1","128,128,128,128","repeat","avx2_repeat","0.0003727","2097152","5626917091.4945","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","1","F(S)","repeat","512","1","1","128,128,128,128","repeat","avx2_repeat","0.0002018","2097152","10392229930.6244","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","2","G(S)","fused","512","1","1","128,128,128,128","fused","avx2_fused","0.0001546","2097152","13565019404.9159","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"10","1","G(S)","fused","512","1","1","128,128,128,128","fused","avx2_fused","0.0001817","2097152","11541838194.8266","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"10","2","F(S)","repeat","512","1","1","128,128,128,128","repeat","avx2_repeat","0.0002717","2097152","7718630842.84137","5156533420041995800","5156533420041995800","true","false","0","0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","1","F(S)","repeat","512","1","2","128,128,128,128","repeat","avx2_repeat","0.0003061","4194304","13702397909.18","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","2","G(S)","fused","512","1","2","128,128,128,128","fused","avx2_fused","0.0007593","4194304","5523908863.42684","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","1","G(S)","fused","512","1","2","128,128,128,128","fused","avx2_fused","0.0008572","4194304","4893028464.76902","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","2","F(S)","repeat","512","1","2","128,128,128,128","repeat","avx2_repeat","0.0010112","4194304","4147848101.26582","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
