"D","S","R","G_S","F_S","G_metric","F_metric","G_native_mode","F_native_mode","G_over_F","recurrence_path","rows_per_worker","workers","cpus","timed_repetitions","warmup","independent_runs"
"512","1","1","10346526831.5281","8843041657.16213","G(S)","F(S)","fused","repeat","1.17001900846506","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","1","2","6238813866.50558","7794106679.73216","G(S)","F(S)","fused","repeat","0.800452716759578","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","1","4","7229807675.00454","4261565173.28313","G(S)","F(S)","fused","repeat","1.69651463277626","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","1","8","3598833307.3708","3634940313.44554","G(S)","F(S)","fused","repeat","0.990066685292965","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","1","16","3557193075.89463","4440902298.3409","G(S)","F(S)","fused","repeat","0.801006830801835","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","2","1","12294002052.169","11005136244.1745","G(S)","F(S)","fused","repeat","1.11711493428141","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","2","2","11626115778.4366","6142848872.96824","G(S)","F(S)","fused","repeat","1.89262604678386","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","2","4","4294489805.44979","4678351024.11962","G(S)","F(S)","fused","repeat","0.917949461959822","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","2","8","4337458641.06964","3465376701.41443","G(S)","F(S)","fused","repeat","1.25165574042766","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","2","16","2725783233.16898","3623361791.16315","G(S)","F(S)","fused","repeat","0.75228017246767","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","4","1","10244869186.2555","7713890897.50762","G(S)","F(S)","fused","repeat","1.32810657064979","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","4","2","5727081309.4762","6065502265.8259","G(S)","F(S)","fused","repeat","0.94420561702591","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","4","4","5316571068.86165","5176511878.45015","G(S)","F(S)","fused","repeat","1.0270566732387","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","4","8","5063085763.14641","4961145409.23342","G(S)","F(S)","fused","repeat","1.02054774563214","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","4","16","4625876438.08839","4325074131.60332","G(S)","F(S)","fused","repeat","1.06954847416073","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","8","1","6422345066.53572","5956232206.12139","G(S)","F(S)","fused","repeat","1.07825632787374","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","8","2","5525182283.73093","5208826360.71123","G(S)","F(S)","fused","repeat","1.06073458800737","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","8","4","5166952279.72438","5281841593.12925","G(S)","F(S)","fused","repeat","0.97824824705945","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","8","8","3611539310.27382","4685770694.26629","G(S)","F(S)","fused","repeat","0.770746062049739","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","8","16","2679950544.5782","2762640446.69803","G(S)","F(S)","fused","repeat","0.970068525486672","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","16","1","5601875534.73399","5557264846.65906","G(S)","F(S)","fused","repeat","1.00802745402745","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","16","2","5256986876.78712","5424442888.08734","G(S)","F(S)","fused","repeat","0.969129362267233","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","16","4","5375394498.42078","3669357114.80151","G(S)","F(S)","fused","repeat","1.4649417677929","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","16","8","5062131413.92944","4029298728.84373","G(S)","F(S)","fused","repeat","1.25633063085945","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","16","16","4930099883.76199","4784519489.91195","G(S)","F(S)","fused","repeat","1.03042738025354","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
