"D","S","R","G_S","F_S","G_metric","F_metric","G_native_mode","F_native_mode","G_over_F","recurrence_path","rows_per_worker","workers","cpus","timed_repetitions","warmup","independent_runs"
"512","1","1","5749562673.58175","7156822198.86265","G(S)","F(S)","fused","repeat","0.803368103024197","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","1","2","4578610981.59617","7439937355.69993","G(S)","F(S)","fused","repeat","0.615409883537309","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","1","4","4541541259.66348","5634847973.1067","G(S)","F(S)","fused","repeat","0.805974053131298","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","1","8","3530555478.65378","4017659476.87464","G(S)","F(S)","fused","repeat","0.878759262445065","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","1","16","3900562936.65706","3828082549.12688","G(S)","F(S)","fused","repeat","1.01893386221431","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","2","1","6974350828.48845","10024702309.5352","G(S)","F(S)","fused","repeat","0.695716502409718","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","2","2","8804660675.21221","5969877040.01644","G(S)","F(S)","fused","repeat","1.47484790996432","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","2","4","4467421061.35207","4755660257.65476","G(S)","F(S)","fused","repeat","0.939390288480187","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","2","8","4251447781.14627","4044443473.62587","G(S)","F(S)","fused","repeat","1.05118239601327","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","2","16","4374487256.79053","3934105999.2887","G(S)","F(S)","fused","repeat","1.11193934723199","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","4","1","8901425568.38659","12634463294.6047","G(S)","F(S)","fused","repeat","0.704535314308745","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","4","2","5205732474.00548","5127382692.29733","G(S)","F(S)","fused","repeat","1.01528065806866","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","4","4","5069564781.79874","5320553787.72823","G(S)","F(S)","fused","repeat","0.952826525970211","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","4","8","4702746955.89859","4367373150.36221","G(S)","F(S)","fused","repeat","1.07679073758755","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","4","16","2828581954.84706","2607979634.83461","G(S)","F(S)","fused","repeat","1.08458743966628","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","8","1","5556140641.10015","5536598335.6708","G(S)","F(S)","fused","repeat","1.003529659232","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","8","2","4546150339.87022","4749241388.96852","G(S)","F(S)","fused","repeat","0.957237160113604","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","8","4","4175923041.03204","4490126012.84919","G(S)","F(S)","fused","repeat","0.930023573744253","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","8","8","4586865040.6049","4300339596.46595","G(S)","F(S)","fused","repeat","1.06662856216621","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","8","16","4498702969.22034","4163289801.56388","G(S)","F(S)","fused","repeat","1.08056445350753","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","16","1","5158194789.29162","5383353797.69878","G(S)","F(S)","fused","repeat","0.95817495619489","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","16","2","4594186682.0127","3232168608.29147","G(S)","F(S)","fused","repeat","1.42139449972605","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","16","4","2479620745.83452","2020755330.36511","G(S)","F(S)","fused","repeat","1.22707618709411","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","16","8","3225295754.32022","3088044274.98574","G(S)","F(S)","fused","repeat","1.04444608532535","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
"512","16","16","4041221809.57093","4266163686.56803","G(S)","F(S)","fused","repeat","0.94727303180951","Norm+Requantize+residual between every round","128,128,128,128","4","0,2,4,6","8","2","10"
