"run","order_index","variant","D","S","R","rows_per_worker","component","mode","kernel","elapsed_seconds","elapsed_per_timed_step","mac_total","mac_per_second","final_checksum","per_round_checksums","per_round_finite","per_round_overflow","per_round_clipped_cells","clipped_cells","clipping_rate","all_rounds_valid","worker_count","cpus","affinity","affinity_errors","affinity_succeeded","timed_repetitions","warmup","timed_repetitions_exact"
"1","1","B","512","1","16","128,128,128,128","full","fused","avx2_fused","0.0335108","0.000261803125","33554432","1001302028.00291","4177131694867384186","4091216815995098427;17073611223309446142;7246766150647776263;7162002378527706610;3904655569120300105;13810994696917859903;17154668850114408565;3611494674167692625;2832868911551973412;16912596802821747902;17914547987425546974;14397763260407487915;9230302531370746714;13860019136382902457;14306959048019932603;4177131694867384186","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","2","A","512","1","16","128,128,128,128","full","fused","avx2_fused","0.0095218","7.43890625E-05","33554432","3523958915.33113","16794876969260276264","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895;6716678801900521010;12611044509825579376;17048330770198727392;12867931280649719618;12586153124935780949;14328404969792242929;16014246983496208715;16794876969260276264","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0","8","0.0001220703125","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","1","A","512","1","16","128,128,128,128","full","fused","avx2_fused","0.0136862","0.0001069234375","33554432","2451698206.95299","16794876969260276264","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895;6716678801900521010;12611044509825579376;17048330770198727392;12867931280649719618;12586153124935780949;14328404969792242929;16014246983496208715;16794876969260276264","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0","8","0.0001220703125","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","2","B","512","1","16","128,128,128,128","full","fused","avx2_fused","0.0102654","8.01984375E-05","33554432","3268692111.36439","4177131694867384186","4091216815995098427;17073611223309446142;7246766150647776263;7162002378527706610;3904655569120300105;13810994696917859903;17154668850114408565;3611494674167692625;2832868911551973412;16912596802821747902;17914547987425546974;14397763260407487915;9230302531370746714;13860019136382902457;14306959048019932603;4177131694867384186","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","1","B","512","1","16","128,128,128,128","full","fused","avx2_fused","0.0087591","6.843046875E-05","33554432","3830808188.05585","4177131694867384186","4091216815995098427;17073611223309446142;7246766150647776263;7162002378527706610;3904655569120300105;13810994696917859903;17154668850114408565;3611494674167692625;2832868911551973412;16912596802821747902;17914547987425546974;14397763260407487915;9230302531370746714;13860019136382902457;14306959048019932603;4177131694867384186","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","2","A","512","1","16","128,128,128,128","full","fused","avx2_fused","0.0356088","0.00027819375","33554432","942307294.825998","16794876969260276264","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895;6716678801900521010;12611044509825579376;17048330770198727392;12867931280649719618;12586153124935780949;14328404969792242929;16014246983496208715;16794876969260276264","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0","8","0.0001220703125","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","1","A","512","1","16","128,128,128,128","full","fused","avx2_fused","0.0480344","0.00037526875","33554432","698550039.138617","16794876969260276264","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895;6716678801900521010;12611044509825579376;17048330770198727392;12867931280649719618;12586153124935780949;14328404969792242929;16014246983496208715;16794876969260276264","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0","8","0.0001220703125","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","2","B","512","1","16","128,128,128,128","full","fused","avx2_fused","0.0206422","0.0001612671875","33554432","1625525961.38009","4177131694867384186","4091216815995098427;17073611223309446142;7246766150647776263;7162002378527706610;3904655569120300105;13810994696917859903;17154668850114408565;3611494674167692625;2832868911551973412;16912596802821747902;17914547987425546974;14397763260407487915;9230302531370746714;13860019136382902457;14306959048019932603;4177131694867384186","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"5","1","B","512","1","16","128,128,128,128","full","fused","avx2_fused","0.0128446","0.0001003484375","33554432","2612337636.04939","4177131694867384186","4091216815995098427;17073611223309446142;7246766150647776263;7162002378527706610;3904655569120300105;13810994696917859903;17154668850114408565;3611494674167692625;2832868911551973412;16912596802821747902;17914547987425546974;14397763260407487915;9230302531370746714;13860019136382902457;14306959048019932603;4177131694867384186","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"5","2","A","512","1","16","128,128,128,128","full","fused","avx2_fused","0.0093887","7.334921875E-05","33554432","3573916729.68569","16794876969260276264","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895;6716678801900521010;12611044509825579376;17048330770198727392;12867931280649719618;12586153124935780949;14328404969792242929;16014246983496208715;16794876969260276264","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0","8","0.0001220703125","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"6","1","A","512","1","16","128,128,128,128","full","fused","avx2_fused","0.0125988","9.8428125E-05","33554432","2663303806.71175","16794876969260276264","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895;6716678801900521010;12611044509825579376;17048330770198727392;12867931280649719618;12586153124935780949;14328404969792242929;16014246983496208715;16794876969260276264","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0","8","0.0001220703125","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"6","2","B","512","1","16","128,128,128,128","full","fused","avx2_fused","0.0152477","0.00011912265625","33554432","2200622520.11779","4177131694867384186","4091216815995098427;17073611223309446142;7246766150647776263;7162002378527706610;3904655569120300105;13810994696917859903;17154668850114408565;3611494674167692625;2832868911551973412;16912596802821747902;17914547987425546974;14397763260407487915;9230302531370746714;13860019136382902457;14306959048019932603;4177131694867384186","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"7","1","B","512","1","16","128,128,128,128","full","fused","avx2_fused","0.015958","0.000124671875","33554432","2102671512.72089","4177131694867384186","4091216815995098427;17073611223309446142;7246766150647776263;7162002378527706610;3904655569120300105;13810994696917859903;17154668850114408565;3611494674167692625;2832868911551973412;16912596802821747902;17914547987425546974;14397763260407487915;9230302531370746714;13860019136382902457;14306959048019932603;4177131694867384186","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"7","2","A","512","1","16","128,128,128,128","full","fused","avx2_fused","0.0082886","6.47546875E-05","33554432","4048262915.32949","16794876969260276264","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895;6716678801900521010;12611044509825579376;17048330770198727392;12867931280649719618;12586153124935780949;14328404969792242929;16014246983496208715;16794876969260276264","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0","8","0.0001220703125","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","1","A","512","1","16","128,128,128,128","full","fused","avx2_fused","0.012182","9.5171875E-05","33554432","2754427187.65392","16794876969260276264","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895;6716678801900521010;12611044509825579376;17048330770198727392;12867931280649719618;12586153124935780949;14328404969792242929;16014246983496208715;16794876969260276264","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0","8","0.0001220703125","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
