"executable","target_kib","R","variant","rows_per_worker","mac_count","mac_per_second","kernel_requested","kernel_used","avx2_supported","affinity_validated"
"old","512","1","A","1211,1136,683,1066","16777216","6.01334e+10","avx2","avx2","true","true"
"new","512","1","A","1211,1136,683,1066","16777216","7.26224e+09","n/a","avx2","true","true"
"old","512","1","B","1211,1136,683,1066","16777216","9.50012e+10","avx2","avx2","true","true"
"new","512","1","B","1211,1136,683,1066","16777216","8.82036e+09","n/a","avx2","true","true"
"old","512","4","A","1211,1136,683,1066","67108864","9.62548e+10","avx2","avx2","true","true"
"new","512","4","A","1211,1136,683,1066","67108864","8.21547e+09","n/a","avx2","true","true"
"old","512","4","B","1211,1136,683,1066","67108864","9.23983e+10","avx2","avx2","true","true"
"new","512","4","B","1211,1136,683,1066","67108864","1.05294e+10","n/a","avx2","true","true"
"old","512","8","A","1211,1136,683,1066","134217728","5.69346e+10","avx2","avx2","true","true"
"new","512","8","A","1211,1136,683,1066","134217728","1.14149e+10","n/a","avx2","true","true"
"old","512","8","B","1211,1136,683,1066","134217728","5.39135e+10","avx2","avx2","true","true"
"new","512","8","B","1211,1136,683,1066","134217728","8.64994e+09","n/a","avx2","true","true"
"old","512","16","A","1211,1136,683,1066","268435456","7.67573e+10","avx2","avx2","true","true"
"new","512","16","A","1211,1136,683,1066","268435456","1.19164e+10","n/a","avx2","true","true"
"old","512","16","B","1211,1136,683,1066","268435456","3.67312e+10","avx2","avx2","true","true"
"new","512","16","B","1211,1136,683,1066","268435456","9.70956e+09","n/a","avx2","true","true"
"old","768","1","A","1816,1705,1023,1600","25165824","8.74117e+10","avx2","avx2","true","true"
"new","768","1","A","1816,1705,1023,1600","25165824","1.13314e+10","n/a","avx2","true","true"
"old","768","1","B","1816,1705,1023,1600","25165824","9.93911e+10","avx2","avx2","true","true"
"new","768","1","B","1816,1705,1023,1600","25165824","1.0297e+10","n/a","avx2","true","true"
"old","768","4","A","1816,1705,1023,1600","100663296","7.14329e+10","avx2","avx2","true","true"
"new","768","4","A","1816,1705,1023,1600","100663296","1.14078e+10","n/a","avx2","true","true"
"old","768","4","B","1816,1705,1023,1600","100663296","7.91565e+10","avx2","avx2","true","true"
"new","768","4","B","1816,1705,1023,1600","100663296","6.43701e+09","n/a","avx2","true","true"
"old","768","8","A","1816,1705,1023,1600","201326592","9.16204e+10","avx2","avx2","true","true"
"new","768","8","A","1816,1705,1023,1600","201326592","1.00037e+10","n/a","avx2","true","true"
"old","768","8","B","1816,1705,1023,1600","201326592","4.81539e+10","avx2","avx2","true","true"
"new","768","8","B","1816,1705,1023,1600","201326592","9.50488e+09","n/a","avx2","true","true"
"old","768","16","A","1816,1705,1023,1600","402653184","9.34339e+10","avx2","avx2","true","true"
"new","768","16","A","1816,1705,1023,1600","402653184","1.19216e+10","n/a","avx2","true","true"
"old","768","16","B","1816,1705,1023,1600","402653184","3.48563e+10","avx2","avx2","true","true"
"new","768","16","B","1816,1705,1023,1600","402653184","9.12378e+09","n/a","avx2","true","true"
