"D","S","R","mode","variant","S_tile","rows_per_worker","worker_count","worker_list","n","median_mac_per_second","mean_mac_per_second","min_mac_per_second","max_mac_per_second","population_sd_mac_per_second","median_elapsed_seconds","mac_total","checksum","checksum_deterministic","checksum_values","all_affinity_succeeded","all_timed_repetitions_exact"
"512","1","1","fused","A","8","128,128,128,128","4","0,2,4,6","10","30501200000","35763920000","17520100000","56527000000","14608825091.5534","7.115E-05","2097152","18446744073692835539","True","18446744073692835539","True","True"
"512","1","1","repeat","A","8","128,128,128,128","4","0,2,4,6","10","22116600000","26145020000","14169900000","52560200000","11590675973.3676","9.505E-05","2097152","18446744073692835539","True","18446744073692835539","True","True"
"512","1","2","fused","A","8","128,128,128,128","4","0,2,4,6","10","48733600000","39194620000","12090800000","56148600000","16859171195.038","8.62E-05","4194304","18446744073692835539","True","18446744073692835539","True","True"
"512","1","2","repeat","A","8","128,128,128,128","4","0,2,4,6","10","23206300000","30967160000","10749100000","54120100000","17135728121.396","0.00018175","4194304","18446744073692835539","True","18446744073692835539","True","True"
"512","1","4","fused","A","8","128,128,128,128","4","0,2,4,6","10","34562550000","36564270000","12535300000","55260900000","15907221231.4439","0.0002613","8388608","18446744073692835539","True","18446744073692835539","True","True"
"512","1","4","repeat","A","8","128,128,128,128","4","0,2,4,6","10","34076250000","32929485000","6747050000","53025300000","17984093300.7762","0.0002871","8388608","18446744073692835539","True","18446744073692835539","True","True"
"512","1","8","fused","A","8","128,128,128,128","4","0,2,4,6","10","53043250000","45610780000","24167700000","54471500000","12192472767.5562","0.0003163","16777216","18446744073692835539","True","18446744073692835539","True","True"
"512","1","8","repeat","A","8","128,128,128,128","4","0,2,4,6","10","47782950000","44320500000","22171600000","52379700000","8707982342.77034","0.0003513","16777216","18446744073692835539","True","18446744073692835539","True","True"
"512","1","16","fused","A","8","128,128,128,128","4","0,2,4,6","10","38644050000","36702954000","8348740000","55215500000","14609437595.3575","0.00088305","33554432","18446744073692835539","True","18446744073692835539","True","True"
"512","1","16","repeat","A","8","128,128,128,128","4","0,2,4,6","10","41620200000","40924560000","27666900000","52338800000","10087257607.0208","0.00083715","33554432","18446744073692835539","True","18446744073692835539","True","True"
"512","2","1","fused","A","8","128,128,128,128","4","0,2,4,6","10","38674000000","40438390000","20661600000","51845500000","8992017221.67501","0.00010855","4194304","18446744073630106932","True","18446744073630106932","True","True"
"512","2","1","repeat","A","8","128,128,128,128","4","0,2,4,6","10","27438450000","29653480000","18133600000","40960000000","7853606293.0096","0.0001529","4194304","18446744073630106932","True","18446744073630106932","True","True"
"512","2","2","fused","A","8","128,128,128,128","4","0,2,4,6","10","35523550000","36199300000","33594700000","40900100000","2084070315.03258","0.00023615","8388608","18446744073630106932","True","18446744073630106932","True","True"
"512","2","2","repeat","A","8","128,128,128,128","4","0,2,4,6","10","23199350000","21372960000","6484700000","26230800000","5442972123.61041","0.0003616","8388608","18446744073630106932","True","18446744073630106932","True","True"
"512","2","4","fused","A","8","128,128,128,128","4","0,2,4,6","10","40627700000","36049640000","11036200000","49680800000","12200120856.8768","0.00041295","16777216","18446744073630106932","True","18446744073630106932","True","True"
"512","2","4","repeat","A","8","128,128,128,128","4","0,2,4,6","10","26721700000","29622730000","24869900000","42281300000","6172148708.03515","0.00062785","16777216","18446744073630106932","True","18446744073630106932","True","True"
"512","2","8","fused","A","8","128,128,128,128","4","0,2,4,6","10","43712300000","41746940000","24683300000","49984300000","7930373709.37839","0.0007694","33554432","18446744073630106932","True","18446744073630106932","True","True"
"512","2","8","repeat","A","8","128,128,128,128","4","0,2,4,6","10","37056850000","33119491000","9563210000","41517500000","9965683615.90558","0.0009093","33554432","18446744073630106932","True","18446744073630106932","True","True"
"512","2","16","fused","A","8","128,128,128,128","4","0,2,4,6","10","43588650000","44227400000","38506300000","49758200000","4753720144.47632","0.00154495","67108864","18446744073630106932","True","18446744073630106932","True","True"
"512","2","16","repeat","A","8","128,128,128,128","4","0,2,4,6","10","39957050000","36088190000","25363300000","41435500000","6254091510.27549","0.00167965","67108864","18446744073630106932","True","18446744073630106932","True","True"
"512","4","1","fused","A","8","128,128,128,128","4","0,2,4,6","10","65110800000","70957780000","42324000000","108101000000","19190832415.2862","0.00012885","8388608","18446744073562895020","True","18446744073562895020","True","True"
"512","4","1","repeat","A","8","128,128,128,128","4","0,2,4,6","10","44384200000","39964750000","23669900000","50503400000","9486422366.75661","0.000189","8388608","18446744073562895020","True","18446744073562895020","True","True"
"512","4","2","fused","A","8","128,128,128,128","4","0,2,4,6","10","69193700000","73579400000","47893900000","101557000000","19001735719.5073","0.0002431","16777216","18446744073562895020","True","18446744073562895020","True","True"
"512","4","2","repeat","A","8","128,128,128,128","4","0,2,4,6","10","46391200000","41280690000","26977400000","51134500000","9325211581.02592","0.0003617","16777216","18446744073562895020","True","18446744073562895020","True","True"
"512","4","4","fused","A","8","128,128,128,128","4","0,2,4,6","10","93777500000","79907940000","41885400000","98951400000","21692761759.0845","0.00035815","33554432","18446744073562895020","True","18446744073562895020","True","True"
"512","4","4","repeat","A","8","128,128,128,128","4","0,2,4,6","10","49600300000","45794150000","32780800000","50832300000","6479597131.49668","0.0006765","33554432","18446744073562895020","True","18446744073562895020","True","True"
"512","4","8","fused","A","8","128,128,128,128","4","0,2,4,6","10","98005600000","89086890000","53846500000","99317500000","15855191599.2491","0.00068475","67108864","18446744073562895020","True","18446744073562895020","True","True"
"512","4","8","repeat","A","8","128,128,128,128","4","0,2,4,6","10","47676250000","44850840000","27352300000","50495800000","7075223659.81458","0.00140765","67108864","18446744073562895020","True","18446744073562895020","True","True"
"512","4","16","fused","A","8","128,128,128,128","4","0,2,4,6","10","76234900000","78355020000","48902500000","103996000000","16147678250.0024","0.0017617","134217728","18446744073562895020","True","18446744073562895020","True","True"
"512","4","16","repeat","A","8","128,128,128,128","4","0,2,4,6","10","37100200000","36648020000","22665800000","50562300000","10464939262.872","0.0036282","134217728","18446744073562895020","True","18446744073562895020","True","True"
"512","8","1","fused","A","8","128,128,128,128","4","0,2,4,6","10","88465400000","90200080000","60919400000","121927000000","20400616631.0629","0.00019005","16777216","18446744072986663060","True","18446744072986663060","True","True"
"512","8","1","repeat","A","8","128,128,128,128","4","0,2,4,6","10","47651250000","43039970000","15245100000","56871900000","12292066998.5198","0.0003528","16777216","18446744072986663060","True","18446744072986663060","True","True"
"512","8","2","fused","A","8","128,128,128,128","4","0,2,4,6","10","117797000000","109869680000","68618500000","119156000000","16257281186.3362","0.00028485","33554432","18446744072986663060","True","18446744072986663060","True","True"
"512","8","2","repeat","A","8","128,128,128,128","4","0,2,4,6","10","51512250000","48038260000","30781100000","55896100000","7455904382.19268","0.00065195","33554432","18446744072986663060","True","18446744072986663060","True","True"
"512","8","4","fused","A","8","128,128,128,128","4","0,2,4,6","10","111513000000","100931570000","68450500000","118483000000","18567848639.4116","0.00060185","67108864","18446744072986663060","True","18446744072986663060","True","True"
"512","8","4","repeat","A","8","128,128,128,128","4","0,2,4,6","10","50488650000","46182860000","26916800000","55397800000","9268993823.30143","0.0013292","67108864","18446744072986663060","True","18446744072986663060","True","True"
"512","8","8","fused","A","8","128,128,128,128","4","0,2,4,6","10","106972000000","99758650000","63069300000","117601000000","18502938880.3644","0.00125505","134217728","18446744072986663060","True","18446744072986663060","True","True"
"512","8","8","repeat","A","8","128,128,128,128","4","0,2,4,6","10","47359800000","43111100000","17417800000","54376600000","12639409100.9825","0.0028347","134217728","18446744072986663060","True","18446744072986663060","True","True"
"512","8","16","fused","A","8","128,128,128,128","4","0,2,4,6","10","114540000000","109844760000","96831200000","117843000000","8095909432.69501","0.0023436","268435456","18446744072986663060","True","18446744072986663060","True","True"
"512","8","16","repeat","A","8","128,128,128,128","4","0,2,4,6","10","51267200000","49226150000","38421500000","53947100000","5004749938.85808","0.0052373","268435456","18446744072986663060","True","18446744072986663060","True","True"
"512","16","1","fused","A","8","128,128,128,128","4","0,2,4,6","10","112970500000","104367320000","45069800000","131277000000","24948639633.487","0.000298","33554432","18446744072355880876","True","18446744072355880876","True","True"
"512","16","1","repeat","A","8","128,128,128,128","4","0,2,4,6","10","46817150000","47365710000","31292000000","59158000000","10256984436.222","0.0007224","33554432","18446744072355880876","True","18446744072355880876","True","True"
"512","16","2","fused","A","8","128,128,128,128","4","0,2,4,6","10","77971000000","79165320000","74848200000","88254700000","4003433100.1779","0.0008607","67108864","18446744072355880876","True","18446744072355880876","True","True"
"512","16","2","repeat","A","8","128,128,128,128","4","0,2,4,6","10","31456650000","31208720000","27753900000","34220000000","1814167855.96041","0.0021334","67108864","18446744072355880876","True","18446744072355880876","True","True"
"512","16","4","fused","A","8","128,128,128,128","4","0,2,4,6","10","107607500000","104523310000","67838100000","135150000000","28990860313.3281","0.00131365","134217728","18446744072355880876","True","18446744072355880876","True","True"
"512","16","4","repeat","A","8","128,128,128,128","4","0,2,4,6","10","37363100000","40896600000","24086600000","58741200000","10608795897.3674","0.00359605","134217728","18446744072355880876","True","18446744072355880876","True","True"
"512","16","8","fused","A","8","128,128,128,128","4","0,2,4,6","10","128655500000","118426890000","62232900000","134345000000","21060661456.1105","0.0020869","268435456","18446744072355880876","True","18446744072355880876","True","True"
"512","16","8","repeat","A","8","128,128,128,128","4","0,2,4,6","10","54365400000","51967430000","37974700000","59335900000","7461028411.29157","0.0049378","268435456","18446744072355880876","True","18446744072355880876","True","True"
"512","16","16","fused","A","8","128,128,128,128","4","0,2,4,6","10","127583000000","115943130000","58853200000","132120000000","22017220212.5541","0.00420815","536870912","18446744072355880876","True","18446744072355880876","True","True"
"512","16","16","repeat","A","8","128,128,128,128","4","0,2,4,6","10","51020250000","52105620000","43866300000","58582900000","4407617324.76857","0.01052275","536870912","18446744072355880876","True","18446744072355880876","True","True"
