"D","S","R","variant","S_tile","fused_median_mac_per_second","repeat_median_mac_per_second","G_S","F_S","G_definition","F_definition"
"512","1","1","A","8","30501200000","22116600000","1",,"median fused(S)/median fused(1), per R","not defined for S<4"
"512","2","1","A","8","38674000000","27438450000","1.26795011343816",,"median fused(S)/median fused(1), per R","not defined for S<4"
"512","4","1","A","8","65110800000","44384200000","2.13469633981614","1.46698149341432","median fused(S)/median fused(1), per R","median fused(S)/median repeat(S), per R"
"512","8","1","A","8","88465400000","47651250000","2.90039080429622","1.85651792975001","median fused(S)/median fused(1), per R","median fused(S)/median repeat(S), per R"
"512","16","1","A","8","112970500000","46817150000","3.70380509619294","2.41301531596861","median fused(S)/median fused(1), per R","median fused(S)/median repeat(S), per R"
"512","1","2","A","8","48733600000","23206300000","1",,"median fused(S)/median fused(1), per R","not defined for S<4"
"512","2","2","A","8","35523550000","23199350000","0.728933425808888",,"median fused(S)/median fused(1), per R","not defined for S<4"
"512","4","2","A","8","69193700000","46391200000","1.41983559597485","1.49152641018124","median fused(S)/median fused(1), per R","median fused(S)/median repeat(S), per R"
"512","8","2","A","8","117797000000","51512250000","2.41716187599521","2.28677644637926","median fused(S)/median fused(1), per R","median fused(S)/median repeat(S), per R"
"512","16","2","A","8","77971000000","31456650000","1.59994336556298","2.47868097842587","median fused(S)/median fused(1), per R","median fused(S)/median repeat(S), per R"
"512","1","4","A","8","34562550000","34076250000","1",,"median fused(S)/median fused(1), per R","not defined for S<4"
"512","2","4","A","8","40627700000","26721700000","1.17548329044009",,"median fused(S)/median fused(1), per R","not defined for S<4"
"512","4","4","A","8","93777500000","49600300000","2.71326913089457","1.89066396775826","median fused(S)/median fused(1), per R","median fused(S)/median repeat(S), per R"
"512","8","4","A","8","111513000000","50488650000","3.22641124569802","2.2086746229103","median fused(S)/median fused(1), per R","median fused(S)/median repeat(S), per R"
"512","16","4","A","8","107607500000","37363100000","3.1134132174854","2.88004742647157","median fused(S)/median fused(1), per R","median fused(S)/median repeat(S), per R"
"512","1","8","A","8","53043250000","47782950000","1",,"median fused(S)/median fused(1), per R","not defined for S<4"
"512","2","8","A","8","43712300000","37056850000","0.824087890542152",,"median fused(S)/median fused(1), per R","not defined for S<4"
"512","4","8","A","8","98005600000","47676250000","1.84765450834932","2.05564825253664","median fused(S)/median fused(1), per R","median fused(S)/median repeat(S), per R"
"512","8","8","A","8","106972000000","47359800000","2.01669392429763","2.25870886279081","median fused(S)/median fused(1), per R","median fused(S)/median repeat(S), per R"
"512","16","8","A","8","128655500000","54365400000","2.42548297851282","2.36649596986318","median fused(S)/median fused(1), per R","median fused(S)/median repeat(S), per R"
"512","1","16","A","8","38644050000","41620200000","1",,"median fused(S)/median fused(1), per R","not defined for S<4"
"512","2","16","A","8","43588650000","39957050000","1.12795242734651",,"median fused(S)/median fused(1), per R","not defined for S<4"
"512","4","16","A","8","76234900000","37100200000","1.97274612779975","2.05483797931008","median fused(S)/median fused(1), per R","median fused(S)/median repeat(S), per R"
"512","8","16","A","8","114540000000","51267200000","2.96397504919904","2.23417701766432","median fused(S)/median fused(1), per R","median fused(S)/median repeat(S), per R"
"512","16","16","A","8","127583000000","51020250000","3.30149143270439","2.50063455196711","median fused(S)/median fused(1), per R","median fused(S)/median repeat(S), per R"
