probe,kernel_requested,kernel_used,avx2_supported,target_kib,m,K,depth,variant,iterations,repetitions,warmup,worker_count,logical_cpu_indices,rows_per_worker,all_affinity_succeeded,affinity_error,kernel_elapsed_seconds,wall_elapsed_seconds,mac_count,mac_per_second,checksum,batch_repeat,variant_order
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0038405,0.0042505,268435456,6.9896e+10,-733452800,1,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0075464,0.007897,268435456,3.55713e+10,335105240,1,2
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0307043,0.967486,268435456,8.7426e+09,-733452800,1,3
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0222383,0.984061,268435456,1.20709e+10,-733452800,2,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0072426,0.0078065,268435456,3.70634e+10,335105240,2,2
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0034515,0.0035669,268435456,7.77736e+10,-733452800,2,3
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0053019,0.0056547,268435456,5.063e+10,-733452800,3,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0082327,0.008652,268435456,3.2606e+10,335105240,3,2
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0463605,0.99551,268435456,5.79018e+09,-733452800,3,3
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0311326,0.98176,268435456,8.62233e+09,-733452800,4,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0087735,0.0088842,268435456,3.05962e+10,335105240,4,2
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0038123,0.0038601,268435456,7.0413e+10,-733452800,4,3
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0041406,0.0042647,268435456,6.48301e+10,-733452800,5,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0074675,0.0081353,268435456,3.59472e+10,335105240,5,2
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0266083,0.991594,268435456,1.00884e+10,-733452800,5,3
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0289949,0.970693,268435456,9.25802e+09,-733452800,6,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0142359,0.0147125,268435456,1.88562e+10,335105240,6,2
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0102059,0.0131208,268435456,2.6302e+10,-733452800,6,3
