probe,kernel_requested,kernel_used,avx2_supported,target_kib,m,K,depth,variant,iterations,repetitions,warmup,worker_count,logical_cpu_indices,rows_per_worker,all_affinity_succeeded,affinity_error,kernel_elapsed_seconds,wall_elapsed_seconds,mac_count,mac_per_second,checksum,batch_repeat,variant_order
int8_batch,avx2,avx2,true,384,768,512,1,A,1,8,2,4,"0,2,4,6","1437,549,555,531",true,0,0.0002084,0.0002296,12582912,6.03787e+10,-26122688,1,1
int8_batch,avx2,avx2,true,384,768,512,1,B,1,8,2,4,"0,2,4,6","1437,549,555,531",true,0,0.0001758,0.0001814,12582912,7.15752e+10,-26122688,1,2
int8_batch,avx2,avx2,true,384,768,512,1,C,1,8,2,4,"0,2,4,6","1437,549,555,531",true,0,0.0030249,0.0720407,12582912,4.15978e+09,-26122688,1,3
int8_batch,avx2,avx2,true,384,768,512,4,A,1,8,2,4,"0,2,4,6","1437,549,555,531",true,0,0.0008146,0.0010587,50331648,6.17869e+10,-104490752,1,1
int8_batch,avx2,avx2,true,384,768,512,4,B,1,8,2,4,"0,2,4,6","1437,549,555,531",true,0,0.0012831,0.0032727,50331648,3.92266e+10,114620144,1,2
int8_batch,avx2,avx2,true,384,768,512,4,C,1,8,2,4,"0,2,4,6","1437,549,555,531",true,0,0.0130462,0.274659,50331648,3.85795e+09,-104490752,1,3
int8_batch,avx2,avx2,true,384,768,512,8,A,1,8,2,4,"0,2,4,6","1437,549,555,531",true,0,0.0030797,0.0033339,100663296,3.26861e+10,-208981504,1,1
int8_batch,avx2,avx2,true,384,768,512,8,B,1,8,2,4,"0,2,4,6","1437,549,555,531",true,0,0.0031795,0.0033869,100663296,3.16601e+10,-63733224,1,2
int8_batch,avx2,avx2,true,384,768,512,8,C,1,8,2,4,"0,2,4,6","1437,549,555,531",true,0,0.028036,0.525907,100663296,3.5905e+09,-208981504,1,3
int8_batch,avx2,avx2,true,384,768,512,16,A,1,8,2,4,"0,2,4,6","1437,549,555,531",true,0,0.0063017,0.0075453,201326592,3.1948e+10,-417963008,1,1
int8_batch,avx2,avx2,true,384,768,512,16,B,1,8,2,4,"0,2,4,6","1437,549,555,531",true,0,0.0085095,0.0108967,201326592,2.3659e+10,231055736,1,2
int8_batch,avx2,avx2,true,384,768,512,16,C,1,8,2,4,"0,2,4,6","1437,549,555,531",true,0,0.0234768,0.95406,201326592,8.57556e+09,-417963008,1,3
int8_batch,avx2,avx2,true,512,1024,512,1,A,1,8,2,4,"0,2,4,6","1917,731,740,708",true,0,0.0003855,0.000462,16777216,4.35207e+10,-73765152,1,1
int8_batch,avx2,avx2,true,512,1024,512,1,B,1,8,2,4,"0,2,4,6","1917,731,740,708",true,0,0.0003079,0.0003413,16777216,5.44892e+10,-73765152,1,2
int8_batch,avx2,avx2,true,512,1024,512,1,C,1,8,2,4,"0,2,4,6","1917,731,740,708",true,0,0.0006014,0.0586946,16777216,2.78969e+10,-73765152,1,3
int8_batch,avx2,avx2,true,512,1024,512,4,A,1,8,2,4,"0,2,4,6","1917,731,740,708",true,0,0.0011968,0.0013761,67108864,5.60736e+10,-295060608,1,1
int8_batch,avx2,avx2,true,512,1024,512,4,B,1,8,2,4,"0,2,4,6","1917,731,740,708",true,0,0.0012624,0.001599,67108864,5.31597e+10,224970440,1,2
int8_batch,avx2,avx2,true,512,1024,512,4,C,1,8,2,4,"0,2,4,6","1917,731,740,708",true,0,0.0211731,0.317313,67108864,3.16953e+09,-295060608,1,3
int8_batch,avx2,avx2,true,512,1024,512,8,A,1,8,2,4,"0,2,4,6","1917,731,740,708",true,0,0.0105716,0.0205785,134217728,1.26961e+10,-590121216,1,1
int8_batch,avx2,avx2,true,512,1024,512,8,B,1,8,2,4,"0,2,4,6","1917,731,740,708",true,0,0.0074224,0.0107259,134217728,1.80828e+10,47237944,1,2
int8_batch,avx2,avx2,true,512,1024,512,8,C,1,8,2,4,"0,2,4,6","1917,731,740,708",true,0,0.0376289,0.540224,134217728,3.56688e+09,-590121216,1,3
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1917,731,740,708",true,0,0.0039846,0.0041061,268435456,6.73682e+10,-1180242432,1,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1917,731,740,708",true,0,0.0080657,0.0093601,268435456,3.32811e+10,70947488,1,2
int8_batch,avx2,avx2,true,512,1024,512,16,C,1,8,2,4,"0,2,4,6","1917,731,740,708",true,0,0.0293091,0.948204,268435456,9.15878e+09,-1180242432,1,3
int8_batch,avx2,avx2,true,640,1280,512,1,A,1,8,2,4,"0,2,4,6","2396,914,925,885",true,0,0.0003075,0.0003433,20971520,6.82001e+10,-98436040,1,1
int8_batch,avx2,avx2,true,640,1280,512,1,B,1,8,2,4,"0,2,4,6","2396,914,925,885",true,0,0.0003705,0.0003923,20971520,5.66033e+10,-98436040,1,2
int8_batch,avx2,avx2,true,640,1280,512,1,C,1,8,2,4,"0,2,4,6","2396,914,925,885",true,0,0.0010231,0.0668638,20971520,2.0498e+10,-98436040,1,3
int8_batch,avx2,avx2,true,640,1280,512,4,A,1,8,2,4,"0,2,4,6","2396,914,925,885",true,0,0.0016049,0.0061711,83886080,5.22687e+10,-393744160,1,1
int8_batch,avx2,avx2,true,640,1280,512,4,B,1,8,2,4,"0,2,4,6","2396,914,925,885",true,0,0.0020578,0.0034462,83886080,4.07649e+10,272599344,1,2
