probe,kernel_requested,kernel_used,avx2_supported,target_kib,m,K,depth,variant,iterations,repetitions,warmup,worker_count,logical_cpu_indices,rows_per_worker,all_affinity_succeeded,affinity_error,kernel_elapsed_seconds,wall_elapsed_seconds,mac_count,mac_per_second,checksum,batch_repeat,variant_order
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0049885,0.0055069,268435456,5.38109e+10,-733452800,1,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.009468,0.010459,268435456,2.83519e+10,335105240,1,2
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0383754,1.02727,268435456,6.99499e+09,-733452800,1,3
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0314104,1.03974,268435456,8.54607e+09,-733452800,2,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0095269,0.0121321,268435456,2.81766e+10,335105240,2,2
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0037946,0.0039876,268435456,7.07414e+10,-733452800,2,3
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0041688,0.0043201,268435456,6.43915e+10,-733452800,3,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0096929,0.0105294,268435456,2.7694e+10,335105240,3,2
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.035697,0.977221,268435456,7.51983e+09,-733452800,3,3
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0725658,1.09466,268435456,3.6992e+09,-733452800,4,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0119135,0.0131364,268435456,2.2532e+10,335105240,4,2
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0042474,0.0076849,268435456,6.31999e+10,-733452800,4,3
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0045736,0.0051076,268435456,5.86924e+10,-733452800,5,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0105703,0.0113643,268435456,2.53953e+10,335105240,5,2
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.040525,0.988577,268435456,6.62395e+09,-733452800,5,3
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0367106,0.985247,268435456,7.31221e+09,-733452800,6,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0073675,0.0085348,268435456,3.64351e+10,335105240,6,2
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0037958,0.0038969,268435456,7.07191e+10,-733452800,6,3
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0043519,0.004491,268435456,6.16824e+10,-733452800,7,1
