probe,kernel_requested,kernel_used,avx2_supported,target_kib,m,K,depth,variant,iterations,repetitions,warmup,worker_count,logical_cpu_indices,rows_per_worker,all_affinity_succeeded,affinity_error,kernel_elapsed_seconds,wall_elapsed_seconds,mac_count,mac_per_second,checksum,batch_repeat,variant_order
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0158861,0.0221382,268435456,1.68975e+10,-733452800,1,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.008205,0.0088107,268435456,3.27161e+10,335105240,1,2
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0598071,1.13183,268435456,4.48835e+09,-733452800,1,3
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0475685,1.06338,268435456,5.64313e+09,-733452800,2,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0159676,0.0309332,268435456,1.68113e+10,335105240,2,2
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0096722,0.0162878,268435456,2.77533e+10,-733452800,2,3
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0100933,0.0195313,268435456,2.65954e+10,-733452800,3,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0099441,0.0116553,268435456,2.69944e+10,335105240,3,2
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.056734,1.15423,268435456,4.73147e+09,-733452800,3,3
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0499124,1.05614,268435456,5.37813e+09,-733452800,4,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0119216,0.013285,268435456,2.25167e+10,335105240,4,2
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0070564,0.0122027,268435456,3.80414e+10,-733452800,4,3
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0102699,0.0256881,268435456,2.61381e+10,-733452800,5,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.012825,0.0149023,268435456,2.09306e+10,335105240,5,2
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0316758,1.10076,268435456,8.47446e+09,-733452800,5,3
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0361871,1.0421,268435456,7.41799e+09,-733452800,6,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0089788,0.0101997,268435456,2.98966e+10,335105240,6,2
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0045658,0.0047648,268435456,5.87926e+10,-733452800,6,3
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0074163,0.0088985,268435456,3.61953e+10,-733452800,7,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0078398,0.0083573,268435456,3.42401e+10,335105240,7,2
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.025725,0.960317,268435456,1.04348e+10,-733452800,7,3
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0408066,1.00765,268435456,6.57824e+09,-733452800,8,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0103057,0.0131015,268435456,2.60473e+10,335105240,8,2
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0087238,0.0135601,268435456,3.07705e+10,-733452800,8,3
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0093226,0.0186553,268435456,2.87941e+10,-733452800,9,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0096315,0.0122446,268435456,2.78706e+10,335105240,9,2
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0344664,1.07083,268435456,7.78832e+09,-733452800,9,3
int8_batch,avx2,avx2,true,512,1024,512,16,Bclone,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0527298,1.06393,268435456,5.09077e+09,-733452800,10,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0147576,0.0178381,268435456,1.81896e+10,335105240,10,2
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1332,807,965,992",true,0,0.0053831,0.0061551,268435456,4.98663e+10,-733452800,10,3
