project_version,gate,D,S,R,total_rows,kernel,variant,transition,timing_scope,slot_tile,seed,phase_profile,require_affinity,projection_shift,state_multiplier,output_multiplier,final_shift,target_rms,epsilon,warmup_repetitions,timed_repetitions,sequences_per_repetition,worker_count,allow_smt_siblings,cpus,physical_cores,rows,base_weight_bytes,allocated_weight_bytes,logical_weight_load_bytes,one_pass_weight_bytes,distinct_weight_storage_bytes,elapsed_seconds,mac_total,mac_per_second,logical_weight_load_gb_per_second,one_pass_weight_gb_per_second,output_checksum,state_checksum,round_sink,weight_hash_signature,clone_hashes_equal,clone_addresses_distinct,all_affinity_succeeded,clipped_cells,transition_cells,worker_compute_seconds,worker_transition_seconds,worker_sync_seconds,worker_cold_seconds,worker_affinity_errors,valid,error,batch_repeat,variant_order
0.4.1,t0rm,1472,1,8,1472,avx2-fused,shared,fixed-point,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,2166784,69337088,69337088,2166784,0.00089709999999999996,69337088,77290255266.971359,77.290255266971357,77.290255266971357,8852519749125534846,4355086641874727361,13663401862728125692,11255046554403909569,false,false,true,11980,47104,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,1
0.4.1,t0rm,1472,1,8,1472,avx2-fused,clone,fixed-point,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,17334272,69337088,69337088,17334272,0.0014134,69337088,49056946370.454224,49.05694637045422,49.05694637045422,8852519749125534846,4355086641874727361,13663401862728125692,11255046554403909569,true,true,true,11980,47104,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,2
0.4.1,t0rm,1472,8,8,1472,avx2-fused,shared,fixed-point,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,2166784,138674176,69337088,2166784,0.0028216999999999999,554696704,196582451713.50604,49.145612928376508,24.572806464188254,2152816537208354895,14543899204639435536,9631977855453505705,11255046554403909569,false,false,true,94408,376832,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,3
0.4.1,t0rm,1472,8,8,1472,avx2-fused,clone,fixed-point,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,17334272,138674176,69337088,17334272,0.0026486000000000001,554696704,209430153288.52979,52.357538322132449,26.178769161066224,2152816537208354895,14543899204639435536,9631977855453505705,11255046554403909569,true,true,true,94408,376832,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,4
0.4.1,t0rm,1472,16,8,1472,avx2-fused,shared,fixed-point,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,2166784,277348352,69337088,2166784,0.0061057000000000004,1109393408,181697988437.03424,45.42449710925856,11.35612427731464,4484057985658215128,10811965308968769011,9631977855453505705,11255046554403909569,false,false,true,191516,753664,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,5
0.4.1,t0rm,1472,16,8,1472,avx2-fused,clone,fixed-point,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,17334272,277348352,69337088,17334272,0.0089277999999999996,1109393408,124262798001.74736,31.065699500436839,7.7664248751092098,4484057985658215128,10811965308968769011,9631977855453505705,11255046554403909569,true,true,true,191516,753664,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,6
0.4.1,t0rm,1472,1,8,1472,avx2-fused,shared,fixed-point,full-repetition,4,3221342974,false,true,13,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,2166784,69337088,69337088,2166784,0.00064280000000000001,69337088,107867280647.16864,107.86728064716864,107.86728064716864,15113037900654516427,13734787890830426733,12360681541372297966,11255046554403909569,false,false,true,1532,47104,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,7
0.4.1,t0rm,1472,1,8,1472,avx2-fused,clone,fixed-point,full-repetition,4,3221342974,false,true,13,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,17334272,69337088,69337088,17334272,0.0015564999999999999,69337088,44546796016.704147,44.54679601670415,44.54679601670415,15113037900654516427,13734787890830426733,12360681541372297966,11255046554403909569,true,true,true,1532,47104,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,8
0.4.1,t0rm,1472,8,8,1472,avx2-fused,shared,fixed-point,full-repetition,4,3221342974,false,true,13,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,2166784,138674176,69337088,2166784,0.0024694999999999999,554696704,224619033812.51266,56.154758453128167,28.077379226564084,7203994737695124227,6106001999028759583,14068849711222530799,11255046554403909569,false,false,true,10928,376832,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,9
0.4.1,t0rm,1472,8,8,1472,avx2-fused,clone,fixed-point,full-repetition,4,3221342974,false,true,13,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,17334272,138674176,69337088,17334272,0.0031656000000000002,554696704,175226403841.29388,43.806600960323472,21.903300480161736,7203994737695124227,6106001999028759583,14068849711222530799,11255046554403909569,true,true,true,10928,376832,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,10
